subject,property,current_or_latest
Bambale_Osby,college,Maryland Terrapins men's basketball
Robert_Arnold_(basketball),college,Boise State Broncos men's basketball
Winston_Garland,college,Missouri State
John_Fairchild,college,BYU Cougars men's basketball
Ray_Kuka,college,Montana State Bobcats men's basketball
Roberto_Bergersen,college,Boise State Broncos men's basketball
Charlie_Westbrook,college,South Dakota Coyotes men's basketball
David_Wesley,college,Baylor Bears basketball
Cedric_Jackson,college,Cleveland State Vikings men's basketball
Garrick_Sherman,college,Notre Dame Fighting Irish men's basketball
LeRoy_Hurd,college,UTSA Roadrunners men's basketball
Terry_Schofield,college,UCLA Bruins men's basketball
Ken_Bannister,college,St. Augustine's
Slick_Watts,college,Xavier University of Louisiana
Chris_Babb,college,Iowa State Cyclones men's basketball
Jacob_Jaacks,college,Iowa Hawkeyes men's basketball
Jon_Horford,college,
Maurice_Harkless,highschool,
Dan_Mavraides,highschool,
Kevin_Racal,college,Colegio de San Juan de Letran
D'or_Fischer,college,West Virginia Mountaineers men's basketball
Anthony_Shavies,college,Missouri State Bears basketball
Jason_Crowe_(basketball),college,Cal State Northridge Matadors men's basketball
Geron_Johnson,college,Memphis Tigers men's basketball
Jaynetta_Saunders,college,Texas A&M Aggies women's basketball
Jenny_Whittle,team,
Mark_McNamara,college,California Golden Bears men's basketball
Roscoe_Smith,college,UNLV Runnin' Rebels basketball
encode-err,encode-err,encode-err
Eric_Boateng,college,Arizona State Sun Devils men's basketball
Stephen_Graham_(basketball),college,Oklahoma State Cowboys basketball
Ali_Farokhmanesh,college,Northern Iowa Panthers men's basketball
Kelvin_Upshaw,college,Utah Utes men's basketball
Mike_Preaseau,college,San Francisco Dons men's basketball
Terquin_Mott,college,Coppin State Eagles men's basketball
Tom_Barker_(basketball),college,Hawaii Rainbow Warriors basketball
Al_Brightman,college,Charleston
