Person,Property,Type,rn,rel_rate
http://dbpedia.org/resource/Artūras_Karnišovas,birthPlace,Country,85,**
http://dbpedia.org/resource/Ronnie_McCollum,birthPlace,City,85,**
http://dbpedia.org/resource/Ivan_Edeshko,birthPlace,Country,85,**
http://dbpedia.org/resource/Denver_Lopez,birthPlace,City,85,**
http://dbpedia.org/resource/Marius_Prekevičius,birthPlace,Country,85,**
http://dbpedia.org/resource/Aleksandar_Vasić_(basketball),birthPlace,Country,85,**
http://dbpedia.org/resource/Kęstutis_Šeštokas,birthPlace,Country,85,**
http://dbpedia.org/resource/Stipe_Modrić,birthPlace,Country,85,**
http://dbpedia.org/resource/Artūras_Jomantas,birthPlace,Country,85,**
"http://dbpedia.org/resource/Marko_Popović_(basketball,_born_1982)",birthPlace,Country,85,**
http://dbpedia.org/resource/Luka_Žorić,birthPlace,Country,85,**
http://dbpedia.org/resource/Božidar_Maljković,birthPlace,Country,85,**
http://dbpedia.org/resource/Tadas_Klimavičius,birthPlace,Country,85,**
http://dbpedia.org/resource/John_Paul_Erram,birthPlace,City,85,**
http://dbpedia.org/resource/Tomas_Masiulis,birthPlace,Country,85,**
http://dbpedia.org/resource/Alexander_Volkov_(basketball),birthPlace,Country,85,**
http://dbpedia.org/resource/Boško_Jovović,birthPlace,Country,85,**
http://dbpedia.org/resource/Vladimir_Veremeenko,birthPlace,Country,85,**
http://dbpedia.org/resource/Ramūnas_Butautas,birthPlace,Country,85,**
http://dbpedia.org/resource/Sandro_Nicević,birthPlace,Country,85,**
http://dbpedia.org/resource/Renaldas_Seibutis,birthPlace,Country,85,**
http://dbpedia.org/resource/Mantas_Kalnietis,birthPlace,Country,85,**
http://dbpedia.org/resource/Nikola_Vujčić,birthPlace,Country,85,**
http://dbpedia.org/resource/Mario_Kasun,birthPlace,Country,85,**
http://dbpedia.org/resource/Marko_Jagodić-Kuridža,birthPlace,Country,85,**
http://dbpedia.org/resource/Josip_Lovrić,birthPlace,Country,85,**
http://dbpedia.org/resource/Zydrunas_Ilgauskas,birthPlace,Country,85,**
http://dbpedia.org/resource/Dmitry_Flis,birthPlace,Country,85,**
http://dbpedia.org/resource/Robert_Rothbart,birthPlace,Country,85,**
http://dbpedia.org/resource/Slobodan_Agoč,birthPlace,Country,85,**
http://dbpedia.org/resource/Benjamin_Cleofas,birthPlace,City,85,**
http://dbpedia.org/resource/Manuchar_Markoishvili,birthPlace,Country,85,**
http://dbpedia.org/resource/Simon_Enciso,birthPlace,City,85,**
http://dbpedia.org/resource/Marko_Simonovski_(basketball),birthPlace,Country,85,**
http://dbpedia.org/resource/Bojan_Trajkovski,birthPlace,Country,85,**
http://dbpedia.org/resource/Kyrylo_Fesenko,birthPlace,Country,85,**
http://dbpedia.org/resource/Dražen_Zlovarić,birthPlace,Country,85,**
http://dbpedia.org/resource/Anastasiya_Verameyenka,birthPlace,Country,85,**
http://dbpedia.org/resource/Aleksandar_Čubrilo,birthPlace,Country,85,**
http://dbpedia.org/resource/Rey_Guevarra,birthPlace,City,85,**
http://dbpedia.org/resource/Petar_Naumoski,birthPlace,Country,85,**
http://dbpedia.org/resource/Darius_Dimavičius,birthPlace,Country,85,**
http://dbpedia.org/resource/Linas_Kleiza,birthPlace,Country,85,**
http://dbpedia.org/resource/Adas_Juškevičius,birthPlace,Country,85,**
http://dbpedia.org/resource/Jānis_Blūms,birthPlace,Country,85,**
http://dbpedia.org/resource/Ahmet_Erdoğan_(basketball),birthPlace,City,85,**
http://dbpedia.org/resource/Walter_Costa,birthPlace,Country,85,**
http://dbpedia.org/resource/Branislav_Prelević,birthPlace,Country,85,**
http://dbpedia.org/resource/Marjan_Lazovski,birthPlace,Country,85,**
http://dbpedia.org/resource/Ante_Delaš,birthPlace,Country,85,**
http://dbpedia.org/resource/Jonas_Kazlauskas,birthPlace,Country,85,**
http://dbpedia.org/resource/Rimantas_Kaukėnas,birthPlace,Country,85,**
http://dbpedia.org/resource/Predrag_Samardžiski,birthPlace,Country,85,**
http://dbpedia.org/resource/Stojko_Vranković,birthPlace,Country,85,**
http://dbpedia.org/resource/Semyon_Antonov,birthPlace,Country,85,**
http://dbpedia.org/resource/Darius_Maskoliūnas,birthPlace,Country,85,**
http://dbpedia.org/resource/Poch_Juinio,birthPlace,City,85,**
http://dbpedia.org/resource/Gunta_Baško,birthPlace,Country,85,**
http://dbpedia.org/resource/Veljko_Mršić,birthPlace,Country,85,**
http://dbpedia.org/resource/Darjuš_Lavrinovič,birthPlace,Country,85,**
http://dbpedia.org/resource/Tomislav_Ružić,birthPlace,Country,85,**
http://dbpedia.org/resource/Marijonas_Petravičius,birthPlace,Country,85,**
http://dbpedia.org/resource/Timofey_Mozgov,birthPlace,Country,85,**
http://dbpedia.org/resource/Vlado_Ilievski,birthPlace,Country,85,**
http://dbpedia.org/resource/Don_Camaso,birthPlace,City,85,**
http://dbpedia.org/resource/Kristaps_Janičenoks,birthPlace,Country,85,**
http://dbpedia.org/resource/Chris_Tiu,birthPlace,City,85,**
http://dbpedia.org/resource/Ivica_Mavrenski,birthPlace,Country,85,**
http://dbpedia.org/resource/Ryan_Buenafe,birthPlace,City,85,**
http://dbpedia.org/resource/Josip_Sobin,birthPlace,Country,85,**
http://dbpedia.org/resource/Arvydas_Macijauskas,birthPlace,Country,85,**
http://dbpedia.org/resource/Vrbica_Stefanov,birthPlace,Country,85,**
http://dbpedia.org/resource/Vojkan_Krgović,birthPlace,Country,85,**
http://dbpedia.org/resource/Antanas_Sireika,birthPlace,Country,85,**
http://dbpedia.org/resource/Saša_Avramović,birthPlace,Country,85,**
http://dbpedia.org/resource/Ante_Tomić_(basketball),birthPlace,Country,85,**
http://dbpedia.org/resource/Victor_Khryapa,birthPlace,Country,85,**
http://dbpedia.org/resource/Howie_Shannon,birthPlace,City,85,**
http://dbpedia.org/resource/Ivan_Siriščević,birthPlace,Country,85,**
http://dbpedia.org/resource/Evgeniy_Pashutin,birthPlace,Country,85,**
http://dbpedia.org/resource/Vidas_Ginevičius,birthPlace,Country,85,**
http://dbpedia.org/resource/Krešimir_Ćosić,birthPlace,Country,85,**
http://dbpedia.org/resource/Dainius_Adomaitis,birthPlace,Country,85,**
http://dbpedia.org/resource/Luol_Deng,birthPlace,Country,85,**
http://dbpedia.org/resource/Milenko_Topić,birthPlace,Country,85,**
http://dbpedia.org/resource/Ivo_Nakić,birthPlace,Country,85,**
http://dbpedia.org/resource/Lenny_Cooke,birthPlace,City,85,1
http://dbpedia.org/resource/Jake_Tsakalidis,birthPlace,Country,85,**
http://dbpedia.org/resource/Ivan_Opačak,birthPlace,Country,85,**
http://dbpedia.org/resource/Mina_Maksimović,birthPlace,Country,85,**
http://dbpedia.org/resource/Vladimir_Boisa,birthPlace,Country,85,**
http://dbpedia.org/resource/Deividas_Gailius,birthPlace,Country,85,**
http://dbpedia.org/resource/Radovan_Marković,birthPlace,Country,85,**
http://dbpedia.org/resource/Franko_Nakić,birthPlace,Country,85,**
http://dbpedia.org/resource/Mindaugas_Katelynas,birthPlace,Country,85,**
http://dbpedia.org/resource/Jesús_Fernández_Hernández,birthPlace,City,85,**
http://dbpedia.org/resource/Terrence_Romeo,birthPlace,City,85,**
http://dbpedia.org/resource/Aleksandar_Ponjavić,birthPlace,Country,85,**
http://dbpedia.org/resource/Tomislav_Zubčić,birthPlace,Country,85,**
http://dbpedia.org/resource/Justas_Sinica,birthPlace,Country,85,**
http://dbpedia.org/resource/Darko_Sokolov,birthPlace,Country,85,**
http://dbpedia.org/resource/Kosta_Perović,birthPlace,Country,85,**
http://dbpedia.org/resource/Nikola_Radulović,birthPlace,Country,85,**
http://dbpedia.org/resource/Bruno_Šundov,birthPlace,Country,85,**
http://dbpedia.org/resource/Viktor_Sanikidze,birthPlace,Country,85,**
http://dbpedia.org/resource/Dmitri_Domani,birthPlace,Country,85,**
http://dbpedia.org/resource/Darius_Songaila,birthPlace,Country,85,**
http://dbpedia.org/resource/Dušan_Ivković,birthPlace,Country,85,**
http://dbpedia.org/resource/Artsiom_Parakhouski,birthPlace,Country,85,**
http://dbpedia.org/resource/Željko_Šakić,birthPlace,Country,85,**
http://dbpedia.org/resource/Velimir_Perasović,birthPlace,Country,85,**
http://dbpedia.org/resource/Roberts_Štelmahers,birthPlace,Country,85,**
http://dbpedia.org/resource/Predrag_Savović,birthPlace,Country,85,**
http://dbpedia.org/resource/Martynas_Andriuškevičius,birthPlace,Country,85,**
http://dbpedia.org/resource/Drago_Pašalić,birthPlace,Country,85,**
http://dbpedia.org/resource/Martynas_Pocius,birthPlace,Country,85,**
http://dbpedia.org/resource/Andrija_Žižić,birthPlace,Country,85,**
http://dbpedia.org/resource/Dražen_Petrović,birthPlace,Country,85,**
http://dbpedia.org/resource/Nikola_Čvorović,birthPlace,Country,85,**
http://dbpedia.org/resource/Alexander_Lokhmanchuk,birthPlace,Country,85,**
http://dbpedia.org/resource/Simonas_Serapinas,birthPlace,Country,85,**
http://dbpedia.org/resource/Slava_Medvedenko,birthPlace,Country,85,**
http://dbpedia.org/resource/Vladimir_Stepania,birthPlace,Country,85,**
http://dbpedia.org/resource/Aigars_Nerips,birthPlace,Country,85,**
http://dbpedia.org/resource/Deividas_Dulkys,birthPlace,Country,85,**
http://dbpedia.org/resource/Bojan_Popović,birthPlace,Country,85,**
http://dbpedia.org/resource/Vladimir_Tkachenko,birthPlace,Country,85,**
http://dbpedia.org/resource/Ramūnas_Šiškauskas,birthPlace,Country,85,**
http://dbpedia.org/resource/Sasha_Kaun,birthPlace,Country,85,**
http://dbpedia.org/resource/Rade_Lončar,birthPlace,Country,85,**
http://dbpedia.org/resource/Marko_Todorović_(basketball),birthPlace,Country,85,**
http://dbpedia.org/resource/Aleksandar_Nađfeji,birthPlace,Country,85,**
http://dbpedia.org/resource/Philip_Scrubb,birthPlace,City,85,**
http://dbpedia.org/resource/Alex_Chubrevich,birthPlace,Country,85,**
http://dbpedia.org/resource/Angelė_Rupšienė,birthPlace,Country,85,**
http://dbpedia.org/resource/Igor_Milošević,birthPlace,Country,85,**
http://dbpedia.org/resource/Froilan_Baguion,birthPlace,City,85,**
http://dbpedia.org/resource/Saulius_Štombergas,birthPlace,Country,85,**
http://dbpedia.org/resource/Sava_Lešić,birthPlace,Country,85,**
http://dbpedia.org/resource/Jordan_Hill_(basketball),birthPlace,City,85,**
http://dbpedia.org/resource/Dmitry_Khvostov_(basketball),birthPlace,Country,85,**
http://dbpedia.org/resource/Samir_Selešković,birthPlace,Country,85,**
http://dbpedia.org/resource/Mindaugas_Timinskas,birthPlace,Country,85,**
http://dbpedia.org/resource/Yasseen_Ismail,birthPlace,Country,85,**
http://dbpedia.org/resource/Artūras_Milaknis,birthPlace,Country,85,**
http://dbpedia.org/resource/Andrius_Giedraitis,birthPlace,Country,85,**
http://dbpedia.org/resource/Suzana_Milovanović,birthPlace,Country,85,**
http://dbpedia.org/resource/Moala_Tautuaa,birthPlace,City,85,**
http://dbpedia.org/resource/Brano_Đukanović,birthPlace,Country,85,**
http://dbpedia.org/resource/Nenad_Zivčević,birthPlace,Country,85,**
http://dbpedia.org/resource/Šarūnas_Marčiulionis,birthPlace,Country,85,**
http://dbpedia.org/resource/Ovidijus_Galdikas,birthPlace,Country,85,**
