Person,Property,Type,rn,rel_rate
http://dbpedia.org/resource/Papa_Oppong,college,Community_college,dbot_rules,**
http://dbpedia.org/resource/Ronnie_McCollum,birthPlace,City,dbot_rules,**
http://dbpedia.org/resource/Tyrell_Vernon,college,Public_university,dbot_rules,**
http://dbpedia.org/resource/Al_Szolack,college,Public_university,dbot_rules,**
http://dbpedia.org/resource/Lester_Conner,college,Community_college,dbot_rules,**
http://dbpedia.org/resource/John_Paul_Erram,college,University,dbot_rules,**
http://dbpedia.org/resource/John_Paul_Erram,birthPlace,Cities_of_the_Philippines,dbot_rules,**
http://dbpedia.org/resource/Nicholas_Livas,college,Private_university,dbot_rules,**
http://dbpedia.org/resource/Martin_Lewis_(basketball),college,State_school,dbot_rules,**
http://dbpedia.org/resource/DeJuan_Wright,college,Public_university,dbot_rules,**
http://dbpedia.org/resource/Leroy_Loggins,college,Public_university,dbot_rules,**
http://dbpedia.org/resource/Jordan_Hill_(basketball),birthPlace,City,dbot_rules,**
http://dbpedia.org/resource/Nonoy_Baclao,college,Private_school,dbot_rules,**
http://dbpedia.org/resource/Foots_Walker,college,Public_university,dbot_rules,**
http://dbpedia.org/resource/Lawrence_Chongson,college,Private_university,dbot_rules,**
http://dbpedia.org/resource/Jay-R_Reyes,birthPlace,Provinces_of_the_Philippines,dbot_rules,**
http://dbpedia.org/resource/Jay_Washington,birthPlace,Municipalities_of_the_Philippines,dbot_rules,**
http://dbpedia.org/resource/Tim_Burroughs,college,Community_college,dbot_rules,**
http://dbpedia.org/resource/Erron_Maxey,highschool,State_school,dbot_rules,**
http://dbpedia.org/resource/Bol_Kong,college,Public_university,dbot_rules,**
http://dbpedia.org/resource/Horace_Jenkins,college,Public_university,dbot_rules,**
http://dbpedia.org/resource/Khem_Birch,highschool,Boarding_school,dbot_rules,**
http://dbpedia.org/resource/Serge_Langis,college,Public_university,dbot_rules,**
http://dbpedia.org/resource/Yousif_Aljamal,birthPlace,Municipalities_of_the_Philippines,dbot_rules,**
http://dbpedia.org/resource/Steve_Francis,college,Community_college,dbot_rules,**
http://dbpedia.org/resource/Larry_Tieu,college,Private_school,dbot_rules,**
http://dbpedia.org/resource/Shoni_Schimmel,highschool,State_school,dbot_rules,**
"http://dbpedia.org/resource/Dan_Anderson_(basketball,_born_1943)",birthPlace,City,dbot_rules,**
http://dbpedia.org/resource/Kevin_Loder,college,Public_university,dbot_rules,**
http://dbpedia.org/resource/Meighan_Simmons,birthPlace,City,dbot_rules,**
http://dbpedia.org/resource/Scot_Pollard,highschool,State_school,dbot_rules,**
http://dbpedia.org/resource/Corey_Stokes,birthPlace,City_(New_Jersey),dbot_rules,**
http://dbpedia.org/resource/Jason_Keep,highschool,State_school,dbot_rules,**
http://dbpedia.org/resource/Vince_Hizon,college,Private_school,dbot_rules,**
http://dbpedia.org/resource/Salim_Stoudamire,highschool,State_school,dbot_rules,**
http://dbpedia.org/resource/Milenko_Tepić,birthPlace,List_of_cities_in_Serbia,dbot_rules,**
http://dbpedia.org/resource/Dan_Mara,college,Private_university,dbot_rules,**
http://dbpedia.org/resource/Jimmy_Alapag,birthPlace,Charter_city,dbot_rules,**
http://dbpedia.org/resource/Kyrie_Irving,highschool,Mixed-sex_education,dbot_rules,**
http://dbpedia.org/resource/Howie_Shannon,birthPlace,City,dbot_rules,**
http://dbpedia.org/resource/Avery_Johnson,college,Public_university,dbot_rules,**
