uri,cnter
http://dbpedia.org/ontology/termPeriod,9271
http://dbpedia.org/ontology/college,7652
http://dbpedia.org/ontology/draftTeam,4039
http://dbpedia.org/ontology/position,10034
http://dbpedia.org/ontology/birthPlace,10140
http://dbpedia.org/ontology/team,4205
http://dbpedia.org/ontology/almaMater,1
http://dbpedia.org/ontology/nationality,1065
http://dbpedia.org/ontology/formerTeam,433
http://dbpedia.org/ontology/deathPlace,221
http://dbpedia.org/ontology/thumbnail,3593
http://dbpedia.org/ontology/league,5080
http://dbpedia.org/ontology/stateOfOrigin,1
http://dbpedia.org/ontology/wikiPageDisambiguates,1
http://dbpedia.org/ontology/highschool,884
http://dbpedia.org/ontology/award,270
http://dbpedia.org/ontology/occupation,5
