Column1,Column2,Column3
Paulo_Santana,college,Acadia Axemen
Fritz_Nagy,college,Akron Zips men's basketball
Frank_Sillmon,college,Alabama A&M Bulldogs basketball
Mickell_Gladness,college,Alabama A&M Bulldogs basketball
David_Benoit_(basketball),college,Alabama Crimson Tide men's basketball
Demetrius_Alexander,college,Alabama Crimson Tide men's basketball
Latrell_Sprewell,college,Alabama Crimson Tide men's basketball
Schea_Cotton,college,Alabama Crimson Tide men's basketball
Tausha_Mills,college,Alabama Crimson Tide women's basketball
Brandon_Brooks_(basketball),college,Alabama State
Chief_Kickingstallionsims,college,Alabama State
Steve_Rogers_(basketball),college,Alabama State
Kevin_Loder,college,Alabama State University
Jeremiah_Trueman,college,Alaska Anchorage Seawolves
Brad_Oleson,college,Alaska Nanooks
Kevin_Bradshaw,college,Alliant International University
Brad_Greenberg,college,American Eagles men's basketball
Troy_Brewer,college,American Eagles men's basketball
Vlad_Moldoveanu,college,American Eagles men's basketball
Ryneldi_Becenti,college,Arizona State
Alton_Lister,college,Arizona State Sun Devils men's basketball
Antwi_Atuahene,college,Arizona State Sun Devils men's basketball
Awvee_Storey,college,Arizona State Sun Devils men's basketball
Carrick_Felix,college,Arizona State Sun Devils men's basketball
Curtis_Millage,college,Arizona State Sun Devils men's basketball
Eric_Boateng,college,Arizona State Sun Devils men's basketball
Freddie_Lewis,college,Arizona State Sun Devils men's basketball
Isaac_Austin,college,Arizona State Sun Devils men's basketball
Lionel_Hollins,college,Arizona State Sun Devils men's basketball
Mark_Landsberger,college,Arizona State Sun Devils men's basketball
Michael_Batiste,college,Arizona State Sun Devils men's basketball
Paul_Stovall,college,Arizona State Sun Devils men's basketball
Richie_Edwards_(basketball),college,Arizona State Sun Devils men's basketball
Ben_Davis_(basketball),college,Arizona Wildcats men's basketball
Bennett_Davison,college,Arizona Wildcats men's basketball
Bison_Dele,college,Arizona Wildcats men's basketball
Bruce_Fraser_(basketball),college,Arizona Wildcats men's basketball
Leon_Blevins,college,Arizona Wildcats men's basketball
Loren_Woods,college,Arizona Wildcats men's basketball
Mark_Lyons,college,Arizona Wildcats men's basketball
Matt_Brase,college,Arizona Wildcats men's basketball
Pete_Williams_(basketball),college,Arizona Wildcats men's basketball
T._J._McConnell,college,Arizona Wildcats men's basketball
Tom_Tolbert,college,Arizona Wildcats men's basketball
Alvin_Robertson,college,Arkansas Razorbacks men's basketball
Corey_Beck,college,Arkansas Razorbacks men's basketball
Coty_Clarke,college,Arkansas Razorbacks men's basketball
Darrell_Walker,college,Arkansas Razorbacks men's basketball
Dontell_Jefferson,college,Arkansas Razorbacks men's basketball
Gary_Ervin,college,Arkansas Razorbacks men's basketball
Isaiah_Morris,college,Arkansas Razorbacks men's basketball
Jannero_Pargo,college,Arkansas Razorbacks men's basketball
Joe_Kleine,college,Arkansas Razorbacks men's basketball
Ron_Brewer,college,Arkansas Razorbacks men's basketball
Dewarick_Spencer,college,Arkansas State Red Wolves
Adrian_Banks,college,Arkansas State Red Wolves men's basketball
Jason_Jennings_(basketball),college,Arkansas State Red Wolves men's basketball
Melvin_Johnson_III,college,Arkansas State Red Wolves men's basketball
Paul_Cooper_(basketball),college,Arkansas Tech University
Red_Wallace,college,As coach
Steve_Gansey,college,Ashland
Chris_Newsome,college,Ateneo de Manila University
Greg_Slaughter,college,Ateneo de Manila University
Nico_Elorde,college,Ateneo de Manila University
Etdrick_Bohannon,college,Auburn Montgomery
Adam_Harrington_(basketball),college,Auburn Tigers men's basketball
Antoine_Mason,college,Auburn Tigers men's basketball
Chris_Porter_(basketball),college,Auburn Tigers men's basketball
Kenny_Gabriel,college,Auburn Tigers men's basketball
Quinnel_Brown,college,Auburn Tigers men's basketball
Jason_Killeen,college,Augusta
Greg_Hire,college,Augusta Jaguars
Kavossy_Franklin,college,Augusta Jaguars
Russell_Hinder,college,Augusta Jaguars
Barry_Sumpter,college,Austin Peay
TyShwan_Edmondson,college,Austin Peay Governors basketball
Kennard_Winchester,college,Averett University
Cameron_Echols,college,Ball State Cardinals men's basketball
Dennis_Trammell,college,Ball State Cardinals men's basketball
Carlos_Briggs,college,Baylor Bears basketball
David_Wesley,college,Baylor Bears basketball
Ekpe_Udoh,college,Baylor Bears basketball
Pierre_Jackson,college,Baylor Bears basketball
R._T._Guinn,college,Baylor Bears basketball
Terrance_Thomas,college,Baylor Bears basketball
Vinnie_Johnson,college,Baylor Bears basketball
Bernice_Mosby,college,Baylor Lady Bears basketball
