Property,Type,Ratio,support
http://dbpedia.org/ontology/college,http://dbpedia.org/class/yago/UniversitiesAndCollegesInIowa,0.8888888888888888,9.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedInThe3rdMillenniumBC,1.0,26.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/MunicipalitiesOfKlaip%C4%97daCounty,1.0,9.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/FinancialCrises,1.0,45.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CountySeatsInOklahoma,1.0,7.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/FederalCountries,1.0,73.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CoastalCitiesInAustralia,1.0,15.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedCoastalPlacesInTurkey,1.0,6.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1867,0.9130434782608695,23.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/DistrictsOfSerbia,1.0,27.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/SwedishMunicipalSeats,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedCoastalPlacesInAngola,1.0,9.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1856,1.0,8.0
http://dbpedia.org/ontology/league,http://dbpedia.org/class/yago/SportsLeaguesInGermany,1.0,22.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1822,1.0,10.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CaliforniaGoldenBears,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CitiesInWashington(state),1.0,11.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/ArchaeologicalSitesInTurkey,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/Russian-speakingCountriesAndTerritories,0.967741935483871,31.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1787,1.0,37.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/ProvincialCapitalsInAngola,1.0,10.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/SovietRepublics,1.0,16.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PortSettlementsInWashington(state),1.0,10.0
http://dbpedia.org/ontology/college,http://dbpedia.org/class/yago/EducationalInstitutionsEstablishedIn1948,1.0,7.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/SubdivisionsOfYugoslavia,1.0,79.0
http://dbpedia.org/ontology/college,http://dbpedia.org/class/yago/UniversitiesAndCollegesInWashington(state),1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PortCitiesInSerbia,0.9743589743589743,39.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/StatesAndTerritoriesDisestablishedIn1992,1.0,6.0
http://dbpedia.org/ontology/college,http://dbpedia.org/class/yago/EducationalInstitutionsEstablishedIn1961,1.0,13.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/MunicipalitiesOfVilniusCounty,1.0,8.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/UniversityTowns,1.0,19.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/MunicipalitiesOfSlovenia,1.0,9.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/LatinAmericanCountries,1.0,10.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/StatesOfTheUnitedStates,0.9976470588235294,425.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedPlacesInFloridaWithHispanicMajorityPopulations,1.0,7.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/GreekPrefecturalCapitals,0.975,40.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/MidwesternUnitedStates,1.0,16.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/Serbo-Croatian-speakingCountries,1.0,14.0
