Property,Type,Ratio,support
http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/class/yago/BasketballTeamsInRussia,0.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1946,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/PopulatedLakeshorePlaces,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/MinnesotaPopulatedPlacesOnTheMississippiRiver,1.0,1.0
http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/class/yago/CatalanBasketballTeams,0.5,2.0
http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/class/yago/OrganisationsBasedInAustralia,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/HostCitiesOfTheWinterOlympicGames,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1858,1.0,1.0
http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/class/yago/SportsClubsEstablishedIn1994,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/CitiesInIndiana,1.0,2.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1682,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/UndergroundRailroadLocations,1.0,4.0
http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/class/yago/CitiesInLosAngelesCounty,California",1.0,2.0
http://dbpedia.org/ontology/nationality,http://dbpedia.org/class/yago/EthnicGroupsInVojvodina,1.0,1.0
http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/class/yago/SportsClubsEstablishedIn1970,1.0,2.0
http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/class/yago/PopulatedPlacesInHarrisCounty,Texas",1.0,2.0
http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/class/yago/BasketballTeamsInThailand,1.0,1.0
http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/class/yago/AmericanBasketballAssociation(2000%E2%80%93present)Teams,1.0,2.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/EuropeanCountries,1.0,1.0
