Property,Type,Ratio,support
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Town,1.0,7.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/County_seat,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_in_Greece,1.0,6.0
http://dbpedia.org/ontology/college,http://dbpedia.org/resource/University,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Administrative_divisions_of_Michigan,1.0,20.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Borough_(New_York_City),1.0,61.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/States_of_Brazil,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/State_school,1.0,24.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Autonomous_communities_of_Spain,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_in_Serbia,1.0,14.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_in_the_Republic_of_Macedonia,1.0,7.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Independent_city_(United_States),1.0,15.0
http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/List_of_communities_in_Miami-Dade_County,_Florida",1.0,7.0
http://dbpedia.org/ontology/highschool,http://dbpedia.org/resource/Boarding_school,0.9285714285714286,14.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Municipalities_of_the_Philippines,1.0,16.0
http://dbpedia.org/ontology/college,http://dbpedia.org/resource/Community_colleges_in_the_United_States,1.0,6.0
http://dbpedia.org/ontology/college,http://dbpedia.org/resource/Community_college,1.0,106.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_and_towns_in_Croatia,1.0,13.0
http://dbpedia.org/ontology/college,http://dbpedia.org/resource/Public_university,0.9333333333333333,45.0
http://dbpedia.org/ontology/college,http://dbpedia.org/resource/State_school,1.0,18.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Municipalities_of_Spain,0.9411764705882353,17.0
http://dbpedia.org/ontology/college,http://dbpedia.org/resource/Private_school,0.9230769230769231,13.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_districts_and_neighborhoods_of_Los_Angeles,1.0,7.0
http://dbpedia.org/ontology/highschool,http://dbpedia.org/resource/State_school,0.9090909090909091,11.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_in_Bosnia_and_Herzegovina,1.0,15.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/California,1.0,9.0
http://dbpedia.org/ontology/highschool,http://dbpedia.org/resource/Mixed-sex_education,1.0,7.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Capital_city,1.0,12.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/City_(New_Jersey),1.0,6.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Cities_of_the_Philippines,1.0,40.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_in_Ontario,1.0,15.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Charter_city,0.9803921568627451,51.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Metropolis,1.0,6.0
http://dbpedia.org/ontology/highschool,http://dbpedia.org/resource/Day_school,1.0,6.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/City,0.9660377358490566,265.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Lists_of_capitals,1.0,13.0
http://dbpedia.org/ontology/college,http://dbpedia.org/resource/Private_university,1.0,12.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_capitals_in_the_United_States,1.0,6.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Consolidated_city-county,1.0,61.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Provinces_of_the_Philippines,1.0,24.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Administrative_divisions_of_New_York,1.0,40.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Census-designated_place,1.0,7.0
