Property,Type,Ratio,support
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_incorporated_places_in_Delaware,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_districts_in_South_Korea,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/State_university_system,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Special_municipality_(Taiwan),1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Direct-controlled_municipalities_of_China,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_in_Ivory_Coast,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/National_Sea_Grant_College_Program,1.0,2.0
http://dbpedia.org/ontology/college,http://dbpedia.org/resource/Land-grant_university,1.0,2.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Municipalities_of_Brazil,1.0,4.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_municipalities_in_Florida,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Local_government_in_California,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/County_(United_States),1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Land-grant_university,1.0,2.0
http://dbpedia.org/ontology/highschool,http://dbpedia.org/resource/Single-sex_education,1.0,1.0
http://dbpedia.org/ontology/college,http://dbpedia.org/resource/Nonsectarian,1.0,2.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Federal_district,1.0,2.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_and_towns_in_Colorado,1.0,3.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Military_airbase,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Municipalities_of_Switzerland,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_in_Alberta,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_in_Turkey,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Sub-provincial_divisions_in_the_People's_Republic_of_China,1.0,3.0
http://dbpedia.org/ontology/highschool,http://dbpedia.org/resource/Magnet_school,1.0,2.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Municipalities_of_Puerto_Rico,1.0,2.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Public_university,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Unincorporated_area,1.0,2.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/New_England_town,0.6666666666666666,3.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Home_Rule_Municipality_(Pennsylvania),1.0,2.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Township_(New_Jersey),1.0,2.0
