Property,Type,Ratio,support
http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/class/yago/PopulatedPlacesInLenoirCounty,NorthCarolina",1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1635,1.0,2.0
http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/class/yago/PopulatedPlacesInPottawatomieCounty,Kansas",1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/NeolithicSettlements,1.0,3.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CountySeatsInSouthDakota,1.0,2.0
http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/class/yago/SchoolsInHowardCounty,Indiana",1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CitiesInAlabama,1.0,3.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedPlacesInBorDistrict,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/BlueRibbonSchoolsInNewYork,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/DividedCities,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/ProvincialCapitalsOfWallonia,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedPlacesOfTheByzantineEmpire,1.0,1.0
http://dbpedia.org/ontology/college,"http://dbpedia.org/class/yago/UniversitiesAndCollegesInCookCounty,Illinois",1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/IslamicHolyPlaces,1.0,2.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1725,1.0,1.0
http://dbpedia.org/ontology/highschool,http://dbpedia.org/class/yago/PreparatorySchoolsInWestVirginia,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PortCitiesInBrazil,1.0,2.0
http://dbpedia.org/ontology/league,http://dbpedia.org/class/yago/OrganizationsEstablishedIn1946,1.0,2.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1886,1.0,1.0
http://dbpedia.org/ontology/college,"http://dbpedia.org/class/yago/UniversitiesAndCollegesInCecilCounty,Maryland",1.0,2.0
http://dbpedia.org/ontology/league,http://dbpedia.org/class/yago/BasketballLeaguesInCanada,1.0,2.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1873,1.0,2.0
http://dbpedia.org/ontology/highschool,"http://dbpedia.org/class/yago/SchoolsInWorcesterCounty,Massachusetts",0.6666666666666666,3.0
http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/class/yago/PopulatedPlacesInCabellCounty,WestVirginia",1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedPlacesInSantaFeProvince,1.0,2.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/Nuclear-freeZones,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/MilitaryFacilitiesInTheMojaveDesert,1.0,1.0
http://dbpedia.org/ontology/highschool,http://dbpedia.org/class/yago/RomanCatholicSecondarySchoolsInCalifornia,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedPlacesInMartinique,1.0,1.0
http://dbpedia.org/ontology/highschool,http://dbpedia.org/class/yago/ChristianSchoolsInTheUnitedStates,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/StreetcarSuburbs,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/Prefecture-levelDivisionsOfLiaoning,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PortSettlementsInQuebec,1.0,3.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1805,1.0,3.0
