Person,Property,Type,rn,rel_rate
http://dbpedia.org/resource/Dahlia_(horse),honours,HorseRace,85,**
http://dbpedia.org/resource/Copenhagen_(horse),owner,OfficeHolder,85,**
http://dbpedia.org/resource/Pretty_Polly_(horse),honours,HorseRace,85,**
http://dbpedia.org/resource/Miss_Oceana,honours,Racecourse,85,**
http://dbpedia.org/resource/Count_Fleet,honours,HorseRace,85,**
http://dbpedia.org/resource/Barbaro,honours,HorseRace,85,**
http://dbpedia.org/resource/La_Prevoyante,honours,HorseRace,85,**
http://dbpedia.org/resource/Ack_Ack_(horse),honours,HorseRace,85,**
http://dbpedia.org/resource/Nijinsky_(horse),honours,HorseRace,85,**
http://dbpedia.org/resource/Nasturtium_(horse),owner,OfficeHolder,85,**
http://dbpedia.org/resource/Tiznow,honours,HorseRace,85,**
http://dbpedia.org/resource/Miesque,honours,HorseRace,85,**
http://dbpedia.org/resource/Deputy_Minister_(horse),honours,HorseRace,85,**
http://dbpedia.org/resource/Eclipse_(horse),honours,HorseRace,85,**
http://dbpedia.org/resource/Red_Marauder,honours,HorseRace,85,**
http://dbpedia.org/resource/Northern_Dancer,honours,HorseRace,85,**
