Person,Property,Type,rn
http://dbpedia.org/resource/Macropus_titan,http://dbpedia.org/ontology/order,***ons***,***ons***
http://dbpedia.org/resource/Homo,http://dbpedia.org/ontology/class,***ons***,***ons***
http://dbpedia.org/resource/Homo,http://dbpedia.org/ontology/family,***ons***,***ons***
http://dbpedia.org/resource/List_of_extinct_cetaceans,http://dbpedia.org/ontology/phylum,***ons***,***ons***
http://dbpedia.org/resource/Andean_swamp_rat,http://dbpedia.org/ontology/family,***ons***,***ons***
http://dbpedia.org/resource/Thylacinus_megiriani,http://dbpedia.org/ontology/class,***ons***,***ons***
http://dbpedia.org/resource/Cape_warthog,http://dbpedia.org/ontology/class,***ons***,***ons***
http://dbpedia.org/resource/Cape_warthog,http://dbpedia.org/ontology/family,***ons***,***ons***
http://dbpedia.org/resource/Red_Deer_Cave_people,http://dbpedia.org/ontology/family,***ons***,***ons***
http://dbpedia.org/resource/Eospalax,http://dbpedia.org/ontology/family,***ons***,***ons***
http://dbpedia.org/resource/Peligrotherium,http://dbpedia.org/ontology/class,***ons***,***ons***
http://dbpedia.org/resource/Sciuromorpha,http://dbpedia.org/ontology/class,***ons***,***ons***
http://dbpedia.org/resource/Megalictis_ferox,http://dbpedia.org/ontology/family,***ons***,***ons***
http://dbpedia.org/resource/Ohiya_rat,http://dbpedia.org/ontology/family,***ons***,***ons***
http://dbpedia.org/resource/Oldfieldthomasiidae,http://dbpedia.org/ontology/order,***ons***,***ons***
http://dbpedia.org/resource/Ornithorhynchidae,http://dbpedia.org/ontology/order,***ons***,***ons***
http://dbpedia.org/resource/Meadow_Court,http://dbpedia.org/ontology/owner,***ons***,***ons***
http://dbpedia.org/resource/Atocetus,http://dbpedia.org/ontology/order,***ons***,***ons***
http://dbpedia.org/resource/Amphicyoninae,http://dbpedia.org/ontology/order,***ons***,***ons***
http://dbpedia.org/resource/Amphicyoninae,http://dbpedia.org/ontology/family,***ons***,***ons***
http://dbpedia.org/resource/Shrew,http://dbpedia.org/ontology/class,***ons***,***ons***
http://dbpedia.org/resource/Common_echymipera,http://dbpedia.org/ontology/class,***ons***,***ons***
http://dbpedia.org/resource/Waterbuck,http://dbpedia.org/ontology/family,***ons***,***ons***
http://dbpedia.org/resource/Striped_dolphin,http://dbpedia.org/ontology/order,***ons***,***ons***
http://dbpedia.org/resource/Striped_dolphin,http://dbpedia.org/ontology/class,***ons***,***ons***
http://dbpedia.org/resource/Propalaeotherium,http://dbpedia.org/ontology/class,***ons***,***ons***
http://dbpedia.org/resource/Jalapan_pine_vole,http://dbpedia.org/ontology/genus,***ons***,***ons***
http://dbpedia.org/resource/Sigmodontinae,http://dbpedia.org/ontology/family,***ons***,***ons***
http://dbpedia.org/resource/Nesoryzomys_indefessus,http://dbpedia.org/ontology/family,***ons***,***ons***
http://dbpedia.org/resource/Presbytherium,http://dbpedia.org/ontology/order,***ons***,***ons***
http://dbpedia.org/resource/Otarocyon,http://dbpedia.org/ontology/family,***ons***,***ons***
http://dbpedia.org/resource/Unduavi_gracile_opossum,http://dbpedia.org/ontology/class,***ons***,***ons***
http://dbpedia.org/resource/Deltatheridiidae,http://dbpedia.org/ontology/order,***ons***,***ons***
http://dbpedia.org/resource/Deltatheridiidae,http://dbpedia.org/ontology/class,***ons***,***ons***
http://dbpedia.org/resource/Long-nosed_bandicoot,http://dbpedia.org/ontology/class,***ons***,***ons***
http://dbpedia.org/resource/Homalodotheriidae,http://dbpedia.org/ontology/order,***ons***,***ons***
http://dbpedia.org/resource/Saudi_gazelle,http://dbpedia.org/ontology/family,***ons***,***ons***
http://dbpedia.org/resource/Parapontoporia,http://dbpedia.org/ontology/order,***ons***,***ons***
http://dbpedia.org/resource/Parapontoporia,http://dbpedia.org/ontology/class,***ons***,***ons***
http://dbpedia.org/resource/Parapontoporia,http://dbpedia.org/ontology/family,***ons***,***ons***
http://dbpedia.org/resource/Rat,http://dbpedia.org/ontology/family,***ons***,***ons***
http://dbpedia.org/resource/Short-beaked_echidna,http://dbpedia.org/ontology/class,***ons***,***ons***
http://dbpedia.org/resource/Hylaeamys,http://dbpedia.org/ontology/family,***ons***,***ons***
http://dbpedia.org/resource/Ankarapithecus,http://dbpedia.org/ontology/family,***ons***,***ons***
http://dbpedia.org/resource/Arizonan_jaguar,http://dbpedia.org/ontology/binomialAuthority,***ons***,***ons***
http://dbpedia.org/resource/Tapirus_copei,http://dbpedia.org/ontology/family,***ons***,***ons***
http://dbpedia.org/resource/Tropical_antechinus,http://dbpedia.org/ontology/class,***ons***,***ons***
http://dbpedia.org/resource/Highland_brush_mouse,http://dbpedia.org/ontology/family,***ons***,***ons***
http://dbpedia.org/resource/Protororqualus,http://dbpedia.org/ontology/order,***ons***,***ons***
http://dbpedia.org/resource/Banteng,http://dbpedia.org/ontology/family,***ons***,***ons***
http://dbpedia.org/resource/Aivukus,http://dbpedia.org/ontology/order,***ons***,***ons***
http://dbpedia.org/resource/Aivukus,http://dbpedia.org/ontology/family,***ons***,***ons***
