uri,cnter
http://dbpedia.org/ontology/kingdom,8982
http://dbpedia.org/ontology/soundRecording,16
http://dbpedia.org/ontology/breeder,1446
http://dbpedia.org/ontology/dam,220
http://dbpedia.org/ontology/class,8981
http://dbpedia.org/ontology/phylum,8939
http://dbpedia.org/ontology/trainer,2466
http://dbpedia.org/ontology/binomialAuthority,3641
http://dbpedia.org/ontology/country,2630
http://dbpedia.org/ontology/sire,2427
http://dbpedia.org/ontology/grandsire,2824
http://dbpedia.org/ontology/domain,9
http://dbpedia.org/ontology/genus,6028
http://dbpedia.org/ontology/family,8488
http://dbpedia.org/ontology/damsire,1940
http://dbpedia.org/ontology/species,535
http://dbpedia.org/ontology/wikiPageExternalLink,2
http://dbpedia.org/ontology/order,8884
http://dbpedia.org/ontology/honours,595
http://dbpedia.org/ontology/thumbnail,6314
http://dbpedia.org/ontology/race,3659
http://dbpedia.org/ontology/jockey,43
http://dbpedia.org/ontology/division,8
http://dbpedia.org/ontology/owner,1937
http://dbpedia.org/ontology/binomial,6
http://dbpedia.org/ontology/colour,3538
http://dbpedia.org/ontology/award,428
