subject,property,current_or_latest,start_time
Ack_Ack_(horse),owner,,
Devon_Ditty,owner,,
Waxy_(horse),owner,,
Animal_Kingdom_(horse),owner,,
Balanchine_(horse),owner,,
Marske_(horse),owner,,
Meadow_Court,owner,,
Pope_Joan_(horse),owner,,
Alycidon,owner,,
Simply_Perfect,owner,,
Dr_Devious,owner,,
King_James_(horse),owner,,
Saltram_(horse),owner,,
Kingsbarns_(horse),owner,,
Les_Arcs_(horse),owner,,
Mount_Nelson_(horse),owner,,
Leading_Light,owner,,
Crucifix_(horse),owner,,
