Property,Type,Ratio,support
http://dbpedia.org/ontology/race,http://dbpedia.org/class/yago/RecurringEventsEstablishedIn1941,0.875,8.0
http://dbpedia.org/ontology/race,http://dbpedia.org/class/yago/RecurringEventsEstablishedIn1878,1.0,7.0
http://dbpedia.org/ontology/race,http://dbpedia.org/class/yago/RecurringEventsEstablishedIn1872,1.0,13.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/GreekArtCollectors,1.0,6.0
http://dbpedia.org/ontology/trainer,http://dbpedia.org/class/yago/AmericanJockeys,0.9,10.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/PeopleFromAthens,1.0,6.0
http://dbpedia.org/ontology/honours,http://dbpedia.org/class/yago/TurfRacesInCanada,1.0,8.0
http://dbpedia.org/ontology/binomialAuthority,http://dbpedia.org/class/yago/SwedishMammalogists,1.0,81.0
http://dbpedia.org/ontology/race,http://dbpedia.org/class/yago/RecurringEventsEstablishedIn1986,0.9230769230769231,13.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/PresidentsOfTheUnitedArabEmirates,1.0,5.0
http://dbpedia.org/ontology/race,http://dbpedia.org/class/yago/RecurringEventsEstablishedIn1926,1.0,24.0
http://dbpedia.org/ontology/honours,http://dbpedia.org/class/yago/CitiesInKentucky,1.0,5.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/PeopleInAFirst-cousinRelationship,1.0,11.0
http://dbpedia.org/ontology/honours,http://dbpedia.org/class/yago/PublishingCompaniesOfEngland,1.0,5.0
http://dbpedia.org/ontology/family,http://dbpedia.org/class/yago/TrueAntelopes,1.0,15.0
http://dbpedia.org/ontology/trainer,http://dbpedia.org/class/yago/PeopleFromCotswold(district),1.0,6.0
http://dbpedia.org/ontology/honours,http://dbpedia.org/class/yago/UngradedStakesRacesInCanada,1.0,14.0
http://dbpedia.org/ontology/race,http://dbpedia.org/class/yago/RecurringEventsEstablishedIn1918,1.0,6.0
http://dbpedia.org/ontology/honours,http://dbpedia.org/class/yago/Grade1StakesRacesInTheUnitedStates,1.0,6.0
http://dbpedia.org/ontology/race,http://dbpedia.org/class/yago/RecurringEventsEstablishedIn1861,1.0,9.0
http://dbpedia.org/ontology/honours,http://dbpedia.org/class/yago/GradedStakesRacesInTheUnitedStates,0.9782608695652174,46.0
http://dbpedia.org/ontology/race,http://dbpedia.org/class/yago/RecurringEventsEstablishedIn1925,1.0,21.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/EmirsOfDubai,1.0,16.0
http://dbpedia.org/ontology/trainer,http://dbpedia.org/class/yago/PeopleOfTheYearAwardsWinners,1.0,6.0
http://dbpedia.org/ontology/honours,http://dbpedia.org/class/yago/SprintCategoryHorseRacesForFilliesAndMares,1.0,6.0
http://dbpedia.org/ontology/race,http://dbpedia.org/class/yago/RecurringEventsEstablishedIn1899,1.0,12.0
