Property,Type,Ratio,support
http://dbpedia.org/ontology/jockey,"http://dbpedia.org/class/yago/PeopleFromNewmarket,Suffolk",1.0,1.0
http://dbpedia.org/ontology/jockey,"http://dbpedia.org/class/yago/PeopleFromCarolina,PuertoRico",1.0,1.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/ChileanEquestrians,1.0,1.0
http://dbpedia.org/ontology/award,http://dbpedia.org/class/yago/OpenMiddleDistanceHorseRaces,0.0,1.0
http://dbpedia.org/ontology/species,http://dbpedia.org/class/yago/DogBreedsOriginatingInThailand,1.0,1.0
http://dbpedia.org/ontology/award,http://dbpedia.org/class/yago/SportsNewspapersPublishedInTheUnitedKingdom,1.0,1.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/PuertoRicanJockeys,1.0,1.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/SurvivorsOfAviationAccidentsOrIncidents,1.0,3.0
http://dbpedia.org/ontology/award,http://dbpedia.org/class/yago/CompaniesEstablishedIn1948,1.0,5.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/PeopleFromCountyKildare,1.0,2.0
http://dbpedia.org/ontology/award,http://dbpedia.org/class/yago/PublishingCompaniesOfEngland,1.0,5.0
http://dbpedia.org/ontology/award,"http://dbpedia.org/class/yago/CompaniesBasedInHalifax,WestYorkshire",1.0,5.0
http://dbpedia.org/ontology/award,http://dbpedia.org/class/yago/OrganizationsEstablishedIn1993,1.0,2.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/ChileanJockeys,1.0,1.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/PeopleFromCountyWaterford,1.0,1.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/PeopleFromCountyClare,1.0,1.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/AmericanChampionJockeys,0.5,2.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/PeopleFromMilan,1.0,1.0
http://dbpedia.org/ontology/soundRecording,http://dbpedia.org/ontology/Sound,0.0,4.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/AmericanJockeys,0.5,2.0
http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Newspaper,1.0,1.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/AmericanActors,1.0,1.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/LivingPeople,0.16666666666666666,6.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/BritishJockeys,1.0,1.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/PeopleFromCountyTipperary,1.0,2.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/IrishJockeys,0.25,4.0
http://dbpedia.org/ontology/award,http://dbpedia.org/class/yago/HorseRacesInTheUnitedStates,1.0,4.0
http://dbpedia.org/ontology/award,http://dbpedia.org/class/yago/HorseRacesInCanada,1.0,3.0
http://dbpedia.org/ontology/award,http://dbpedia.org/class/yago/RecurringEventsEstablishedIn1959,1.0,1.0
http://dbpedia.org/ontology/award,http://dbpedia.org/class/yago/HallsOfFameInCanada,1.0,1.0
http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Award,1.0,16.0
http://dbpedia.org/ontology/award,http://dbpedia.org/class/yago/OrganizationsDisestablishedIn2007,1.0,2.0
http://dbpedia.org/ontology/award,http://dbpedia.org/class/yago/HorseRacesInIllinois,1.0,1.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/ItalianEmigrantsToTheUnitedKingdom,1.0,1.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/PeopleFromHampshire,1.0,1.0
http://dbpedia.org/ontology/award,http://dbpedia.org/class/yago/TurfRacesInTheUnitedStates,1.0,1.0
http://dbpedia.org/ontology/award,http://dbpedia.org/class/yago/HorseRacesInGreatBritain,1.0,2.0
http://dbpedia.org/ontology/jockey,"http://dbpedia.org/class/yago/PeopleFromCaldwell,Idaho",1.0,1.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/ScottishJockeys,1.0,1.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/EnglishPeopleOfItalianDescent,1.0,1.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/PeopleFromConcepci%C3%B3n,1.0,1.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/ChileanPeople,1.0,1.0
http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/HorseRace,0.0,1.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/PeopleFromLongIsland,1.0,1.0
http://dbpedia.org/ontology/award,http://dbpedia.org/class/yago/Grade1TurfStakesRacesInTheUnitedStates,1.0,1.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/ItalianJockeys,1.0,1.0
http://dbpedia.org/ontology/award,http://dbpedia.org/class/yago/FlatRacesInGreatBritain,0.0,1.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/ontology/Jockey,0.2222222222222222,9.0
http://dbpedia.org/ontology/jockey,http://dbpedia.org/class/yago/FrenchJockeys,1.0,1.0
