Property,Type,Ratio,support
http://dbpedia.org/ontology/honours,http://dbpedia.org/class/yago/NewspapersPublishedInMilan,1.0,1.0
http://dbpedia.org/ontology/binomialAuthority,http://dbpedia.org/class/yago/WollastonMedalWinners,1.0,1.0
http://dbpedia.org/ontology/honours,http://dbpedia.org/class/yago/PortSettlementsInOntario,1.0,1.0
http://dbpedia.org/ontology/honours,http://dbpedia.org/class/yago/PrefecturesOfJapan,1.0,1.0
http://dbpedia.org/ontology/family,http://dbpedia.org/class/yago/Bears,0.0,1.0
http://dbpedia.org/ontology/family,http://dbpedia.org/class/yago/Opossums,1.0,3.0
http://dbpedia.org/ontology/trainer,http://dbpedia.org/class/yago/PeopleFromYvelines,1.0,1.0
http://dbpedia.org/ontology/honours,http://dbpedia.org/class/yago/SportsVenuesInNewJersey,1.0,2.0
http://dbpedia.org/ontology/trainer,http://dbpedia.org/class/yago/ManchesterCityF.C.Players,1.0,1.0
http://dbpedia.org/ontology/honours,http://dbpedia.org/class/yago/NationalHuntRacesInIreland,1.0,1.0
http://dbpedia.org/ontology/trainer,http://dbpedia.org/class/yago/YoungerSonsOfEarls,1.0,1.0
http://dbpedia.org/ontology/binomialAuthority,http://dbpedia.org/class/yago/PeopleFromSeine-Maritime,1.0,1.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/Non-fictionEnvironmentalWriters,1.0,1.0
http://dbpedia.org/ontology/race,"http://dbpedia.org/class/yago/SportsInCleveland,Ohio",1.0,4.0
http://dbpedia.org/ontology/race,http://dbpedia.org/class/yago/RecurringEventsEstablishedIn1990,1.0,3.0
http://dbpedia.org/ontology/honours,http://dbpedia.org/class/yago/RecurringEventsEstablishedIn1981,1.0,1.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/SwissPeopleOfPakistaniDescent,1.0,2.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/IrishTaxExiles,1.0,1.0
http://dbpedia.org/ontology/binomialAuthority,http://dbpedia.org/class/yago/ExplorersOfSouthAmerica,1.0,2.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/PeopleFromMinsk,1.0,2.0
http://dbpedia.org/ontology/honours,http://dbpedia.org/class/yago/HorseRacesInFlorida,1.0,3.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/HeadsOfStateOfSaintLucia,1.0,1.0
http://dbpedia.org/ontology/breeder,http://dbpedia.org/class/yago/AmbassadorsOfTheUnitedStatesToTheUnitedKingdom,1.0,2.0
http://dbpedia.org/ontology/trainer,"http://dbpedia.org/class/yago/PeopleFromSaratogaSprings,NewYork",1.0,1.0
http://dbpedia.org/ontology/trainer,http://dbpedia.org/class/yago/CubanHorseTrainers,1.0,3.0
http://dbpedia.org/ontology/country,http://dbpedia.org/class/yago/EuropeanUnionMemberEconomies,1.0,1.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/MajorLeagueBaseballExecutives,1.0,1.0
http://dbpedia.org/ontology/family,http://dbpedia.org/class/yago/OldWorldMonkeys,1.0,2.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/PeopleFromLongIsland,1.0,1.0
http://dbpedia.org/ontology/owner,"http://dbpedia.org/class/yago/CompaniesBasedInLexington,Kentucky",1.0,3.0
http://dbpedia.org/ontology/honours,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1872,1.0,3.0
http://dbpedia.org/ontology/honours,"http://dbpedia.org/class/yago/CitiesInNapaCounty,California",1.0,3.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/CanadianIceHockeyCoaches,1.0,1.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/EmperorsOfIndia,1.0,1.0
http://dbpedia.org/ontology/trainer,http://dbpedia.org/class/yago/ArgentineHorseTrainers,1.0,3.0
http://dbpedia.org/ontology/country,http://dbpedia.org/class/yago/NorthernAmericanCountries,1.0,1.0
