Person,Property,Type,rn,rel_rate
http://dbpedia.org/resource/Roscoe-Dunaway_Gardens_Historic_District,location,City,85,**
http://dbpedia.org/resource/Iron_Gate_II_Hydroelectric_Power_Station,location,Country,85,**
http://dbpedia.org/resource/101_Warren_Street,location,City,85,1
"http://dbpedia.org/resource/Firehouse,_Engine_Company_33_and_Ladder_Company_9",location,City,85,1
http://dbpedia.org/resource/Taltal_wind_farm,location,City,85,**
http://dbpedia.org/resource/St._James'_Roman_Catholic_Church_(Manhattan),location,City,85,1
http://dbpedia.org/resource/Strother_Army_Airfield,location,City,85,**
http://dbpedia.org/resource/Wadi_Araba_Crossing,locatedInArea,Country,85,**
http://dbpedia.org/resource/18_Gramercy_Park,location,City,85,1
http://dbpedia.org/resource/Huanggou_Pumped_Storage_Power_Station,location,City,85,**
http://dbpedia.org/resource/Arlington_Mills_Historic_District,location,City,85,**
http://dbpedia.org/resource/Hallam_Line,location,City,85,**
http://dbpedia.org/resource/Cadenazzo–Luino_railway,location,Country,85,**
http://dbpedia.org/resource/Mohéli_Bandar_Es_Eslam_Airport,location,Country,85,**
http://dbpedia.org/resource/Kinzua_Dam,location,Town,85,**
http://dbpedia.org/resource/Ramada_Plaza_JFK_Hotel,location,City,85,1
http://dbpedia.org/resource/Our_Lady_of_Vilnius_Church_(New_York_City),location,City,85,1
http://dbpedia.org/resource/Elmira/Corning_Regional_Airport,location,Town,85,**
http://dbpedia.org/resource/23rd_Regiment_Armory,location,City,85,1
http://dbpedia.org/resource/Øresund_Bridge,locatedInArea,Country,85,**
http://dbpedia.org/resource/Nissay_Theatre,location,City,85,**
http://dbpedia.org/resource/Mount_Morris_Bank_Building,location,City,85,1
http://dbpedia.org/resource/90_Church_Street,location,City,85,1
http://dbpedia.org/resource/State_Street_Houses,location,City,85,1
http://dbpedia.org/resource/Harrogate_Line,location,City,85,**
http://dbpedia.org/resource/Saskatchewan_Drive,location,City,85,**
http://dbpedia.org/resource/St._Paul's_Episcopal_Church_(Brooklyn),location,City,85,1
http://dbpedia.org/resource/Hamilton_Fish_House,location,City,85,1
http://dbpedia.org/resource/Carpenter's_Flats_Bridge,location,Town,85,**
http://dbpedia.org/resource/Johor_Bahru–Singapore_Rapid_Transit_System,owner,GovernmentAgency,85,**
http://dbpedia.org/resource/Pink_Line_(Delhi_Metro),location,City,85,**
http://dbpedia.org/resource/Durra_Border_Crossing,locatedInArea,Country,85,**
"http://dbpedia.org/resource/St._Helena's_Church_(Bronx,_New_York)",location,City,85,1
http://dbpedia.org/resource/Thompson_Street_(Manhattan),location,City,85,1
http://dbpedia.org/resource/Brunnerville_Road_Bridge_over_Hammer_Creek,location,Town,85,**
"http://dbpedia.org/resource/Kings_Theatre_(Brooklyn)__Loew's_Kings_Theatre,__1",location,City,85,1
http://dbpedia.org/resource/Barbizon_63,location,City,85,1
http://dbpedia.org/resource/Maritime_Museum_(Macau),location,Country,85,**
http://dbpedia.org/resource/New_international_airport_for_Mexico_City,location,Town,85,**
http://dbpedia.org/resource/The_Langham,location,City,85,1
http://dbpedia.org/resource/Andrew_Carnegie_Mansion,location,City,85,1
