Person,Property,Type,rn,rel_rate
http://dbpedia.org/resource/Tenjimbashisuji_Rokuchōme_Station,servingRailwayLine,Rapid_transit,dbot_rules,**
http://dbpedia.org/resource/Roscoe-Dunaway_Gardens_Historic_District,location,City,dbot_rules,**
http://dbpedia.org/resource/Suzhou_Amusement_Land_Station,servingRailwayLine,Rapid_transit,dbot_rules,**
http://dbpedia.org/resource/Hershey's_Chocolate_World,location,City,dbot_rules,**
http://dbpedia.org/resource/Takikawa_Station,servingRailwayLine,Regional_rail,dbot_rules,**
http://dbpedia.org/resource/63rd_Street_Lines,location,Borough_(New_York_City),dbot_rules,**
http://dbpedia.org/resource/Biella_San_Paolo_railway_station,servingRailwayLine,Passenger_rail_terminology,dbot_rules,**
http://dbpedia.org/resource/Romagnano_Sesia_railway_station,servingRailwayLine,Passenger_rail_terminology,dbot_rules,**
http://dbpedia.org/resource/Muntaner_(Barcelona–Vallès_Line),type,Rapid_transit,dbot_rules,**
http://dbpedia.org/resource/Strother_Army_Airfield,location,City,dbot_rules,**
http://dbpedia.org/resource/Vallur_Thermal_Power_Project,owner,State-owned_enterprise,dbot_rules,**
http://dbpedia.org/resource/Chikatetsu-Akatsuka_Station,servingRailwayLine,Rapid_transit,dbot_rules,**
http://dbpedia.org/resource/Taipei_Railway_Station,servingRailwayLine,Rapid_transit,dbot_rules,**
http://dbpedia.org/resource/Sikandarpur_metro_station,type,Rapid_transit,dbot_rules,**
http://dbpedia.org/resource/Kokkai-gijidō-mae_Station,servingRailwayLine,Rapid_transit,dbot_rules,**
http://dbpedia.org/resource/Mainz_Römisches_Theater_station,servingRailwayLine,Regional_rail,dbot_rules,**
http://dbpedia.org/resource/Mainz_Römisches_Theater_station,servingRailwayLine,Passenger_rail_terminology,dbot_rules,**
http://dbpedia.org/resource/Westfield_Liverpool,owner,Public_company,dbot_rules,**
http://dbpedia.org/resource/Akasaka-mitsuke_Station,servingRailwayLine,Rapid_transit,dbot_rules,**
http://dbpedia.org/resource/Morinomiya_Station,servingRailwayLine,Rapid_transit,dbot_rules,**
http://dbpedia.org/resource/Songjiang_Nanjing_Station,servingRailwayLine,Rapid_transit,dbot_rules,**
http://dbpedia.org/resource/Formosa_Boulevard_Station,servingRailwayLine,Rapid_transit,dbot_rules,**
http://dbpedia.org/resource/Hangzhou_South_Railway_Station,servingRailwayLine,Passenger_rail_terminology,dbot_rules,**
http://dbpedia.org/resource/Ichigaya_Station,servingRailwayLine,Rapid_transit,dbot_rules,**
http://dbpedia.org/resource/Panli_Lu_Station,servingRailwayLine,Rapid_transit,dbot_rules,**
http://dbpedia.org/resource/Bamberg_station,servingRailwayLine,Regional_rail,dbot_rules,**
http://dbpedia.org/resource/Bamberg_station,servingRailwayLine,Passenger_rail_terminology,dbot_rules,**
http://dbpedia.org/resource/Martina_Franca_railway_station,servingRailwayLine,Passenger_rail_terminology,dbot_rules,**
