Person,Property,Type,rn
http://dbpedia.org/resource/National_Museum_of_Health_and_Medicine,http://dbpedia.org/ontology/type,***ons***,***ons***
http://dbpedia.org/resource/Felix_Avenue,http://dbpedia.org/ontology/routeStart,***ons***,***ons***
http://dbpedia.org/resource/Tumby_Woodside_railway_station,http://dbpedia.org/ontology/owner,***ons***,***ons***
http://dbpedia.org/resource/National_Route_42_(South_Korea),http://dbpedia.org/ontology/routeStart,***ons***,***ons***
http://dbpedia.org/resource/National_Route_42_(South_Korea),http://dbpedia.org/ontology/routeEnd,***ons***,***ons***
http://dbpedia.org/resource/Vikhroli_railway_station,http://dbpedia.org/ontology/owner,***ons***,***ons***
http://dbpedia.org/resource/Vikhroli_railway_station,http://dbpedia.org/ontology/owningOrganisation,***ons***,***ons***
http://dbpedia.org/resource/Naigaon_railway_station,http://dbpedia.org/ontology/owner,***ons***,***ons***
http://dbpedia.org/resource/Naigaon_railway_station,http://dbpedia.org/ontology/owningOrganisation,***ons***,***ons***
http://dbpedia.org/resource/Sognefjellsvegen,http://dbpedia.org/ontology/routeStart,***ons***,***ons***
http://dbpedia.org/resource/Sognefjellsvegen,http://dbpedia.org/ontology/routeEnd,***ons***,***ons***
http://dbpedia.org/resource/Shinshōnan_Bypass,http://dbpedia.org/ontology/routeStart,***ons***,***ons***
http://dbpedia.org/resource/Shinshōnan_Bypass,http://dbpedia.org/ontology/routeEnd,***ons***,***ons***
http://dbpedia.org/resource/Road_21_(Iran),http://dbpedia.org/ontology/routeStart,***ons***,***ons***
http://dbpedia.org/resource/Road_21_(Iran),http://dbpedia.org/ontology/routeEnd,***ons***,***ons***
http://dbpedia.org/resource/Great_Central_Main_Line,http://dbpedia.org/ontology/routeStart,***ons***,***ons***
http://dbpedia.org/resource/Road_62_(Iran),http://dbpedia.org/ontology/routeStart,***ons***,***ons***
http://dbpedia.org/resource/Road_62_(Iran),http://dbpedia.org/ontology/routeEnd,***ons***,***ons***
http://dbpedia.org/resource/North_South_MRT_Line,http://dbpedia.org/ontology/routeEnd,***ons***,***ons***
http://dbpedia.org/resource/Texas_State_Highway_39,http://dbpedia.org/ontology/routeEnd,***ons***,***ons***
http://dbpedia.org/resource/Macarthur_Wind_Farm,http://dbpedia.org/ontology/owner,***ons***,***ons***
http://dbpedia.org/resource/Texas_State_Highway_33,http://dbpedia.org/ontology/routeStart,***ons***,***ons***
http://dbpedia.org/resource/Main_Line_(NJ_Transit),http://dbpedia.org/ontology/routeStart,***ons***,***ons***
http://dbpedia.org/resource/Main_Line_(NJ_Transit),http://dbpedia.org/ontology/routeEnd,***ons***,***ons***
http://dbpedia.org/resource/Texas_State_Highway_34,http://dbpedia.org/ontology/routeStart,***ons***,***ons***
http://dbpedia.org/resource/Demarest_(Erie_Railroad_station),http://dbpedia.org/ontology/owner,***ons***,***ons***
http://dbpedia.org/resource/Demarest_(Erie_Railroad_station),http://dbpedia.org/ontology/owningOrganisation,***ons***,***ons***
http://dbpedia.org/resource/George_V._Voinovich_Bridges,http://dbpedia.org/ontology/crosses,***ons***,***ons***
http://dbpedia.org/resource/New_York_State_Route_79,http://dbpedia.org/ontology/routeEnd,***ons***,***ons***
http://dbpedia.org/resource/National_Highway_43_(India)(old_numbering),http://dbpedia.org/ontology/routeStart,***ons***,***ons***
http://dbpedia.org/resource/National_Highway_43_(India)(old_numbering),http://dbpedia.org/ontology/routeEnd,***ons***,***ons***
http://dbpedia.org/resource/South_Side_main_line_(CTA),http://dbpedia.org/ontology/operatedBy,***ons***,***ons***
http://dbpedia.org/resource/8BC,http://dbpedia.org/ontology/type,***ons***,***ons***
http://dbpedia.org/resource/Grant_McConachie_Way,http://dbpedia.org/ontology/routeStart,***ons***,***ons***
