uri,cnter
http://dbpedia.org/ontology/type,17065
http://dbpedia.org/ontology/maintainedBy,1365
http://dbpedia.org/ontology/primaryFuelType,3011
http://dbpedia.org/ontology/routeStart,17705
http://dbpedia.org/ontology/servingRailwayLine,14929
http://dbpedia.org/ontology/river,1752
http://dbpedia.org/ontology/locatedInArea,3499
http://dbpedia.org/ontology/typeOfElectrification,1139
http://dbpedia.org/ontology/architect,11891
http://dbpedia.org/ontology/routeEnd,17110
http://dbpedia.org/ontology/director,155
http://dbpedia.org/ontology/country,20816
http://dbpedia.org/ontology/nearestCity,4638
http://dbpedia.org/ontology/operatedBy,5284
http://dbpedia.org/ontology/owningOrganisation,10798
http://dbpedia.org/ontology/routeStartLocation,159
http://dbpedia.org/ontology/crosses,3272
http://dbpedia.org/ontology/isPartOf,1506
http://dbpedia.org/ontology/engineer,204
http://dbpedia.org/ontology/routeJunction,8727
http://dbpedia.org/ontology/part,3001
http://dbpedia.org/ontology/county,302
http://dbpedia.org/ontology/routeEndLocation,153
http://dbpedia.org/ontology/lake,2362
http://dbpedia.org/ontology/picture,1758
http://dbpedia.org/ontology/architecturalStyle,19632
http://dbpedia.org/ontology/municipality,380
http://dbpedia.org/ontology/constructionMaterial,446
http://dbpedia.org/ontology/ruralMunicipality,175
http://dbpedia.org/ontology/chain,131
http://dbpedia.org/ontology/builder,1376
http://dbpedia.org/ontology/thumbnail,131535
http://dbpedia.org/ontology/district,6427
http://dbpedia.org/ontology/operator,6511
http://dbpedia.org/ontology/city,9880
http://dbpedia.org/ontology/region,1988
http://dbpedia.org/ontology/railwayLineUsingTunnel,87
http://dbpedia.org/ontology/tenant,6874
http://dbpedia.org/ontology/genre,178
http://dbpedia.org/ontology/state,1822
http://dbpedia.org/ontology/location,105788
http://dbpedia.org/ontology/railwayRollingStock,780
http://dbpedia.org/ontology/structuralSystem,165
http://dbpedia.org/ontology/availableSmartCard,767
http://dbpedia.org/ontology/locationCountry,505
http://dbpedia.org/ontology/owner,25552
http://dbpedia.org/ontology/headChef,77
http://dbpedia.org/ontology/nrhpType,167
http://dbpedia.org/ontology/governingBody,1226
http://dbpedia.org/ontology/award,102
