subject,property,current_or_latest,start_time
Palghar_railway_station,owner,,
Bunnerong_Power_Station,owner,,
Sedgeford_railway_station,owner,,
Comcast_Innovation_and_Technology_Center,owner,,
Jabalpur_Junction_railway_station,owner,,
Mount_Eden_Railway_Station,owner,,
Stade_Nuclear_Power_Plant,owner,,
Raikabag_Palace_Junction_railway_station,owner,,
Kopar_Khairane_railway_station,owner,,
Lehigh_Line_(Norfolk_Southern),owner,,
Thiruninravur_railway_station,owner,,
Sha_Tin_Airfield,owner,,
Muhibbah_LRT_Station,owner,,
Princesshay,owner,,
Perambur_Loco_Works_railway_station,owner,,
Gare_de_Blois,owner,,
Bude_railway_station,owner,,
Dadar_railway_station,owner,,
Crossrail_2,owner,,
Gare_de_Rennes,owner,,
Neral_railway_station,owner,,
Pukekohe_Railway_Station,owner,,
Changjiang_Nuclear_Power_Plant,owner,,
Walter_Rand_Transportation_Center,owner,,
Shoscombe_and_Single_Hill_Halt_railway_station,owner,,
Holmsley_railway_station,owner,,
MetroCentre_(shopping_centre),owner,,
Broadwater_Energy,owner,,
Viking_Wind_Farm,owner,,
Gorleston_Links_railway_station,owner,,
Grand_Century_Place,owner,,
Pulham_Market_railway_station,owner,,
Partridge_Green_railway_station,owner,,
Basin_Bridge_railway_station,owner,,
Westroads_Mall,owner,,
Jumbo_Shopping_Centre,owner,,
Chantilly_Racecourse,owner,,
Helensville_railway_station,owner,,
Bharuch_Junction_railway_station,owner,,
Corton_railway_station,owner,,
Chadstone_Shopping_Centre,owner,,
Hinkley_Point_B_Nuclear_Power_Station,owner,,
Gare_de_Saint-Nazaire,owner,,
Greenwich_station,owner,,
Dahanu_Road,owner,,
Lutterworth_railway_station,owner,,
Sawai_Madhopur_Junction_railway_station,owner,,
Nahur_railway_station,owner,,
Gare_de_Dommartin-Remiencourt,owner,,
Vikhroli_railway_station,owner,,
Yorkdale_Shopping_Centre,owner,,
Siam_Paragon,owner,,
200_Vesey_Street,owner,,
Oldman_River_Hydroelectric_Plant,owner,,
Horringford_railway_station,owner,,
Barcombe_Mills_railway_station,owner,,
Holdom_station,owner,,
Maruyama_Dam,owner,,
Udaipur_City_railway_station,owner,,
Indira_Gandhi_Super_Thermal_Power_Project,owner,,
Mira_Road_railway_station,owner,,
Shek_Kong_Airfield,owner,,
Rentschler_Field,owner,,
Bexhill_West_Branch_Line,owner,,
Pattabiram_West_railway_station,owner,,
Khadavli_railway_station,owner,,
Panmure_Railway_Station,owner,,
Ratnagiri_railway_station,owner,,
Gare_de_Cramoisy,owner,,
Ogilvie_Transportation_Center,owner,,
Ollur_railway_station,owner,,
Urapakkam_railway_station,owner,,
Kampung_Baru_LRT_Station,owner,,
Kalamboli_railway_station,owner,,
Kalyan_Junction_railway_station,owner,,
Mazhom_railway_station,owner,,
Boston_Garden,owner,,
Andheri_railway_station,owner,,
Grain_Crossing_Halt_railway_station,owner,,
Fashion_Valley_Mall,owner,,
IOI_Puchong_Jaya_LRT_Station,owner,,
Sapperton_station,owner,,
Kelavli_railway_station,owner,,
Almaraz_Nuclear_Power_Plant,owner,,
Yarmouth_(Isle_of_Wight)_railway_station,owner,,
Khandeshwar_railway_station,owner,,
Brussels-West_station,owner,,
Columbia_Energy_Center,owner,,
Carlton_Hill_(Erie_Railroad_station),owner,,
Gare_d'Ossun,owner,,
Taloja_railway_station,owner,,
Rose_Quarter,owner,,
The_Galleria,owner,,
East_Grinstead_railway_station,owner,,
Westfield_Southland,owner,,
Joffre_Cogeneration_Plant,owner,,
Sturges_Road_Railway_Station,owner,,
Singaperumal_Koil_railway_station,owner,,
Vadodara_Junction_railway_station,owner,,
Ryhall_railway_station,owner,,
Anderston_Centre,owner,,
Sheringham_Shoal_Offshore_Wind_Farm,owner,,
Creswell_and_Welbeck_railway_station,owner,,
Gare_de_Guillaucourt,owner,,
Government_House_(British_Columbia),owner,,
Bombo_Military_Hospital,owner,,
Flordon_railway_station,owner,,
Michigan_Line,owner,,
Thrissur_railway_station,owner,,
Mahalaxmi_railway_station,owner,,
MetLife_Building,owner,,
Mile_High_Stadium,owner,,
Penda's_Way_railway_station,owner,,
Cawston_railway_station,owner,,
Jamestown_(Erie_Railroad_station),owner,,
Gadarwara_railway_station,owner,,
Central_Milton_Keynes_Shopping_Centre,owner,,
Euston_St._Pancras_railway_station,owner,,
Padi_railway_station,owner,,
V._O._C._Nagar_railway_station,owner,,
Blandford_Forum_railway_station,owner,,
Isleta_Station,owner,,
Gare_de_Montescourt,owner,,
Penmanshiel_Tunnel,owner,,
Ticha_Stadium,owner,,
Wawel_Castle,owner,,
Alam_Megah_LRT_Station,owner,,
Pattabiram_East_Depot_railway_station,owner,,
Tivetshall_railway_station,owner,,
Moda_Center,owner,,
Gare_de_Chepoix,owner,,
Port_Moller_Airport,owner,,
Andasol_Solar_Power_Station,owner,,
Shepton_Mallet_(Charlton_Road)_railway_station,owner,,
Blackhorse_Road_station,owner,,
Heathfield_(Sussex)_railway_station,owner,,
The_Four_Seasons_Restaurant,owner,,
Westerham_railway_station,owner,,
Perambur_Carriage_Works_railway_station,owner,,
Kurla_railway_station,owner,,
Gladstone_Power_Station,owner,,
Taman_Jaya_LRT_Station,owner,,
Otahuhu_Railway_Station,owner,,
Newport_railway_station_(IoWCR),owner,,
Vandalur_railway_station,owner,,
Chetput_railway_station,owner,,
Thirumullaivoyal_railway_station,owner,,
Bandra_railway_station,owner,,
Kilnhurst_Central_railway_station,owner,,
Currey_Road_railway_station,owner,,
Ekibastuz_GRES-1,owner,,
Wincanton_railway_station,owner,,
Demarest_(Erie_Railroad_station),owner,,
Kerinchi_LRT_Station,owner,,
Middle_Stoke_Halt_railway_station,owner,,
Aluva_railway_station,owner,,
Taman_Paramount_LRT_Station,owner,,
Lavant_railway_station,owner,,
Guduvancheri_railway_station,owner,,
Shri_Mahabirji_railway_station,owner,,
Gare_de_Marseille-Saint-Charles,owner,,
Bailey_Gate_railway_station,owner,,
Sheffield_station,owner,,
Clifton_(Erie_Railroad_station),owner,,
Nanaimo_station,owner,,
Fakenham_East_railway_station,owner,,
Gilmore_station,owner,,
Alverstone_railway_station,owner,,
Otago_Central_Railway,owner,,
Swanson_Railway_Station,owner,,
Ghansoli_railway_station,owner,,
Woodfield_Mall,owner,,
Itchen_Abbas_railway_station,owner,,
Scott_Road_station,owner,,
Holkham_railway_station,owner,,
Putra_Heights_LRT_Station,owner,,
Kandivali_railway_station,owner,,
Sangtuda_1_Hydroelectric_Power_Plant,owner,,
Long_Branch_Saloon,owner,,
Sewri_railway_station,owner,,
Upperthorpe_and_Killamarsh_railway_station,owner,,
Calder_Race_Course,owner,,
Richland_Hills_(TRE_station),owner,,
Kodambakkam_railway_station,owner,,
Veppampattu_railway_station,owner,,
Val_de_Fontenay_(Paris_RER),owner,,
Hopton-on-Sea_railway_station,owner,,
Morningside_Road_railway_station,owner,,
Trona_Airport,owner,,
Foxboro_Stadium,owner,,
Kaman_Road_railway_station,owner,,
Jalna_railway_station,owner,,
Meadowbank_Railway_Station_(New_Zealand),owner,,
Misawa_Airport,owner,,
Southfleet_railway_station,owner,,
Sportsman's_Park,owner,,
Blackford_Hill_railway_station,owner,,
Sultan_Iskandar_Building,owner,,
RAF_Hythe,owner,,
29th_Avenue_station,owner,,
Emsland_Nuclear_Power_Plant,owner,,
Kelana_Jaya_LRT_Station,owner,,
Manukau_Supa_Centa,owner,,
Government_House_(Alberta),owner,,
Sion_railway_station,owner,,
Gare_d'Hendaye,owner,,
New_Haven_Line,owner,,
Stourbridge_Basin,owner,,
Shirebrook_North_railway_station,owner,,
High_Speed_1,owner,,
Dativali_railway_station,owner,,
Lincs_Wind_Farm,owner,,
HaYarkon_96,owner,,
Uniroyal_Giant_Tire,owner,,
New_Westminster_station,owner,,
Brookland_Halt_railway_station,owner,,
Gare_de_Nantes,owner,,
Awan_Besar_LRT_Station,owner,,
Forest_Row_railway_station,owner,,
Nala_Sopara_railway_station,owner,,
Saidapet_railway_station,owner,,
Eastern_Corridor_Commuter_Rail,owner,,
Foulsham_railway_station,owner,,
Dockyard_Road_railway_station,owner,,
Tayside_House,owner,,
Walnut_Tree_Viaduct,owner,,
Heritage_Corridor,owner,,
Gare_de_Clermont-de-l'Oise,owner,,
Sheffield_Victoria_railway_station,owner,,
Charni_Road_railway_station,owner,,
Hammersmith_Apollo,owner,,
Hartlepool_Nuclear_Power_Station,owner,,
Saharanpur_Junction_railway_station,owner,,
Clementi_Mall,owner,,
Kathivakkam_railway_station,owner,,
Glen_Innes_Railway_Station,owner,,
Cliffe_railway_station,owner,,
Elphinstone_Road_railway_station,owner,,
Nickelodeon_Resorts_by_Marriott,owner,,
Gare_d'Abbeville,owner,,
Morningside_Railway_Station,owner,,
Chromepet_railway_station,owner,,
Lembah_Subang_LRT_Station,owner,,
Parel_railway_station,owner,,
Friends_Arena,owner,,
Baynards_railway_station,owner,,
Palace_Theatre_(New_York_City),owner,Nederlander_Organization,1965-01-01T00:00:00Z
Boisar_railway_station,owner,,
Edinburgh_Gateway_station,owner,,
RAF_Gatow,owner,,
Glastonbury_and_Street_railway_station,owner,,
Gare_d'Orthez,owner,,
New_Romney_and_Littlestone-on-Sea_railway_station,owner,,
Rybnik_Power_Station,owner,,
Dudgeon_Offshore_Wind_Farm,owner,,
Damai_LRT_Station_(Malaysia),owner,,
Mudd_Club,owner,,
Remuera_Railway_Station,owner,,
Anuppampattu_railway_station,owner,,
Gemini_Wind_Farm,owner,,
Alpha_Ventus_Offshore_Wind_Farm,owner,,
Gare_de_Lourdes,owner,,
Helsinki_Music_Centre,owner,,
Heathrow_Airtrack,owner,,
