Property,Type,Ratio,support
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/CountriesBorderingTheSouthChinaSea,1.0,6.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/OklahomaRailroads,0.9090909090909091,11.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/PlannedCitiesInTheUnitedStates,1.0,7.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/CountiesInTheSanFranciscoBayArea,1.0,6.0
http://dbpedia.org/ontology/type,http://dbpedia.org/class/yago/PassengerRailroadsInTheUnitedStates,1.0,30.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/class/yago/FormerIndianCapitalCities,0.875,8.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/Empires,1.0,11.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/ElectricRailways,1.0,7.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/ArizonaRailroads,0.9090909090909091,11.0
http://dbpedia.org/ontology/type,http://dbpedia.org/class/yago/RailwayCompaniesDisestablishedIn1905,1.0,8.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1991,1.0,5.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/LandlockedCountries,1.0,5.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/WestVirginiaRailroads,1.0,9.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/class/yago/ArrivaGroupCompanies,0.875,8.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/CountriesOfTheMediterraneanSea,1.0,7.0
http://dbpedia.org/ontology/type,http://dbpedia.org/class/yago/WestVirginiaRailroads,1.0,30.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1833,1.0,21.0
http://dbpedia.org/ontology/type,http://dbpedia.org/class/yago/DeckArchBridges,1.0,5.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/BicontinentalCountries,1.0,23.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/class/yago/LouisianaRailroads,1.0,11.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/MemberStatesOfTheUnitedNations,0.9493670886075949,79.0
http://dbpedia.org/ontology/type,http://dbpedia.org/class/yago/Government-ownedCompaniesOfTheUnitedStates,1.0,30.0
http://dbpedia.org/ontology/type,http://dbpedia.org/class/yago/VermontRailroads,1.0,30.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/class/yago/Washington(state)Railroads,1.0,11.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/Government-ownedCompaniesOfNewZealand,1.0,24.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/PopulatedPlacesInTheUnitedStatesWithAfricanAmericanPluralityPopulations,1.0,6.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/class/yago/StandardGaugeRailwaysInTheUnitedStates,1.0,14.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1291,1.0,5.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1793,1.0,5.0
http://dbpedia.org/ontology/type,http://dbpedia.org/class/yago/NorthAmericanRailroadsByFormerCompany,1.0,30.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/KansasRailroads,0.9090909090909091,11.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/MetropolitanCounties,1.0,5.0
http://dbpedia.org/ontology/type,http://dbpedia.org/class/yago/ElectricRailways,1.0,30.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/NewYorkRailroads,0.9090909090909091,11.0
http://dbpedia.org/ontology/type,http://dbpedia.org/class/yago/NevadaRailroads,1.0,30.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/class/yago/PassengerRailroadsInTheUnitedStates,1.0,11.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1912,1.0,13.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/BlackSeaCountries,1.0,8.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/class/yago/VirginiaRailroads,1.0,11.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/class/yago/MissouriRailroads,1.0,11.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/CitiesInNewYork,1.0,6.0
