Property,Type,Ratio,support
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/CrossbenchLifePeers,1.0,2.0
http://dbpedia.org/ontology/nearestCity,"http://dbpedia.org/class/yago/PopulatedPlacesInSedgwickCounty,Kansas",1.0,1.0
http://dbpedia.org/ontology/tenant,http://dbpedia.org/class/yago/EducationalInstitutionsEstablishedIn1914,1.0,1.0
http://dbpedia.org/ontology/picture,http://dbpedia.org/class/yago/WorldHeritageSitesInGermany,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/PeopleFromFeuerthalen,1.0,1.0
http://dbpedia.org/ontology/picture,http://dbpedia.org/class/yago/MemberStatesOfTheUnitedNations,1.0,1.0
http://dbpedia.org/ontology/picture,http://dbpedia.org/ontology/Country,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/PresidentsOfTheRoyalInstituteOfBritishArchitects,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/CompanionsOfTheOrderOfCanada,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/FinnishFurnitureDesigners,0.0,1.0
http://dbpedia.org/ontology/tenant,http://dbpedia.org/class/yago/OnlineBrokerages,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/GothicRevivalArchitects,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/FinnishEmigrantsToTheUnitedStates,1.0,1.0
http://dbpedia.org/ontology/tenant,http://dbpedia.org/class/yago/PublicCorporationsOfTheUnitedKingdomGovernment,1.0,1.0
http://dbpedia.org/ontology/nearestCity,"http://dbpedia.org/class/yago/PopulatedPlacesInCoffeyCounty,Kansas",0.0,1.0
http://dbpedia.org/ontology/picture,http://dbpedia.org/class/yago/MemberStatesOfNATO,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/EnglishPeopleOfFrenchDescent,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/AlumniOfTheAcad%C3%A9mieDeLaGrandeChaumi%C3%A8re,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/AmericanDesigners,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/PhillipsExeterAcademyAlumni,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/AaltoUniversityAlumni,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/PeopleFromToronto,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/PostmodernArchitects,0.0,1.0
http://dbpedia.org/ontology/operator,"http://dbpedia.org/class/yago/SportsInMinneapolis,Minnesota",1.0,1.0
http://dbpedia.org/ontology/tenant,http://dbpedia.org/class/yago/CognitiveScienceResearchInstitutes,1.0,1.0
http://dbpedia.org/ontology/tenant,http://dbpedia.org/class/yago/MinnesotaSoccerClubs,1.0,1.0
http://dbpedia.org/ontology/picture,http://dbpedia.org/class/yago/MemberStatesOfTheEuropeanUnion,1.0,1.0
http://dbpedia.org/ontology/architect,"http://dbpedia.org/class/yago/PeopleFromPortland,Oregon",1.0,1.0
http://dbpedia.org/ontology/architect,"http://dbpedia.org/class/yago/AlumniOfSt.Paul'sCollege,HongKong",1.0,1.0
http://dbpedia.org/ontology/picture,http://dbpedia.org/class/yago/CountriesBorderingTheBalticSea,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/NRHPArchitects,1.0,4.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/AlumniOfUniversityCollegeDublin,1.0,1.0
http://dbpedia.org/ontology/architect,"http://dbpedia.org/class/yago/CompaniesBasedInLosAngeles,California",1.0,1.0
http://dbpedia.org/ontology/tenant,http://dbpedia.org/class/yago/AssociationFootballClubsEstablishedIn1984,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/ArchitectsFromMichigan,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/ViaductEngineers,1.0,3.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/AlumniOfThe%C3%89colePolytechnique,1.0,3.0
http://dbpedia.org/ontology/picture,http://dbpedia.org/class/yago/MemberStatesOfTheUnionForTheMediterranean,1.0,1.0
http://dbpedia.org/ontology/tenant,http://dbpedia.org/class/yago/PubliclyFundedBroadcasters,1.0,1.0
http://dbpedia.org/ontology/nearestCity,"http://dbpedia.org/class/yago/PopulatedPlacesInRussellCounty,Kansas",1.0,1.0
http://dbpedia.org/ontology/tenant,http://dbpedia.org/class/yago/RadioStationsEstablishedIn1961,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/FellowsOfTheRoyalSociety,1.0,2.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/CanadianPeopleOfPolish-JewishDescent,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/RoyalAcademicians,1.0,1.0
http://dbpedia.org/ontology/city,http://dbpedia.org/class/yago/NorthwestTerritories,1.0,1.0
http://dbpedia.org/ontology/nearestCity,http://dbpedia.org/class/yago/CitiesInKansas,0.2222222222222222,9.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/ChineseEmigrantsToTheUnitedStates,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/FinnishIndustrialDesigners,0.0,1.0
http://dbpedia.org/ontology/nearestCity,http://dbpedia.org/ontology/City,0.2222222222222222,9.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/AmericanPeopleOfCanadianDescent,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/PritzkerPrizeWinners,0.6666666666666666,3.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/IrishArchitects,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/SouthAfricanArchitects,1.0,1.0
http://dbpedia.org/ontology/tenant,http://dbpedia.org/class/yago/GovernmentalMeteorologicalAgenciesInEurope,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/NaturalizedCitizensOfTheUnitedStates,0.5,2.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/AmericanPeopleInRailTransportation,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/AmericanEngineers,1.0,1.0
http://dbpedia.org/ontology/nearestCity,"http://dbpedia.org/class/yago/PopulatedPlacesInEllsworthCounty,Kansas",1.0,2.0
http://dbpedia.org/ontology/tenant,http://dbpedia.org/class/yago/BanksBasedInNorthCarolina,1.0,1.0
http://dbpedia.org/ontology/nearestCity,"http://dbpedia.org/class/yago/PopulatedPlacesInLincolnCounty,Kansas",1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/CanadianPeopleOfPolishDescent,1.0,1.0
http://dbpedia.org/ontology/tenant,http://dbpedia.org/class/yago/OrganizationsEstablishedIn1854,1.0,1.0
http://dbpedia.org/ontology/tenant,http://dbpedia.org/class/yago/PhotographicLenses,1.0,1.0
http://dbpedia.org/ontology/architect,"http://dbpedia.org/class/yago/PeopleFromMelbourne,Derbyshire",1.0,1.0
http://dbpedia.org/ontology/tenant,http://dbpedia.org/ontology/BaseballTeam,1.0,1.0
http://dbpedia.org/ontology/tenant,http://dbpedia.org/class/yago/MajorLeagueBaseballTeams,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/PeopleOfPennsylvaniaInTheAmericanCivilWar,1.0,1.0
http://dbpedia.org/ontology/tenant,http://dbpedia.org/class/yago/NationalBasketballAssociationTeams,1.0,1.0
http://dbpedia.org/ontology/architect,"http://dbpedia.org/class/yago/PeopleFromBremerton,Washington",1.0,1.0
http://dbpedia.org/ontology/architect,"http://dbpedia.org/class/yago/St.Xavier'sCollege,MumbaiAlumni",1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/ontology/PublicTransitSystem,1.0,1.0
http://dbpedia.org/ontology/architect,"http://dbpedia.org/class/yago/PeopleFromMarietta,Ohio",1.0,1.0
http://dbpedia.org/ontology/tenant,http://dbpedia.org/class/yago/AustralianOperaCompanies,1.0,1.0
http://dbpedia.org/ontology/architecturalStyle,http://dbpedia.org/class/yago/HouseStyles,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/EnglishEngineers,1.0,1.0
http://dbpedia.org/ontology/tenant,http://dbpedia.org/class/yago/DefunctSoccerClubsInTheUnitedStates,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/CompaniesEstablishedIn1990,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/AmericanTheatreArchitects,1.0,1.0
http://dbpedia.org/ontology/architect,http://dbpedia.org/class/yago/ArchitectureFirmsOfTheUnitedStates,1.0,1.0
http://dbpedia.org/ontology/nearestCity,"http://dbpedia.org/class/yago/PopulatedPlacesInRooksCounty,Kansas",0.0,1.0
