Property,Type,Ratio,support
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/class/yago/KentuckyRailroads,0.8,5.0
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/class/yago/AlabamaRailroads,0.8,5.0
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/class/yago/WisconsinRailroads,0.8,5.0
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/class/yago/LouisianaRailroads,0.8,5.0
http://dbpedia.org/ontology/servingRailwayLine,"http://dbpedia.org/class/yago/Washington,D.C.Railroads",0.75,12.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/FormerTownshipsInNewJersey,0.8333333333333334,6.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/ontology/PublicTransitSystem,0.75,20.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/IdahoCounties,0.8,5.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/StatesOfGermany,0.8,5.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/UnitedStatesPlacesWithOrthodoxJewishCommunities,0.8333333333333334,6.0
http://dbpedia.org/ontology/type,http://dbpedia.org/class/yago/RegionalRailSystems,0.8095238095238095,42.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/class/yago/RailwayLinesOpenedIn1889,0.8333333333333334,6.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/Town,0.76,25.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/CountySeatsInCalifornia,0.8333333333333334,6.0
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/class/yago/MississippiRailroads,0.8,5.0
http://dbpedia.org/ontology/type,http://dbpedia.org/class/yago/CaliforniaRailroads,0.75,32.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/class/yago/IndianCapitalCities,0.8333333333333334,6.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/class/yago/NewYorkRailroads,0.75,12.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/class/yago/CompaniesEstablishedIn2007,0.75,8.0
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/class/yago/MinnesotaRailroads,0.8,5.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/ontology/Town,0.8,5.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/ontology/PublicTransitSystem,0.8260869565217391,23.0
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/class/yago/TennesseeRailroads,0.8,5.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/class/yago/MarylandRailroads,0.75,12.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/ArizonaCounties,0.75,8.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1787,0.8333333333333334,6.0
http://dbpedia.org/ontology/crosses,http://dbpedia.org/ontology/RailwayLine,0.8333333333333334,6.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/StatesOfTheSouthernUnitedStates,0.8,15.0
http://dbpedia.org/ontology/type,"http://dbpedia.org/class/yago/Washington,D.C.Railroads",0.8285714285714286,35.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/ontology/City,0.7757009345794392,107.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/NordicCountries,0.8,5.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/WyomingCounties,0.8,5.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/class/yago/MassachusettsRailroads,0.8461538461538461,13.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/class/yago/RailwayLinesOpenedIn1860,0.8,5.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/RailroadsInTheChicagoSwitchingDistrict,0.8461538461538461,13.0
http://dbpedia.org/ontology/type,http://dbpedia.org/class/yago/MarylandRailroads,0.8181818181818182,33.0
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/class/yago/NebraskaRailroads,0.8,5.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/PortCitiesAndTownsOfTheNorthSea,0.8333333333333334,6.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1787,0.8,5.0
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/class/yago/ClassIRailroadsInNorthAmerica,0.8,5.0
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/class/yago/BritishColumbiaRailways,0.8,5.0
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/class/yago/IowaRailroads,0.8,5.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/AssyrianSettlements,0.8333333333333334,6.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/NUTS1StatisticalRegionsOfTheEuropeanUnion,0.8,5.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/class/yago/CaliforniaRailroads,0.8181818181818182,11.0
