Property,Type,Ratio,support
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Borough_(New_York_City),0.8571428571428571,7.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Town_(New_Jersey),1.0,6.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Consolidated_city-county,1.0,10.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/resource/Light_rail,1.0,5.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Council-controlled_organisation,1.0,21.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Light_rail,1.0,7.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/List_of_cities_in_Ontario,1.0,6.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/NSW_TrainLink,1.0,13.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Sub-provincial_divisions_in_the_People's_Republic_of_China,1.0,10.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Tram,1.0,6.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Light_rail,1.0,14.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Federal_district,1.0,5.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/resource/State-owned_enterprise,0.9090909090909091,11.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/State-owned_enterprise,1.0,10.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Rapid_transit,0.9523809523809523,21.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/resource/Rapid_transit,1.0,11.0
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/resource/State-owned_enterprise,1.0,63.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/resource/Regional_rail,0.875,8.0
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/resource/Council-controlled_organisation,1.0,21.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Rapid_transit,1.0,5.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/List_of_villages_in_Japan,1.0,5.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Autonomous_communities_of_Spain,1.0,6.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Provinces_of_South_Africa,0.8888888888888888,9.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Provinces_of_Argentina,1.0,5.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/resource/Commuter_rail,1.0,6.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Metropolitan_borough,1.0,6.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/States_of_Brazil,1.0,5.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Municipalities_of_Spain,1.0,5.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Comune,1.0,10.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Bus,1.0,10.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Commuter_rail,0.9824561403508771,57.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Metropolis,0.875,8.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/resource/Passenger_rail_terminology,1.0,6.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Regional_rail,0.9375,16.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/State-owned_enterprise,1.0,64.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Bus_rapid_transit,1.0,5.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/City_status_in_the_United_Kingdom,1.0,5.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Organization_of_the_government_of_Thailand,1.0,5.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Consolidated_city-county,1.0,7.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/City,0.9772727272727273,44.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/City_(New_Jersey),1.0,7.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Unincorporated_area,1.0,5.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Public_company,1.0,6.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Regions_of_New_Zealand,0.875,8.0
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/resource/Bus,1.0,5.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Cities_of_Japan,1.0,6.0
