Property,Type,Ratio,support
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Autonomous_communities_of_Spain,1.0,1.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/resource/Intercity_bus_service,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/List_of_Metropolitan_Statistical_Areas,1.0,2.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/resource/MTR_Bus,1.0,1.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Trolleybus,1.0,3.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Metropolis,1.0,3.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Paratransit,1.0,2.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Provinces_of_the_Philippines,0.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Types_of_municipalities_in_Quebec,1.0,2.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Gerringong_railway_station,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Regions_of_Tanzania,1.0,2.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/River,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/List_of_cities_in_the_Netherlands_by_province,1.0,2.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Shellharbour_Junction_railway_station,1.0,1.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/resource/Tram,1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Parish_(administrative_division),1.0,1.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Minnamurra_railway_station,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/List_of_villages_in_Ontario,1.0,1.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/resource/MTA_Regional_Bus_Operations,1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Lists_of_capitals,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Urban_area,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Unitary_authorities_of_England,1.0,1.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/resource/San_Francisco_Municipal_Railway,1.0,1.0
http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/resource/City,1.0,1.0
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/resource/Commuter_rail,1.0,2.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/District_(China),1.0,1.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Port_authority,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Provinces_of_Costa_Rica,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Prefecture-level_city,1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/List_of_regencies_and_cities_of_Indonesia,1.0,1.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/resource/Tram,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Special_cities_of_South_Korea,1.0,1.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/resource/Light_rail,0.6666666666666666,3.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Village_(United_States),1.0,4.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/List_of_towns_in_Japan,1.0,2.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/City_status_in_the_United_Kingdom,1.0,2.0
http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/resource/Supertram_(Sheffield),1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/List_of_regions_of_California,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/List_of_cities_in_Illinois,1.0,1.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Kembla_Grange_railway_station,1.0,1.0
http://dbpedia.org/ontology/crosses,http://dbpedia.org/resource/Inter-city_rail,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Borough_(New_York_City),0.6666666666666666,3.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Oak_Flats_railway_station,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Administrative_divisions_of_Myanmar,1.0,2.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Bus_rapid_transit,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Charter_city,1.0,3.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Intercity_bus_service,1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/District_(China),0.75,4.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Union_territory,1.0,2.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Borough_(New_Jersey),1.0,3.0
http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/resource/Charlotte_Trolley,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/List_of_districts_of_Pakistan,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/List_of_capitals_in_the_United_States,1.0,4.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/resource/Town,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/City_(TV_network),1.0,3.0
http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/resource/Charlotte_Area_Transit_System,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Districts_of_Suriname,1.0,1.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/resource/New_York_City_Subway,1.0,2.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Statutory_corporation,1.0,3.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Privately_held_company,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Borough_(Pennsylvania),1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Districts_of_Tajikistan,1.0,1.0
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/resource/Interstate_compact,1.0,2.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Independent_city_(United_States),1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Corpus_separatum_(Jerusalem),1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/List_of_districts_and_neighborhoods_of_Los_Angeles,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Municipalities_of_the_Philippines,0.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/List_of_unincorporated_communities_in_Illinois,1.0,1.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/resource/Passenger_rail_terminology,1.0,1.0
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/resource/Public_company,1.0,4.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/resource/Inter-city_rail,1.0,2.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Metropolitan_borough,1.0,1.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/resource/Coach_(bus),1.0,2.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/resource/Long_Island_Rail_Road,1.0,2.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/resource/Special_cities_of_South_Korea,1.0,1.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Unanderra_railway_station,1.0,2.0
http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/resource/Turkish_State_Railways,1.0,1.0
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/resource/Public_limited_company,1.0,4.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/List_of_cities_in_Saskatchewan,1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Municipalities_of_Switzerland,1.0,2.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/resource/Transit_bus,1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Home_Rule_Municipality_(Pennsylvania),1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Counties_of_Iran,1.0,1.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/resource/Airport_Express_(MTR),1.0,1.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/resource/Ferry,1.0,2.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Bus,1.0,1.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/resource/Regional_rail,0.6666666666666666,3.0
http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/resource/Neighborhoods_in_Seattle,1.0,1.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Transit_bus,1.0,3.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/resource/Chennai_Suburban_Railway,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Civil_parishes_in_England,1.0,1.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/resource/Rapid_transit,1.0,1.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Medium-capacity_rail_transport_system,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Types_of_municipalities_in_Quebec,1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/County,1.0,1.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/resource/Washington_Metro,1.0,1.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/resource/Government_of_Spain,1.0,1.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/resource/Turkish_State_Railways,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Upazilas_of_Bangladesh,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Municipalities_of_Vietnam,1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Reservoir,1.0,1.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/resource/Metro-North_Railroad,1.0,1.0
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/resource/Government_of_Spain,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Governorates_of_Iraq,1.0,2.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Borough,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/County_seat,1.0,1.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Summit_Tank_railway_station,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/List_of_cities_in_Argentina,1.0,1.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Monorail,1.0,4.0
http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/resource/Korail,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Township_(Pennsylvania),1.0,2.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/resource/Utah_Transit_Authority,0.0,1.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Cringila_railway_station,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Counties_of_Estonia,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Direct-controlled_municipalities_of_China,1.0,1.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/resource/Brand,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Comarques_of_Catalonia,1.0,1.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/resource/Bus_rapid_transit,1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Parishes_of_Jamaica,1.0,1.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/resource/TRAX_(light_rail),1.0,1.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/resource/Lists_of_capitals,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Village,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/List_of_cities_in_Ontario,1.0,3.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/States_and_federal_territories_of_Malaysia,1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/States_of_Austria,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Amphoe,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Provinces_of_Angola,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/City_with_special_status,1.0,2.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/resource/Inter-city_rail,1.0,2.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Lysaghts_railway_station,1.0,1.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/resource/Medium-capacity_rail_transport_system,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Village_development_committee,1.0,1.0
http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Albion_Park_railway_station,1.0,1.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/resource/Interurban,1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Municipality,1.0,2.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/List_of_cities_in_Alberta,1.0,2.0
http://dbpedia.org/ontology/type,"http://dbpedia.org/resource/Coniston_railway_station,_New_South_Wales",1.0,3.0
http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/resource/Barcelona_Metro,0.0,1.0
http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/resource/New_Jersey_Transit,1.0,1.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/resource/People_mover,1.0,2.0
http://dbpedia.org/ontology/crosses,http://dbpedia.org/resource/Commuter_rail,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/List_of_municipalities_of_Angola,1.0,1.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/resource/Motor_bus,1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/List_of_districts_of_Karnataka,1.0,1.0
http://dbpedia.org/ontology/crosses,http://dbpedia.org/resource/Căile_Ferate_Române,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Administrative_divisions_of_Michigan,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Cantons_of_Luxembourg,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Regions_of_Tajikistan,1.0,2.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/resource/Bus,1.0,2.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Privately_held_company,1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/List_of_districts_in_India,0.5,2.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/resource/Express_bus_service,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Regional_units_of_Greece,0.6666666666666666,3.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Towns_of_the_People's_Republic_of_China,1.0,1.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/resource/Aktiengesellschaft,1.0,3.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Prefecture-level_city,1.0,3.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/resource/Logistics,1.0,1.0
http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/resource/Utah_Transit_Authority,0.0,1.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/resource/Trolleybus,0.0,2.0
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/resource/Monorail,1.0,4.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Counties_of_Sweden,1.0,2.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/resource/Southern_Railway_zone,1.0,1.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Commuter_rail_in_North_America,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Regional_municipality,1.0,1.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/resource/State_ownership,1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Autonomous_regions_of_China,1.0,1.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Trolleybus,1.0,1.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/resource/Trolleybus,1.0,2.0
http://dbpedia.org/ontology/location,"http://dbpedia.org/resource/List_of_cities,_towns,_and_villages_in_Louisiana",0.0,1.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Passenger_transport_executive,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/List_of_parishes_in_New_Brunswick,0.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Regions_of_Ethiopia,1.0,1.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/resource/New_Jersey_Transit_Rail_Operations,1.0,2.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Lists_of_capitals,1.0,1.0
http://dbpedia.org/ontology/crosses,http://dbpedia.org/resource/River,1.0,2.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/resource/Virginia_Railway_Express,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Local_government_in_Pennsylvania,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/List_of_cities_and_towns_in_Colorado,1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Municipalities_of_Colombia,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/District_(Taiwan),0.6666666666666666,3.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Township_(United_States),1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/List_of_second-level_administrative_divisions_of_North_Korea,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/States_of_Mexico,1.0,3.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Provinces_of_Thailand,0.5,2.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Aktiengesellschaft,0.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Regions_of_Saudi_Arabia,0.0,3.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Voivodeships_of_Poland,1.0,1.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/resource/Limited_liability_company,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/resource/Town,1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Federal_capital,1.0,1.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/resource/Joint-stock_company,1.0,1.0
