Property,Type,Ratio,support
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/class/yago/ConnecticutRailroads,1.0,3.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/class/yago/CitiesAndTownsInAllahabadDistrict,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1677,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/CitiesInColorado,1.0,1.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/class/yago/RailwayStationsOpenedIn1996,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/ArizonaCounties,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/Dutch-speakingCountries,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/Persian-speakingCountriesAndTerritories,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/NorthDakotaCountiesOnTheMissouriRiver,0.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/CitiesInWestVirginia,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/CountiesOfWales,1.0,1.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/CompaniesOperatingFormerCanadianNationalRailwayLines,1.0,2.0
http://dbpedia.org/ontology/type,http://dbpedia.org/class/yago/TransitAuthoritiesWithHybridBuses,1.0,4.0
http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/class/yago/GuangzhouMetroStations,0.0,1.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/class/yago/CanadianPacificRailwayPassengerTrains,1.0,1.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/class/yago/RailwayStationsOpenedIn1883,1.0,1.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/class/yago/NewYorkRailroads,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/ParishesInAsturias,1.0,1.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/class/yago/MarylandRailroads,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,"http://dbpedia.org/class/yago/PopulatedPlacesInScottCounty,Iowa",1.0,1.0
http://dbpedia.org/ontology/locatedInArea,"http://dbpedia.org/class/yago/TownsInFranklinCounty,Massachusetts",0.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/PortCitiesAndTownsInNorway,1.0,4.0
http://dbpedia.org/ontology/locatedInArea,"http://dbpedia.org/class/yago/PopulatedPlacesInCheboyganCounty,Michigan",1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/CitiesInMazandaranProvince,1.0,1.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/ontology/RailwayStation,1.0,2.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/CaliforniaCounties,0.5,4.0
http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/class/yago/RailwayStationsOpenedIn1912,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1837,1.0,1.0
http://dbpedia.org/ontology/crosses,http://dbpedia.org/class/yago/CanalsInEngland,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1876,1.0,1.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/CompaniesOperatingFormerGrandTrunkRailwayLines,1.0,2.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1776,1.0,3.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/GeneralServiceAreasInNovaScotia,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/PortCitiesInIndia,1.0,4.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/MetropolitanAreasOfTheUnitedArabEmirates,1.0,1.0
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/class/yago/RailwayCompaniesEstablishedIn1971,1.0,3.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/SpaTownsInWales,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1956,1.0,1.0
http://dbpedia.org/ontology/country,http://dbpedia.org/class/yago/MemberStatesOfTheArabLeague,1.0,1.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/class/yago/NorthDakotaRailroads,1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/SpecialCitiesAndMetropolitanCitiesOfSouthKorea,1.0,1.0
http://dbpedia.org/ontology/owningOrganisation,"http://dbpedia.org/class/yago/CompaniesOperatingFormerAtchison,TopekaAndSantaFeRailwayLines",1.0,1.0
http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/class/yago/RailwayStationsServedByVirginTrains,0.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/OutermostRegionsOfTheEuropeanUnion,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1814,1.0,1.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/class/yago/BritishTransportPoliceStations,1.0,2.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/class/yago/RailwayStationsOpenedIn1841,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/PortCitiesAndTownsOfTheBalticSea,0.75,4.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1922,1.0,1.0
http://dbpedia.org/ontology/type,http://dbpedia.org/class/yago/Institutes,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/CitiesInTehranProvince,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,"http://dbpedia.org/class/yago/NeighborhoodsInLosAngeles,California",0.0,1.0
http://dbpedia.org/ontology/type,http://dbpedia.org/class/yago/PassengerRailwaysInOntario,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/WesternAsianCountries,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1818,1.0,2.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/HotSpringsOfWales,1.0,1.0
http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/class/yago/Iarnr%C3%B3d%C3%89ireannStationsInCountyWicklow,1.0,2.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1819,1.0,1.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/class/yago/SouthDakotaRailroads,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1785,1.0,1.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/class/yago/RailwayStationsOpenedIn1862,1.0,2.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/class/yago/DistrictsOfScotland,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1867,1.0,4.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/MidwesternUnitedStates,1.0,2.0
http://dbpedia.org/ontology/location,"http://dbpedia.org/class/yago/PopulatedPlacesInMaricopaCounty,Arizona",1.0,1.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/class/yago/AncientIndianCities,1.0,2.0
http://dbpedia.org/ontology/crosses,http://dbpedia.org/class/yago/RiverTees,1.0,3.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/RiversOfShanghai,0.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/AutonomousRegions,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,"http://dbpedia.org/class/yago/BoroughsInYorkCounty,Pennsylvania",1.0,1.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/class/yago/Government-ownedCompaniesOfNewZealand,1.0,3.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/CountySeatsInWisconsin,1.0,1.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/MilitaryUnitsAndFormationsEstablishedIn1775,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/ProvincesOfThePhilippines,0.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/BiodiversityHotspots,1.0,1.0
http://dbpedia.org/ontology/routeStart,"http://dbpedia.org/class/yago/SquaresInSeattle,Washington",1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/SuburbsOfTheHunterRegion,1.0,1.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/CompaniesOperatingFormerChesapeakeAndOhioRailwayLines,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/Russian-speakingCountriesAndTerritories,1.0,2.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/class/yago/CompaniesBasedInTokyo,1.0,2.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/RailwayCompaniesEstablishedIn1990,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/DissolvedMunicipalitiesOfGifuPrefecture,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1891,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/RiversOfGreaterManchester,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/AlabamaCounties,0.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/PopulatedPlacesOnTheFraserRiver,1.0,1.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/class/yago/RailwayStationsInMadhyaPradesh,0.5,2.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/CompaniesOperatingFormerWabashRailroadLines,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/DependentTerritoriesInNorthAmerica,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/CitiesInMichigan,1.0,3.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/PopulatedPlacesInChiapas,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/PopulatedPlacesInTheCityOfTshwane,1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/CitiesInWashington(state),1.0,2.0
http://dbpedia.org/ontology/type,http://dbpedia.org/class/yago/TiedArchBridges,1.0,4.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/CitiesInArkansas,1.0,2.0
http://dbpedia.org/ontology/owner,"http://dbpedia.org/class/yago/CompaniesOperatingFormerAtchison,TopekaAndSantaFeRailwayLines",1.0,4.0
http://dbpedia.org/ontology/servingRailwayLine,http://dbpedia.org/class/yago/RailwayLinesInOslo,1.0,3.0
http://dbpedia.org/ontology/location,http://dbpedia.org/ontology/Island,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/PopulatedCoastalPlacesInChina,1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/RegionsOfWesternAustralia,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/PortCitiesAndTownsInTheNetherlands,1.0,1.0
http://dbpedia.org/ontology/crosses,http://dbpedia.org/class/yago/RiversOfBarnsley,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/MetropolitanBoroughs,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/TownsInNewYork,0.75,4.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/CanyonsAndGorgesOfAfrica,1.0,1.0
http://dbpedia.org/ontology/operatedBy,http://dbpedia.org/class/yago/TexasRailroads,1.0,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1837,1.0,2.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/FortsInNewJersey,1.0,1.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/class/yago/CompaniesOperatingFormerNorfolkSouthernRailway(1942-1982)Lines,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/PopulatedPlacesInLouisianaWithAfricanAmericanMajorityPopulations,1.0,2.0
http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/class/yago/CTAGreenLineStations,1.0,1.0
http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/class/yago/RailwayStationsOpenedIn2006,1.0,1.0
http://dbpedia.org/ontology/routeStart,http://dbpedia.org/class/yago/Iarnr%C3%B3d%C3%89ireannStationsInCountyDublin,0.0,2.0
http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/class/yago/RailwayCompaniesDisestablishedIn1960,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/FortsInMinnesota,1.0,1.0
http://dbpedia.org/ontology/crosses,http://dbpedia.org/class/yago/TributariesOfTheHudsonRiver,1.0,1.0
http://dbpedia.org/ontology/locatedInArea,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedInThe1840s,1.0,1.0
http://dbpedia.org/ontology/country,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1948,1.0,1.0
http://dbpedia.org/ontology/type,http://dbpedia.org/class/yago/CompaniesBasedInMontreal,1.0,1.0
http://dbpedia.org/ontology/location,"http://dbpedia.org/class/yago/PopulatedPlacesInCuyahogaCounty,Ohio",0.5,2.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1917,1.0,1.0
http://dbpedia.org/ontology/location,http://dbpedia.org/class/yago/MunicipalitiesOfPortugal,1.0,2.0
