Person,Property,Type,rn
http://dbpedia.org/resource/Mani_Liaqat,http://dbpedia.org/ontology/nationality,***ons***,***ons***
http://dbpedia.org/resource/Max_Amini,http://dbpedia.org/ontology/nationality,***ons***,***ons***
http://dbpedia.org/resource/Lubna_Azabal,http://dbpedia.org/ontology/nationality,***ons***,***ons***
http://dbpedia.org/resource/Without_a_Box,http://dbpedia.org/ontology/nationality,***ons***,***ons***
http://dbpedia.org/resource/Najib_Amhali,http://dbpedia.org/ontology/nationality,***ons***,***ons***
http://dbpedia.org/resource/Neil_Delamere,http://dbpedia.org/ontology/nationality,***ons***,***ons***
http://dbpedia.org/resource/Luke_Mockridge,http://dbpedia.org/ontology/nationality,***ons***,***ons***
http://dbpedia.org/resource/Conal_Gallen,http://dbpedia.org/ontology/nationality,***ons***,***ons***
http://dbpedia.org/resource/Joel_Chasnoff,http://dbpedia.org/ontology/nationality,***ons***,***ons***
http://dbpedia.org/resource/Tracey_Ullman,http://dbpedia.org/ontology/nationality,***ons***,***ons***
http://dbpedia.org/resource/Deborah_Frances-White,http://dbpedia.org/ontology/nationality,***ons***,***ons***
http://dbpedia.org/resource/Ed_Hill_(comedian),http://dbpedia.org/ontology/nationality,***ons***,***ons***
http://dbpedia.org/resource/Katherine_Ryan,http://dbpedia.org/ontology/nationality,***ons***,***ons***
