Property,Type,Ratio,support
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/TempleUniversityAlumni,1.0,23.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/ComediansWhoCommittedSuicide,1.0,5.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/UnitedStatesNavyOfficers,1.0,20.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CoastalCitiesInAustralia,0.9333333333333333,15.0
http://dbpedia.org/ontology/influencedBy,"http://dbpedia.org/class/yago/PeopleFromNorthHempstead,NewYork",1.0,18.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/LocalGovernmentDistrictsOfNorthWestEngland,1.0,19.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/WritersFromArizona,1.0,6.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/BarnardCollegeAlumni,1.0,9.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanHumorists,0.8518518518518519,54.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CitiesInWashington(state),1.0,5.0
http://dbpedia.org/ontology/influencedBy,"http://dbpedia.org/class/yago/PeopleFromAdamsCounty,Iowa",1.0,12.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1787,1.0,16.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/BritishParachuteRegimentSoldiers,1.0,6.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/ScottishTelevisionActors,1.0,8.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AfricanAmericanFilmDirectors,1.0,18.0
http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/class/yago/PopulatedPlacesInWashington,D.C.WithAfricanAmericanMajorityPopulations",1.0,5.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/UniRecordsArtists,1.0,23.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedInThe1stMillennium,1.0,5.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanAtheists,0.8656716417910447,67.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/EastAsianCountries,1.0,36.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/PrivateEyeContributors,1.0,8.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/PeopleSelf-identifyingAsSubstanceAbusers,0.984375,64.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanProfessionalWrestlers,1.0,5.0
http://dbpedia.org/ontology/influencedBy,"http://dbpedia.org/class/yago/PeopleFromRye,EastSussex",1.0,8.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/MexicanComedians,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/StatesOfTheUnitedStates,0.9879518072289156,166.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/IrishComedyWriters,0.9,10.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/RoyalArtillerySoldiers,1.0,9.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/MidwesternUnitedStates,1.0,7.0
http://dbpedia.org/ontology/influencedBy,"http://dbpedia.org/class/yago/ActorsFromWashington,D.C.",1.0,12.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/StatesOfBrazil,1.0,6.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/PeopleEducatedAtEastbourneCollege,1.0,6.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/MexicanTelevisionActors,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1634,1.0,18.0
http://dbpedia.org/ontology/influencedBy,"http://dbpedia.org/class/yago/PeopleFromYakima,Washington",1.0,14.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/MCARecordsArtists,1.0,23.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/EnglishTelevisionWriters,0.9090909090909091,22.0
http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/class/yago/PopulatedPlacesInCookCounty,Illinois",0.9444444444444444,18.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/DistrictsOfScotland,1.0,9.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanPeopleOfCanadianDescent,1.0,8.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/DixielandRevivalistClarinetists,1.0,16.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanStageActors,1.0,11.0
http://dbpedia.org/ontology/genre,http://dbpedia.org/class/yago/NumericEpithets,1.0,7.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedCoastalPlacesInSouthKorea,1.0,5.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/BurlesquePerformers,0.9090909090909091,11.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanViolinists,1.0,8.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CitiesInIllinois,1.0,18.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/PeopleFromAhmednagar,1.0,8.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/WarnerBros.RecordsArtists,0.96875,32.0
http://dbpedia.org/ontology/influencedBy,"http://dbpedia.org/class/yago/PeopleFromMissoula,Montana",1.0,5.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanPeopleOfLithuanian-JewishDescent,1.0,20.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanFeminists,1.0,5.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/ScottishMaleComedians,0.9,10.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanCrooners,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PersianGulfCountries,1.0,9.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/PeopleFromSouthsea,1.0,5.0
http://dbpedia.org/ontology/genre,http://dbpedia.org/class/yago/TelevisionSketchShows,1.0,87.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/StatesOfTheSouthernUnitedStates,0.9629629629629629,27.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CitiesInIran,1.0,5.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanBaritones,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PortCitiesAndTownsOfTheNorthSea,1.0,12.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/Empires,1.0,9.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanCentenarians,1.0,5.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/EnglishPeopleOfIrishDescent,1.0,6.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/PeopleFromQueens,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedPlacesInMichiganWithAfricanAmericanMajorityPopulations,1.0,8.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/SecondCityAlumni,0.9583333333333334,24.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/SpecialCitiesAndMetropolitanCitiesOfSouthKorea,1.0,12.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/NorthernAmericanCountries,1.0,189.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanComedyMusicians,0.9142857142857143,35.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/ActorsWhoCommittedSuicide,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PortCitiesAndTownsInSouthKorea,1.0,8.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/LieutenancyAreasOfScotland,0.9,10.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/EnglishExpatriatesInAustralia,1.0,6.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanPeopleOfJewishDescent,1.0,5.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanPeopleOfNativeAmericanDescent,0.9285714285714286,14.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/LondonBoroughs,1.0,10.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CitiesInOhio,1.0,9.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/PeopleFromTorquay,1.0,6.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/ErasmusPrizeWinners,1.0,10.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/ActorsFromCalifornia,0.8765432098765432,81.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/CanadianFilmActors,1.0,11.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanPeopleOfGerman-JewishDescent,1.0,8.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/PeopleFromLongIsland,1.0,6.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/EnglishStand-upComedians,0.875,24.0
http://dbpedia.org/ontology/influencedBy,"http://dbpedia.org/class/yago/PeopleFromNassauCounty,NewYork",0.9767441860465116,43.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/ScottishFolkSingers,1.0,6.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/Anti-apartheidActivists,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1850,1.0,20.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1948,1.0,26.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/RomaniFilmDirectors,1.0,10.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/IncorporatedCitiesAndTownsInCalifornia,1.0,24.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CountySeatsInCalifornia,1.0,19.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn660BC,1.0,9.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CountriesBorderingTheBalticSea,1.0,10.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/CinemaPioneers,1.0,10.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CitiesInTexas,1.0,8.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanGameShowHosts,0.9,50.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/FilmDirectorsFromNewYorkCity,1.0,16.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1947,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/EasternMediterraneanCountries,1.0,9.0
http://dbpedia.org/ontology/influencedBy,"http://dbpedia.org/class/yago/PeopleFromWaukegan,Illinois",1.0,8.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/EnglishPeopleOfCanadianDescent,1.0,5.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/Autobiographers,1.0,10.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/RealityTelevisionJudges,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/TownsInMerseyside,1.0,14.0
http://dbpedia.org/ontology/influencedBy,"http://dbpedia.org/class/yago/PeopleFromBeverlyHills,California",1.0,8.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AfricanAmericanScreenwriters,1.0,17.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CountriesOfTheMediterraneanSea,1.0,20.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PlannedCapitals,1.0,10.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/PeopleFromMontreal,1.0,6.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/MiddleEasternCountries,1.0,18.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CapitalsInAsia,1.0,26.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/MotownArtists,1.0,23.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/EnglishAgnostics,1.0,10.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/CanadianEmigrantsToTheUnitedStates,1.0,6.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/MemberStatesOfLaFrancophonie,1.0,31.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanPeopleOfFrenchDescent,1.0,17.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/MemberStatesOfTheSouthAsianAssociationForRegionalCooperation,1.0,8.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/NUTS2StatisticalRegionsOfTheEuropeanUnion,1.0,8.0
http://dbpedia.org/ontology/influencedBy,"http://dbpedia.org/class/yago/PeopleFromInglewood,California",1.0,22.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/Arabic-speakingCountriesAndTerritories,1.0,15.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/ActorsFromMassachusetts,1.0,8.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/MemberStatesOfTheDutchLanguageUnion,1.0,9.0
http://dbpedia.org/ontology/influencedBy,"http://dbpedia.org/class/yago/PeopleFromOakPark,Illinois",1.0,9.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/CommandersOfTheOrderOfTheBritishEmpire,0.9375,16.0
http://dbpedia.org/ontology/influencedBy,"http://dbpedia.org/class/yago/PeopleFromWaco,Texas",1.0,22.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/ActorsFromSouthCarolina,1.0,18.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CitiesInIndonesia,1.0,5.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/Copywriters,1.0,10.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AtheismActivists,1.0,6.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/NordicCountries,1.0,9.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/JuilliardSchoolAlumni,1.0,15.0
