Property,Type,Ratio,support
http://dbpedia.org/ontology/influenced,http://dbpedia.org/class/yago/PeopleEducatedAtBradfieldCollege,1.0,1.0
http://dbpedia.org/ontology/influenced,"http://dbpedia.org/class/yago/PeopleFromAtlanta,Georgia",1.0,4.0
http://dbpedia.org/ontology/influenced,http://dbpedia.org/class/yago/PeopleFromDublin(city),1.0,1.0
http://dbpedia.org/ontology/influenced,http://dbpedia.org/class/yago/RoyalArtillerySoldiers,0.0,1.0
http://dbpedia.org/ontology/influenced,http://dbpedia.org/class/yago/AlumniOfTheDramaCentreLondon,1.0,6.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/MetropolitanAreasOfIndonesia,1.0,2.0
http://dbpedia.org/ontology/influenced,http://dbpedia.org/class/yago/NaturalizedCitizensOfTheUnitedStates,1.0,6.0
http://dbpedia.org/ontology/influenced,http://dbpedia.org/class/yago/PeopleEducatedAtShawlandsAcademy,1.0,1.0
http://dbpedia.org/ontology/influenced,"http://dbpedia.org/class/yago/PeopleFromNorfolkCounty,Massachusetts",1.0,1.0
http://dbpedia.org/ontology/influenced,http://dbpedia.org/class/yago/WorcesterAcademyAlumni,1.0,1.0
http://dbpedia.org/ontology/influenced,"http://dbpedia.org/class/yago/ActorsFromToledo,Ohio",1.0,1.0
http://dbpedia.org/ontology/influenced,http://dbpedia.org/class/yago/EnglishStand-upComedians,0.6470588235294118,17.0
http://dbpedia.org/ontology/influenced,http://dbpedia.org/class/yago/IrishBloggers,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1946,1.0,4.0
http://dbpedia.org/ontology/influenced,http://dbpedia.org/class/yago/African-AmericanActors,0.625,8.0
http://dbpedia.org/ontology/influenced,http://dbpedia.org/class/yago/KentStateUniversityAlumni,1.0,1.0
http://dbpedia.org/ontology/influenced,http://dbpedia.org/class/yago/SireRecordsArtists,1.0,1.0
http://dbpedia.org/ontology/influenced,http://dbpedia.org/class/yago/CornellUniversityAlumni,1.0,1.0
http://dbpedia.org/ontology/influenced,http://dbpedia.org/class/yago/FictionalInventors,1.0,1.0
http://dbpedia.org/ontology/spouse,http://dbpedia.org/class/yago/PeopleFromElmbridge(district),1.0,1.0
