Property,Type,Ratio,support
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/SouthKoreanTelevisionPresenters,0.8,5.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanMaleSingers,0.8333333333333334,12.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/ComediansFromLiverpool,0.8,5.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/IrishStand-upComedians,0.8,5.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/ParticipantsInAmericanRealityTelevisionSeries,0.8333333333333334,6.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/EnglishTelevisionPresenters,0.8333333333333334,6.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanSatirists,0.8245614035087719,57.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/PeopleSelf-identifyingAsAlcoholics,0.7682926829268293,82.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/JewishAmericanWriters,0.84,25.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanColumnists,0.8333333333333334,6.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/EnglishComedyWriters,0.7777777777777778,18.0
http://dbpedia.org/ontology/genre,http://dbpedia.org/class/yago/ActingTechniques,0.8362068965517241,116.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/21st-centuryActors,0.7894736842105263,57.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/EnglishSatirists,0.7777777777777778,9.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/KennedyCenterHonorees,0.7931034482758621,58.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AustralianComedians,0.8333333333333334,6.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/ShortFilmDirectors,0.75,12.0
http://dbpedia.org/ontology/influencedBy,"http://dbpedia.org/class/yago/PeopleFromChicago,Illinois",0.8235294117647058,34.0
http://dbpedia.org/ontology/nationality,http://dbpedia.org/class/yago/English-speakingCountriesAndTerritories,0.8,5.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanShortStoryWriters,0.8421052631578947,19.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedPlacesOnThePotomacRiver,0.8,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1910,0.8,5.0
http://dbpedia.org/ontology/influencedBy,"http://dbpedia.org/class/yago/PeopleFromSt.Louis,Missouri",0.8235294117647058,17.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/African-AmericanActors,0.7857142857142857,28.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/20th-centuryActors,0.8108108108108109,74.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/IslandCountries,0.8424242424242424,165.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanComediansOfIrishDescent,0.8235294117647058,68.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/ontology/ComedyGroup,0.8,15.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AfricanAmericanTelevisionActors,0.7627118644067796,59.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/EnglishComedyMusicians,0.8,5.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/EnglishRadioActors,0.7777777777777778,9.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/PeopleFromBrooklyn,0.8448275862068966,58.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/SlapstickComedians,0.7857142857142857,14.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanRadioActors,0.8125,16.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanPeopleOfEnglishDescent,0.8055555555555556,36.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanPeopleOfRussian-JewishDescent,0.8421052631578947,19.0
