Property,Type,Ratio,support
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/New_England_town,1.0,10.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Town,1.0,7.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Cities_of_Japan,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Administrative_divisions_of_Michigan,1.0,7.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Metropolitan_borough,1.0,25.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Borough_(New_York_City),1.0,37.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/States_of_Brazil,1.0,6.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Special_cities_of_South_Korea,1.0,12.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Township_(New_Jersey),1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Independent_city_(United_States),1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Cities_of_South_Korea,1.0,13.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/California,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Municipalities_of_Spain,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/City_status_in_the_United_Kingdom,1.0,38.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Federal_district,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_in_Ontario,1.0,10.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Provinces_of_South_Korea,1.0,9.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Charter_city,1.0,13.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Metropolis,1.0,11.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/City,1.0,84.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Lists_of_capitals,1.0,6.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Consolidated_city-county,1.0,18.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Administrative_divisions_of_New_York,1.0,37.0
