Property,Type,Ratio,support
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_incorporated_places_in_Delaware,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_districts_in_South_Korea,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Special_municipality_(Taiwan),1.0,2.0
http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Communities,_regions_and_language_areas_of_Belgium",1.0,1.0
http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/List_of_communities_in_Miami-Dade_County,_Florida",1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Core_cities_of_Japan,1.0,2.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Municipalities_of_Vietnam,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_Brooklyn_neighborhoods,1.0,2.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/County_(United_States),1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_districts_and_neighborhoods_of_Los_Angeles,1.0,2.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/District,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_in_Manitoba,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_in_Alberta,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Longueuil,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Counties_of_Sweden,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Unitary_authorities_of_England,1.0,4.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Provinces_of_the_Philippines,1.0,3.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Unincorporated_area,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Home_Rule_Municipality_(Pennsylvania),1.0,2.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_in_Kosovo,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/County_seat,1.0,2.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Urban_area,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Autonomous_communities_of_Spain,1.0,4.0
http://dbpedia.org/ontology/nationality,http://dbpedia.org/resource/Metropolitan_borough,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Municipalities_of_Brazil,0.6666666666666666,3.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Municipalities_of_the_Philippines,1.0,3.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/States_and_union_territories_of_India,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Unitary_authority,1.0,4.0
