Property,Type,Ratio,support
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanNatureWriters,1.0,1.0
http://dbpedia.org/ontology/genre,http://dbpedia.org/class/yago/AsianAmericanIssues,1.0,1.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/PeopleFromAliceSprings,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1608,1.0,1.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/CatalanArtists,1.0,1.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/SunRecordsArtists,1.0,1.0
http://dbpedia.org/ontology/influencedBy,"http://dbpedia.org/class/yago/PeopleFromCharleston,SouthCarolina",1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/FinancialCrises,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CountySeatsInOklahoma,1.0,2.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/GermanPhysicists,1.0,1.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/AmericanExpatriatesInFrance,0.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PeninsulasOfTheUnitedStates,1.0,3.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CitiesInCentralJava,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CitiesInAlabama,1.0,3.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/VillagesInVestfold,1.0,1.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/PeopleAssociatedWithTheUniversityOfZurich,1.0,1.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/PeopleFromLePecq,1.0,1.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/ActorsFromMissouri,1.0,4.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/MunicipalitiesOfFlemishBrabant,1.0,1.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/BancarellaPrizeWinners,1.0,1.0
http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/class/yago/PhilosophersOfScience,1.0,1.0
http://dbpedia.org/ontology/influencedBy,"http://dbpedia.org/class/yago/PeopleFromGaithersburg,Maryland",1.0,1.0
