Property,Type,Ratio,support
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1786,1.0,5.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/TennesseeLawyers,1.0,10.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/LieutenantGovernorsOfNewYork,1.0,9.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/MuhajirPeople,1.0,5.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/BowdoinCollegeAlumni,1.0,7.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/FinancialCrises,1.0,6.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/AmericanPeopleOfScottishDescent,0.9444444444444444,18.0
http://dbpedia.org/ontology/nationality,http://dbpedia.org/class/yago/MemberStatesOfTheCommonwealthOfNations,0.8888888888888888,9.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/OfficersOfTheOrderOfOrange-Nassau,1.0,10.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/KnightsOfTheElephant,0.8571428571428571,7.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/EducationalInstitutionsEstablishedIn1865,1.0,22.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CitiesInAlabama,1.0,12.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/PortCitiesInSerbia,1.0,7.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/MilitaryAcademiesOfTheUnitedStates,0.9411764705882353,34.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/class/yago/PopulatedPlacesInTexasWithHispanicMajorityPopulations,1.0,5.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/IndianNationalCongressPoliticians,0.875,8.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/PopulatedPlacesInMexico,1.0,5.0
http://dbpedia.org/ontology/country,http://dbpedia.org/class/yago/EuropeanUnionMemberEconomies,0.9411764705882353,17.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PortCitiesInColombia,1.0,7.0
http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/class/yago/CitiesInLosAngelesCounty,California",1.0,24.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/EducationalInstitutionsEstablishedIn1890,1.0,9.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/NobelPeacePrizeLaureates,1.0,13.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/PeopleFromLondon,1.0,7.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/DividedCities,1.0,6.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/IslamicStates,1.0,25.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/EducationalInstitutionsEstablishedIn1885,1.0,5.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/HarvardCrimsonFootballPlayers,1.0,5.0
http://dbpedia.org/ontology/religion,http://dbpedia.org/class/yago/MonotheisticReligions,1.0,5.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/AmericanPhilanthropists,1.0,8.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PortCitiesInSerbia,1.0,6.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PortCitiesInBrazil,1.0,5.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/class/yago/CitiesInNewYork,1.0,8.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CitiesInTasmania,1.0,6.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/WarsInvolvingEcuador,1.0,137.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/BattlesAndOperationsOfWorldWarIIInvolvingGreece,1.0,14.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/UnitedStatesSenatorsFromConnecticut,1.0,5.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/PartyLeadersOfTheLabourParty(Netherlands),1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/ArkansasCounties,1.0,5.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn862,1.0,11.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedPlacesOnTheHudsonRiver,1.0,26.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/PopulatedPlacesInGeorgia(U.S.State)WithAfricanAmericanMajorityPopulations,1.0,5.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/EducationalInstitutionsEstablishedIn1876,1.0,8.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/GreekPrefecturalCapitals,1.0,5.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/AmericanBankers,1.0,7.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/class/yago/CountriesBorderingTheArcticOcean,0.9642857142857143,28.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CitiesInThePhilippines,1.0,8.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/AmericanPeopleOfIrishDescent,0.8979591836734694,49.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedCoastalPlacesInPortugal,1.0,6.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/CharitiesBasedInBerkshire,1.0,8.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/MetropolitanCitiesInIndia,1.0,13.0
http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/EthnicGroup,0.8571428571428571,7.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/EducationalInstitutionsEstablishedIn1947,1.0,9.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/class/yago/CapitalsInEurope,0.96875,32.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/ConflictsIn1999,1.0,6.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/class/yago/HostCitiesOfTheSummerOlympicGames,0.9459459459459459,37.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/AutonomousRegions,1.0,5.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/AmericanWritersOfIrishDescent,1.0,6.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PortSettlementsInQuebec,1.0,15.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CitiesInIllinois,0.96875,32.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/MidwesternUnitedStates,1.0,10.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1782,1.0,5.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/BoardingSchoolsInBerkshire,1.0,8.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/PashtunPeople,0.875,8.0
http://dbpedia.org/ontology/party,http://dbpedia.org/class/yago/PoliticalPartiesEstablishedIn1917,1.0,5.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/WarsInvolvingRussia,0.9217391304347826,115.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/NorthAmericanCountries,1.0,9.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CitiesInTheGreatRiftValley,0.875,8.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/StatesOfTheNorthGermanConfederation,1.0,6.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/PopulatedPlacesInTheCityOfZagreb,1.0,7.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/WarsInvolvingIreland,1.0,111.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/WarsInvolvingIran,0.9930555555555556,144.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CountiesOfTheUnitedStatesWithAfricanAmericanMajorityPopulations,1.0,7.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PortCitiesAndTownsInPortugal,1.0,6.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/UnitedStatesSenatorsFromTexas,1.0,7.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/UnitedStatesSecretariesOfDefense,0.9285714285714286,14.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/WarsInvolvingSyria,0.9864864864864865,148.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/AustralianPeopleOfScottishDescent,1.0,12.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/AmericanPeopleOfFrenchDescent,0.9375,16.0
http://dbpedia.org/ontology/almaMater,"http://dbpedia.org/class/yago/UniversitiesAndCollegesInAnneArundelCounty,Maryland",1.0,7.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/EducationalInstitutionsEstablishedIn1908,1.0,17.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1521,1.0,6.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/PeopleFromTheHague,0.9090909090909091,11.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/DutchAcademics,0.9230769230769231,13.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/EducationalInstitutionsEstablishedIn1951,1.0,5.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/VirginiaStateSenators,1.0,7.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/CelticCountriesAndTerritories,1.0,10.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CitiesInMontana,1.0,5.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/class/yago/CitiesInMassachusetts,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CapitalsInAfrica,1.0,15.0
http://dbpedia.org/ontology/predecessor,"http://dbpedia.org/class/yago/PeopleFromIndianapolis,Indiana",0.875,8.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/class/yago/CitiesInTheNetherlands,1.0,18.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/class/yago/FederalCountries,0.975609756097561,41.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CitiesInKansas,1.0,6.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/LawClerksOfTheSupremeCourtOfTheUnitedStates,1.0,10.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/ConflictsIn1885,1.0,7.0
http://dbpedia.org/ontology/predecessor,"http://dbpedia.org/class/yago/PeopleFromOrangeCounty,Virginia",1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/HolyCities,1.0,17.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/SchoolsOnTheNationalRegisterOfHistoricPlacesInCalifornia,0.9166666666666666,12.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/MilitaryStructure,1.0,5.0
http://dbpedia.org/ontology/predecessor,"http://dbpedia.org/class/yago/PeopleFromSanFrancisco,California",1.0,6.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/PortCitiesInAfrica,1.0,9.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/class/yago/BicontinentalCountries,1.0,58.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/SouthernMediterraneanCountries,1.0,13.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/VicePresidentsOfTheUnitedStates,0.8974358974358975,39.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/StockMarketCrashes,1.0,6.0
http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/class/yago/PopulatedPlacesInWilliamsonCounty,Texas",1.0,6.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/MinistersOfTransportAndWaterManagementOfTheNetherlands,1.0,6.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/CitiesInNorthCarolina,1.0,5.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/DistrictsOfLondonOnTheRiverThames,0.875,8.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/MinistersOfTransportAndWaterManagementOfTheNetherlands,1.0,8.0
http://dbpedia.org/ontology/almaMater,"http://dbpedia.org/class/yago/UniversitiesAndCollegesInDurham,NorthCarolina",1.0,5.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/AntiRevolutionaryPartyPoliticians,1.0,7.0
http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/class/yago/PopulatedPlacesInCookCounty,Illinois",1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/FormerEmpires,1.0,13.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/Country,0.9365853658536586,820.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/DemocraticPartyStateGovernorsOfTheUnitedStates,0.9130434782608695,23.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/BantuCountriesAndTerritories,1.0,6.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/PhillipsAcademyAlumni,1.0,6.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/CatholicPeople'sPartyPoliticians,0.9090909090909091,11.0
http://dbpedia.org/ontology/successor,"http://dbpedia.org/class/yago/PeopleFromMinneapolis,Minnesota",1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/IncorporatedCitiesAndTownsInCalifornia,0.9583333333333334,24.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CountriesBorderingTheBalticSea,1.0,59.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/CancerSurvivors,1.0,6.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CitiesInTexas,1.0,33.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/PhillipsExeterAcademyAlumni,1.0,9.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/UniversitiesAndCollegesInManhattan,1.0,12.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/FormerCountriesInAfrica,1.0,11.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/PeopleOfTheWatergateScandal,0.9090909090909091,11.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/BicontinentalCountries,1.0,289.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/WarsInvolvingMexico,1.0,137.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1959,1.0,6.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/ProvincesAndTerritoriesOfCanada,1.0,41.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/ProvincialCapitalsInSriLanka,1.0,5.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/PeopleOfVirginiaInTheAmericanRevolution,0.875,8.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedPlacesInGelderland,1.0,5.0
