Property,Type,Ratio,support
http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/class/yago/HarmonicaBluesMusicians,0.0,1.0
http://dbpedia.org/ontology/stateOfOrigin,http://dbpedia.org/class/yago/NordicCountries,1.0,1.0
http://dbpedia.org/ontology/associatedMusicalArtist,"http://dbpedia.org/class/yago/PeopleFromGloucesterCounty,NewJersey",1.0,1.0
http://dbpedia.org/ontology/stateOfOrigin,http://dbpedia.org/class/yago/DividedRegions,1.0,1.0
http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/class/yago/PeopleFromHighgate,1.0,1.0
http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/class/yago/AfricanAmericanFemaleSingers,1.0,1.0
http://dbpedia.org/ontology/hometown,http://dbpedia.org/class/yago/WorldTradeOrganizationMemberEconomies,1.0,11.0
http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/class/yago/RapRockMusicians,1.0,1.0
http://dbpedia.org/ontology/hometown,http://dbpedia.org/class/yago/PortCitiesInSerbia,1.0,1.0
http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/class/yago/AmericanPeopleOfPolishDescent,1.0,1.0
http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/class/yago/AustralianGospelSingers,1.0,1.0
http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/class/yago/BrazilianSongwriters,1.0,1.0
http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/class/yago/FamilyMusicalGroups,1.0,1.0
http://dbpedia.org/ontology/genre,http://dbpedia.org/class/yago/ArgentineStylesOfMusic,1.0,1.0
http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/class/yago/AmericanFootballTeamsInMinnesota,1.0,2.0
http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/class/yago/DixielandTrumpeters,1.0,1.0
http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/class/yago/MurderedRappers,1.0,1.0
