Person,Property,Type,rn,rel_rate
http://dbpedia.org/resource/Al_Stanek,birthPlace,City,85,**
http://dbpedia.org/resource/Aída_Álvarez,birthPlace,Country,85,**
http://dbpedia.org/resource/Kanisha_Sluis,birthPlace,Country,85,**
http://dbpedia.org/resource/Yoyoy_Villame,deathPlace,City,85,**
http://dbpedia.org/resource/Lukáš_Mičulka,birthPlace,Country,85,**
http://dbpedia.org/resource/Andrei_Sannikov,birthPlace,Country,85,**
http://dbpedia.org/resource/Jack_D._Schwager,occupation,PersonFunction,85,**
http://dbpedia.org/resource/Ramon_Obusan,deathPlace,City,85,**
http://dbpedia.org/resource/Max_Brooks,birthPlace,City,85,1
http://dbpedia.org/resource/Kengo_Mashimo,birthPlace,City,85,**
http://dbpedia.org/resource/Tagi_Ismailov,deathPlace,Country,85,**
http://dbpedia.org/resource/Matvei_Muranov,deathPlace,Country,85,**
http://dbpedia.org/resource/Mickey_Rourke,residence,City,85,**
http://dbpedia.org/resource/Shashank_Arora,birthPlace,City,85,**
http://dbpedia.org/resource/Vadim_Spiridonov,birthPlace,Country,85,**
http://dbpedia.org/resource/Moufida_Tlatli,birthPlace,Country,85,**
http://dbpedia.org/resource/Rafael_Israelyan,deathPlace,Country,85,**
http://dbpedia.org/resource/Ignacio_Elizondo,birthPlace,Country,85,**
http://dbpedia.org/resource/János_Bolyai,residence,Country,85,**
http://dbpedia.org/resource/Jacinto_João,birthPlace,Country,85,**
http://dbpedia.org/resource/Vitali_Tsypko,birthPlace,Country,85,**
http://dbpedia.org/resource/Philip_Nelson_(American_football),birthPlace,City,85,**
http://dbpedia.org/resource/Horst_Mahler,birthPlace,Country,85,**
http://dbpedia.org/resource/Slobodan_Lalović,birthPlace,Country,85,**
http://dbpedia.org/resource/Tomislav_Radotić,birthPlace,Country,85,**
http://dbpedia.org/resource/Serikzhan_Muzhikov,birthPlace,Country,85,**
http://dbpedia.org/resource/Michael_Strong,birthPlace,City,85,**
http://dbpedia.org/resource/Marian_Van_Landingham,occupation,PersonFunction,85,**
http://dbpedia.org/resource/Christina_Hammer,birthPlace,Country,85,**
http://dbpedia.org/resource/Agnė_Šilinytė,birthPlace,City,85,**
http://dbpedia.org/resource/Fred_Huntley,occupation,PersonFunction,85,**
http://dbpedia.org/resource/Moslem_Darabi,birthPlace,City,85,**
http://dbpedia.org/resource/Dai_St._John,deathPlace,Country,85,**
http://dbpedia.org/resource/Anton_Christoforidis,birthPlace,Country,85,**
http://dbpedia.org/resource/Yuri_Urychev,birthPlace,Country,85,**
http://dbpedia.org/resource/Mitchell_Nye,birthPlace,Country,85,**
http://dbpedia.org/resource/Hajime_Hana,birthPlace,City,85,**
http://dbpedia.org/resource/Ida_Dalser,birthPlace,Country,85,**
http://dbpedia.org/resource/Kurt_Adams_(politician),occupation,PersonFunction,85,**
http://dbpedia.org/resource/Eileen_MacDonagh,birthPlace,Town,85,**
http://dbpedia.org/resource/Slavko_Šajber,birthPlace,Country,85,**
http://dbpedia.org/resource/Muhammad_Ali_al-Abid,deathPlace,Country,85,**
http://dbpedia.org/resource/Muhammad_Ali_al-Abid,birthPlace,Country,85,**
http://dbpedia.org/resource/Theo_Wilson,birthPlace,City,85,1
http://dbpedia.org/resource/Arthur_Batcheller,residence,Town,85,**
http://dbpedia.org/resource/Ivan_Pravov,deathPlace,Country,85,**
http://dbpedia.org/resource/Ivan_Pravov,occupation,PersonFunction,85,**
http://dbpedia.org/resource/Muhammad_Yaqub_Ali,birthPlace,Country,85,**
http://dbpedia.org/resource/Hyuk_(singer),occupation,PersonFunction,85,**
http://dbpedia.org/resource/Tore_Planke,occupation,PersonFunction,85,**
http://dbpedia.org/resource/David_Petraeus,predecessor,MilitaryPerson,85,**
http://dbpedia.org/resource/Mildred_Methvin,almaMater,School,85,**
http://dbpedia.org/resource/Tad_Martin_(entrepreneur),occupation,PersonFunction,85,**
http://dbpedia.org/resource/Donald_Revell,birthPlace,City,85,1
http://dbpedia.org/resource/Justus_de_Harduwijn,deathPlace,Country,85,**
http://dbpedia.org/resource/Maxim_Berezin,birthPlace,Country,85,**
http://dbpedia.org/resource/Joshiy,birthPlace,Town,85,**
http://dbpedia.org/resource/Gordon_Murray_(puppeteer),occupation,PersonFunction,85,**
http://dbpedia.org/resource/Radek_Petr,birthPlace,Country,85,**
http://dbpedia.org/resource/Akaki_Khubutia,birthPlace,Country,85,**
http://dbpedia.org/resource/Gulzar,birthPlace,Country,85,**
http://dbpedia.org/resource/Anatoliy_Kinakh,birthPlace,Country,85,**
http://dbpedia.org/resource/Galina_Belyayeva_(Russian_sport_shooter),birthPlace,Country,85,**
http://dbpedia.org/resource/Drago_Pašalić,birthPlace,Country,85,**
http://dbpedia.org/resource/Quasimodo,nationality,EthnicGroup,85,**
http://dbpedia.org/resource/Ekaterina_Korbut,birthPlace,Country,85,**
http://dbpedia.org/resource/Hidenori_Tokuyama,birthPlace,City,85,**
http://dbpedia.org/resource/Dietmar_Post,birthPlace,Country,85,**
http://dbpedia.org/resource/Teddy_Lion,birthPlace,Country,85,**
http://dbpedia.org/resource/Tihomir_Novakov,birthPlace,Country,85,**
http://dbpedia.org/resource/Josef_Černý,birthPlace,Country,85,**
http://dbpedia.org/resource/Tohjiro,occupation,PersonFunction,85,**
http://dbpedia.org/resource/Aleksandre_Gogoberishvili,birthPlace,Country,85,**
http://dbpedia.org/resource/Gennady_Oleshchuk,birthPlace,Country,85,**
http://dbpedia.org/resource/David_Culver,occupation,PersonFunction,85,**
http://dbpedia.org/resource/Shmuel_Yosef_Agnon,birthPlace,Country,85,**
http://dbpedia.org/resource/Sergei_Voronov_(ice_hockey),birthPlace,Country,85,**
http://dbpedia.org/resource/Alexander_Vysotsky,birthPlace,Country,85,**
http://dbpedia.org/resource/Jim_and_Mary_McCartney,occupation,PersonFunction,85,**
http://dbpedia.org/resource/Brandie_O'Connor,birthPlace,City,85,**
http://dbpedia.org/resource/Patricia_Janiot,nationality,EthnicGroup,85,**
http://dbpedia.org/resource/James_L._Schoppe,occupation,PersonFunction,85,**
http://dbpedia.org/resource/Dragutin_Čelić,birthPlace,Country,85,**
http://dbpedia.org/resource/Henry_I._Harriman,occupation,PersonFunction,85,**
http://dbpedia.org/resource/Russell_Miller,occupation,PersonFunction,85,**
http://dbpedia.org/resource/Nina_Petrovna_Valetova,birthPlace,Country,85,**
http://dbpedia.org/resource/Josip_Jurendić,birthPlace,Country,85,**
http://dbpedia.org/resource/Revaz_Gamkrelidze,birthPlace,Country,85,**
http://dbpedia.org/resource/Greg_Kasavin,birthPlace,Country,85,**
http://dbpedia.org/resource/Vincenzo_Riccati,deathPlace,Country,85,**
http://dbpedia.org/resource/Vincenzo_Riccati,birthPlace,Country,85,**
http://dbpedia.org/resource/Werner_R._Heymann,birthPlace,Country,85,**
http://dbpedia.org/resource/Jaba_Bregvadze,birthPlace,Country,85,**
"http://dbpedia.org/resource/Howard_B._Gist,_Jr.",occupation,PersonFunction,85,**
http://dbpedia.org/resource/Miangul_Aurangzeb,almaMater,School,85,**
http://dbpedia.org/resource/Marie_Antoinette,birthPlace,Country,85,**
http://dbpedia.org/resource/Jean-Joseph_Raikem,birthPlace,Country,85,**
http://dbpedia.org/resource/Serhiy_Lohinov,birthPlace,Country,85,**
http://dbpedia.org/resource/Robert_Hamilton_(civil_servant),birthPlace,Island,85,**
http://dbpedia.org/resource/Karl_Stefanovic,occupation,PersonFunction,85,**
http://dbpedia.org/resource/Xu_Jingcheng,deathPlace,Country,85,**
http://dbpedia.org/resource/Xu_Jingcheng,birthPlace,Country,85,**
http://dbpedia.org/resource/Edmund_C._Hinde,occupation,PersonFunction,85,**
http://dbpedia.org/resource/Scott_M._Gimple,occupation,PersonFunction,85,**
http://dbpedia.org/resource/Marie_de_Sales_Chappuis,birthPlace,Country,85,**
http://dbpedia.org/resource/Neeraj_Pandey,birthPlace,City,85,**
http://dbpedia.org/resource/Oyinkansola_Abayomi,birthPlace,Country,85,**
http://dbpedia.org/resource/Alfredo_Fiorito,birthPlace,City,85,**
http://dbpedia.org/resource/Matúš_Čonka,birthPlace,Country,85,**
http://dbpedia.org/resource/Tobias_Willers,birthPlace,Country,85,**
http://dbpedia.org/resource/Hennadiy_Zubov,birthPlace,Country,85,**
http://dbpedia.org/resource/Roy_Somlyo,deathPlace,City,85,1
http://dbpedia.org/resource/Anita_B._Brody,birthPlace,City,85,1
http://dbpedia.org/resource/Miskel_Spillman,occupation,PersonFunction,85,**
http://dbpedia.org/resource/Slava_Medvedenko,birthPlace,Country,85,**
http://dbpedia.org/resource/George_Lamond,birthPlace,City,85,1
http://dbpedia.org/resource/Friedrich_Weichelt,birthPlace,Country,85,**
http://dbpedia.org/resource/Lee_Hae-young,occupation,PersonFunction,85,**
http://dbpedia.org/resource/Dadash_Rzayev,battle,Location,85,**
http://dbpedia.org/resource/John_Miller_(1865_Medal_of_Honor_recipient),birthPlace,Country,85,**
http://dbpedia.org/resource/Kimberly_Rivera,residence,City,85,**
http://dbpedia.org/resource/Shankar_Pratap_Singh_Bundela,occupation,PersonFunction,85,**
http://dbpedia.org/resource/Alice_Freeman_Palmer,occupation,PersonFunction,85,**
http://dbpedia.org/resource/Carolyn_Jarvis,occupation,PersonFunction,85,**
http://dbpedia.org/resource/Vasyl_Hrytsuk,birthPlace,Country,85,**
http://dbpedia.org/resource/Yulia_Alipova_(Miss_Russia),birthPlace,Country,85,**
http://dbpedia.org/resource/Ayushmann_Khurrana,occupation,PersonFunction,85,**
http://dbpedia.org/resource/Samuel_White_(Massachusetts),birthPlace,City,85,**
http://dbpedia.org/resource/Hassan_Amin_(footballer),birthPlace,City,85,**
http://dbpedia.org/resource/Lal_Bahadur_Shastri,birthPlace,Country,85,**
http://dbpedia.org/resource/Aloizs_Tumiņš,birthPlace,Country,85,**
http://dbpedia.org/resource/Oleg_Marusev,birthPlace,Country,85,**
http://dbpedia.org/resource/Arnold_Henry_Guyot,birthPlace,Country,85,**
http://dbpedia.org/resource/Matt_Dean,birthPlace,City,85,**
http://dbpedia.org/resource/Vyacheslav_Shevchuk,birthPlace,Country,85,**
http://dbpedia.org/resource/Cecylia_Vetulani,occupation,PersonFunction,85,**
http://dbpedia.org/resource/Miksa_Esterházy,deathPlace,Country,85,**
http://dbpedia.org/resource/Miksa_Esterházy,birthPlace,Country,85,**
http://dbpedia.org/resource/Gejza_Josipović,birthPlace,Country,85,**
http://dbpedia.org/resource/Igor_Uporov,residence,Country,85,**
http://dbpedia.org/resource/Ruth_Mader,occupation,PersonFunction,85,**
http://dbpedia.org/resource/John_Caldwell_(Michigan_politician),occupation,PersonFunction,85,**
http://dbpedia.org/resource/Namrata_Sawhney,birthPlace,City,85,**
http://dbpedia.org/resource/Morey_Leonard_Sear,birthPlace,City,85,**
http://dbpedia.org/resource/Sargis_Mehrabyan,deathPlace,Country,85,**
http://dbpedia.org/resource/Irakly_Shanidze,birthPlace,Country,85,**
http://dbpedia.org/resource/Zoran_Mušič,birthPlace,Country,85,**
http://dbpedia.org/resource/Mikhail_Zhukov_(ice_hockey),birthPlace,Country,85,**
http://dbpedia.org/resource/Vyacheslav_Serdyuk,birthPlace,Country,85,**
http://dbpedia.org/resource/Alvin_Hellerstein,almaMater,School,85,**
http://dbpedia.org/resource/Emilia_Unda,birthPlace,Country,85,**
http://dbpedia.org/resource/Ranil_Wickremesinghe,birthPlace,Country,85,**
