Person,Property,Type,rn,rel_rate
http://dbpedia.org/resource/Kris_Kobach,almaMater,Private_school,dbot_rules,**
http://dbpedia.org/resource/Barry_Locke,residence,Census-designated_place,dbot_rules,**
http://dbpedia.org/resource/Bakshi_Ghulam_Haider,residence,Metropolis,dbot_rules,**
http://dbpedia.org/resource/Peter_Camejo,almaMater,Land-grant_university,dbot_rules,**
http://dbpedia.org/resource/Antonis_Samaras,almaMater,Private_school,dbot_rules,**
http://dbpedia.org/resource/Jacques_l'Hermite,residence,List_of_cities_in_the_Netherlands_by_province,dbot_rules,**
http://dbpedia.org/resource/Jacques_l'Hermite,residence,List_of_municipalities_of_the_Netherlands,dbot_rules,**
http://dbpedia.org/resource/Lewis_McAllister,residence,City,dbot_rules,**
http://dbpedia.org/resource/Serge_Zwikker,birthPlace,List_of_municipalities_of_the_Netherlands,dbot_rules,**
http://dbpedia.org/resource/Sue_Green,birthPlace,City,dbot_rules,**
http://dbpedia.org/resource/Howard_E._Fought,almaMater,Private_school,dbot_rules,**
http://dbpedia.org/resource/Philip_Nelson_(American_football),birthPlace,City,dbot_rules,**
http://dbpedia.org/resource/Jason_Graae,birthPlace,City,dbot_rules,**
http://dbpedia.org/resource/Zhao_Yueyu,almaMater,National_university,dbot_rules,**
http://dbpedia.org/resource/Laís_Souza,birthPlace,Municipalities_of_Brazil,dbot_rules,**
http://dbpedia.org/resource/Philip_Habib,almaMater,Land-grant_university,dbot_rules,**
http://dbpedia.org/resource/Philip_Habib,almaMater,Flagship,dbot_rules,**
http://dbpedia.org/resource/Frank_E._Denholm,almaMater,National_Space_Grant_College_and_Fellowship_Program,dbot_rules,**
http://dbpedia.org/resource/Frank_E._Denholm,almaMater,Land-grant_university,dbot_rules,**
http://dbpedia.org/resource/Cathy_Ann_Bencivengo,almaMater,National_Sea_Grant_College_Program,dbot_rules,**
http://dbpedia.org/resource/David_Sulzer,almaMater,State_school,dbot_rules,**
http://dbpedia.org/resource/David_Sulzer,almaMater,Land-grant_university,dbot_rules,**
