subj,p1,p2
http://dbpedia.org/resource/Charles_Russell_(Australian_politician),http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Daniel_Davidson,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Kanisha_Sluis,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Zdravko_Velimirović,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Souleymane_Sawadogo,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Friedrich_Kapp,http://dbpedia.org/property/deathPlace,http://dbpedia.org/property/placeOfDeath
http://dbpedia.org/resource/Roque_Ruaño,http://dbpedia.org/property/deathPlace,http://dbpedia.org/property/placeOfDeath
http://dbpedia.org/resource/Sajjan_Jindal,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Carlos_Diaz_(catcher),http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/David_Tahnya_Wirikom,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Tallan_Noble_Latz,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Petr_Ulrych_(ice_hockey),http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Artis_Rasmanis,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Edward_S._Little,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Marko_Radas,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Altun_Jan_Khatun,http://dbpedia.org/property/deathPlace,http://dbpedia.org/property/placeOfDeath
http://dbpedia.org/resource/Alex_Avila,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/John_McDougall_(Australian_politician),http://dbpedia.org/property/deathPlace,http://dbpedia.org/property/placeOfDeath
http://dbpedia.org/resource/Merab_Sharikadze,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Sorie_Ibrahim_Koroma,http://dbpedia.org/property/deathPlace,http://dbpedia.org/property/placeOfDeath
http://dbpedia.org/resource/Mary_Ejercito,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
