uri,cnter
http://dbpedia.org/ontology/debutTeam,3560
http://dbpedia.org/ontology/associatedMusicalArtist,4329
http://dbpedia.org/ontology/recordLabel,3618
http://dbpedia.org/ontology/parent,2802
http://dbpedia.org/ontology/almaMater,12438
http://dbpedia.org/ontology/spouse,4856
http://dbpedia.org/ontology/knownFor,3889
http://dbpedia.org/ontology/team,40764
http://dbpedia.org/ontology/battle,4069
http://dbpedia.org/ontology/instrument,3645
http://dbpedia.org/ontology/termPeriod,9438
http://dbpedia.org/ontology/militaryBranch,3569
http://dbpedia.org/ontology/country,6961
http://dbpedia.org/ontology/militaryUnit,1709
http://dbpedia.org/ontology/position,20968
http://dbpedia.org/ontology/currentMember,7283
http://dbpedia.org/ontology/nationality,17059
http://dbpedia.org/ontology/education,2208
http://dbpedia.org/ontology/party,12100
http://dbpedia.org/ontology/relative,1171
http://dbpedia.org/ontology/influencedBy,1202
http://dbpedia.org/ontology/president,1386
http://dbpedia.org/ontology/creator,1229
http://dbpedia.org/ontology/primeMinister,1238
http://dbpedia.org/ontology/draftTeam,1497
http://dbpedia.org/ontology/league,1627
http://dbpedia.org/ontology/managerClub,2422
http://dbpedia.org/ontology/formerTeam,4143
http://dbpedia.org/ontology/associatedBand,4330
http://dbpedia.org/ontology/deathPlace,28027
http://dbpedia.org/ontology/thumbnail,58210
http://dbpedia.org/ontology/religion,5218
http://dbpedia.org/ontology/region,3418
http://dbpedia.org/ontology/ethnicity,1036
http://dbpedia.org/ontology/predecessor,7027
http://dbpedia.org/ontology/college,1541
http://dbpedia.org/ontology/residence,7221
http://dbpedia.org/ontology/birthPlace,95254
http://dbpedia.org/ontology/child,1545
http://dbpedia.org/ontology/citizenship,878
http://dbpedia.org/ontology/careerStation,16566
http://dbpedia.org/ontology/hometown,4232
http://dbpedia.org/ontology/restingPlace,2710
http://dbpedia.org/ontology/successor,9182
http://dbpedia.org/ontology/field,3832
http://dbpedia.org/ontology/stateOfOrigin,4782
http://dbpedia.org/ontology/profession,1823
http://dbpedia.org/ontology/genre,8334
http://dbpedia.org/ontology/award,5958
http://dbpedia.org/ontology/occupation,27727
