subject,property,current_or_latest,start_time
Almir_Mukhutdinov,position,,
Lincoln_Verduga_Loor,party,,
Theodore_Frelinghuysen,party,,
Karin_Stevens,position,,
Christian_Bassedas,position,,
Bryan_Namoff,position,,
Robert_Scarlett,position,,
Sergei_Lopin,position,,
Curtis_McGriff,position,,
Marion_Stein,spouse,,
Mandy_Tam,party,"The Frontier (Hong Kong, 2010)",2013
Caterina_Verde,nationality,,
Rita_Hayworth,spouse,,
Charles_Ashton_(historian),country,,
Mike_Caso,position,,
Mustapha_Sama,position,,
Subramanian_Swamy,party,Bharatiya Janata Party,2013
Hermas_Deslauriers,party,,
Herman_Munster,nationality,,
Alfin_Tuasalamony,position,,
Wesley_Johnson_(basketball),position,,
Ciaran_Clark,position,,
Marc_Emery,party,,
Ron_Boone,position,,
Shamil_Isayev,position,,
Boyan_Iliev,position,,
Francisco_M._Susoni_Abreu,party,,
Salima_Sultan_Begum,spouse,Akbar,1561
Tabea_Kemme,position,,
Charles_de_Gaulle,party,,
Ginger_Rogers,spouse,,
Edwin_Gyimah,position,,
Celeste_Holm,spouse,,
Agnes_of_Merania_(1215-1263),spouse,,
John_Hearne_(composer),country,,
Mary_Robinson,party,Before 1977,1977
Galen_Young,position,,
Pernilla_August,spouse,,
Gwilym_R._Jones,country,,
Lea_Nikel,nationality,,
John_G._Lake,nationality,,
Vyacheslav_Petrukhin,position,,
Howell_Tong,nationality,,
Ion_Ciocan,nationality,,
Dianne_Watts,party,,
Hussain_Al-Musawi,position,,
Kate_Osamor,party,,
Robert_Blake_Yardley,nationality,,
Ostoja_of_Bosnia,spouse,,
Bea_Arthur,spouse,,
Agnes_Grainger_Stewart,country,,
Tawny_Kitaen,spouse,,
Arthur_O'Neill_(soldier),nationality,,
Carl_Berner_(supercentenarian),nationality,,
Lynn_Bari,spouse,,
Raj_Babbar,spouse,Nadira Babbar,1975
Ion_Bostan_(film_director),nationality,,
Hilja_Riipinen,party,Patriotic People's Movement (Finland),1933
Seyi_Abolaji,position,,
David_Lepper,party,,
Jola_Jobst,spouse,,
Elham_Galica,position,,
Thomas_A._Wofford,party,,
Timur_Kuriyev,position,,
Stanislav_Tarasyuk,position,,
Zviad_Izoria,country,,
Danique_Stein,position,,
Tom_Halliday,position,,
Norris_Coleman,position,,
Tyler_Pastornicky,position,,
Prosper-Edmond_Lessard,party,,
Jason_Davidson,position,,
Eyad_Hutba,position,,
Pierce_Brosnan,spouse,,
Stefan_Arngrim,nationality,,
Beniah_Bowman,party,Liberal Party of Canada,1930
Mason_Plumlee,position,,
Jackson_Beardy,nationality,,
Bonne_of_Artois,spouse,,
Izett_Buchanan,position,,
Guy_Edgar_Campbell,party,Until 1923,1923
Maciej_Lampe,position,,
Uta_Hagen,spouse,,
Wilhelmino_Sy-Alvarado,party,Liberal Party (Philippines),2015
Valentina_Mishak,nationality,,
Harold_Bodle,position,,
Morus_Dwyfech,country,,
Reggie_Swinton,position,,
Dave_Robisch,position,,
Nobuhisa_Yamada,position,,
Dzhokhar_Dudayev,party,All-National Congress of the Chechen People,1990
Jacques_Barrot,party,Before 2002,2002
Cedric_Simmons,position,,
Bareck_Bendaha,position,,
Roman_Arkatov,position,,
Brice_Owona,position,,
Sibusiso_Zuma,position,,
Yaroslav_the_Wise,spouse,,
Lucas_Cordeiro,position,,
Nitipong_Selanon,position,,
Alexander_Korda,spouse,,
Melissa_Ortiz,position,,
Keith_Wilson_(politician),party,Liberal Party of Australia,1944
Johnny_Knox,position,,
Terquin_Mott,position,,
Desmond_Howard,position,,
Thiago_Rocha_da_Cunha,position,,
Brigt_Rykkje,country,,
Pablo_Garnier,position,,
Thomas_Arkisden,nationality,,
Eduard_Momotov,position,,
Andrei_Semak,position,,
Trenton_Meacham,position,,
Tatsuya_Uchida,position,,
Thomas_de_la_Hay,country,,
Iarfhlaith_Davoren,position,,
Laurie_Sapper,nationality,,
Gervane_Kastaneer,position,,
Eugen_Freiherr_von_Gorup-Besanez,nationality,,
William_Pickering_(publisher),nationality,,
Vladimir_Naydanov,position,,
Leonor_de_Castro_Mello_y_Meneses,spouse,,
Jeremy_Harrison,party,,
Rod_Mullinar,spouse,,
Thomas_Hammond_(born_1630),nationality,,
William_Friedkin,spouse,,
Harry_Quick,party,,
John_McGinley_(footballer),position,,
Bolo_Perdue,position,,
William_Hallett_Ray,party,Liberal Party of Canada,1869
Anne_of_Gloucester,spouse,Count of Eu,1405
Joe_Walton,position,,
Hadi_Sacko,position,,
Gianni_Alemanno,party,National Movement for Sovereignty,2017
Lorcan_Cronin,position,,
Marianna_Tabain,position,,
Kieffer_Moore,position,,
Carol_Wayne,spouse,,
Roger_Vadim,spouse,,
Mike_Bloom_(basketball),position,,
Pyotr_Kapitsa,nationality,,
Lavinia_Warren,spouse,,
