subject,property,current_or_latest,start_time
Lincoln_Verduga_Loor,party,,
Theodore_Frelinghuysen,party,,
Lindsay_Price,spouse,Curtis_Stone,2013-01-01T00:00:00Z
Marion_Stein,spouse,Jeremy_Thorpe,1973-05-14T00:00:00Z
Mandy_Tam,party,,
Rita_Hayworth,spouse,James_Hill_(film_producer),1958-01-01T00:00:00Z
Charles_Ashton_(historian),country,,
Subramanian_Swamy,party,,
Hermas_Deslauriers,party,,
Marc_Emery,party,,
Francisco_M._Susoni_Abreu,party,,
Charles_de_Gaulle,party,,
Ginger_Rogers,spouse,William_Marshall_(bandleader),1961-01-01T00:00:00Z
Celeste_Holm,spouse,Wesley_Addy,1961-01-01T00:00:00Z
Agnes_of_Merania_(1215-1263),spouse,,
Teresa_Heinz,party,,
Pernilla_August,spouse,Bille_August,1991-01-01T00:00:00Z
Gwilym_R._Jones,country,,
Dianne_Watts,party,,
Kate_Osamor,party,,
Ostoja_of_Bosnia,spouse,,
Agnes_Grainger_Stewart,country,,
Tawny_Kitaen,spouse,Chuck_Finley,1997-11-20T00:00:00Z
Raj_Babbar,spouse,Nadira_Babbar,1975-01-01T00:00:00Z
Hilja_Riipinen,party,,
Barnaby_Joyce,party,,
Jola_Jobst,spouse,Wolfgang_Kieling,1950-01-01T00:00:00Z
Jiaqing_Emperor,spouse,,
Zviad_Izoria,country,,
Prosper-Edmond_Lessard,party,,
Pierce_Brosnan,spouse,Keely_Shaye_Smith,2001-01-01T00:00:00Z
Beniah_Bowman,party,,
Guy_Edgar_Campbell,party,,
Dzhokhar_Dudayev,party,Communist_Party_of_the_Soviet_Union,1968-01-01T00:00:00Z
Jacques_Barrot,party,,
Yaroslav_the_Wise,spouse,,
Luis_Villafuerte,party,,
Keith_Wilson_(politician),party,,
Brigt_Rykkje,country,,
Peryf_ap_Cedifor,country,,
Leonor_de_Castro_Mello_y_Meneses,spouse,,
Jeremy_Harrison,party,,
Rod_Mullinar,spouse,,
William_Friedkin,spouse,Sherry_Lansing,1991-01-01T00:00:00Z
Harry_Quick,party,,
William_Hallett_Ray,party,,
Anne_of_Gloucester,spouse,,
Gianni_Alemanno,party,The_People_of_Freedom,2009-03-29T00:00:00Z
Carol_Wayne,spouse,Burt_Sugarman,1975-01-01T00:00:00Z
Roger_Vadim,spouse,Marie-Christine_Barrault,1990-12-21T00:00:00Z
Oswald_Mosley,spouse,Diana_Mitford,1936-01-01T00:00:00Z
Eric_Illsley,party,,
Jean_Nguza_Karl-i-Bond,party,,
John_Archibald,country,,
John_Connally,party,,
Zsolt_Makay,party,,
Thomas_Chaye_Beale,country,,
Iris_Robinson,party,,
David_Wilson_(Dean_of_Aberdeen_and_Orkney),country,,
Charles_McGrath,party,,
Assia_Wevill,spouse,David_Wevill,1960-01-01T00:00:00Z
Thomas_R._Pickering,country,,
Abigail_Kuaihelani_Campbell,spouse,,
John_Hay,country,,
Tuesday_Weld,spouse,Pinchas_Zukerman,1985-01-01T00:00:00Z
Mel_Harris,spouse,Cotter_Smith,1988-01-01T00:00:00Z
Shankar_Pratap_Singh_Bundela,party,,
Trond_Hegna,party,,
John_Anderson_(carpenter),country,,
Walter_Ulbricht,party,,
Alfred_H._Littlefield,party,,
Claude_O'Flaherty,country,,
Mary_Robinson,party,,
Willem_Schermerhorn,party,,
Charles_Owsley,country,,
Reader_W._Clarke,party,,
Stephen_Stenning,country,,
Myrddin_ap_Dafydd,country,,
Halle_Berry,spouse,Olivier_Martinez,2013-07-13T00:00:00Z
Deirdre_Clune,party,,
Simwnt_Fychan,country,,
Aman_Andom,country,,
Archibald_Peake,party,,
Thomas_Kelly_(Irish_politician),party,,
Charlotte_Merriam,spouse,Rex_Lease,1925-01-01T00:00:00Z
Annabella_(actress),spouse,Tyrone_Power,1939-01-01T00:00:00Z
Charles_H._Taylor_(publisher),country,,
Grace_Bussell,spouse,,
Doug_Moffatt,party,,
Lisa_Milne,country,,
Javid_Husain,country,,
David_Wilmot,party,,
Debra_Winger,spouse,Arliss_Howard,1996-01-01T00:00:00Z
Sue-Anne_Webster,spouse,,
Frans_Goedhart,party,,
Gwilym_Rhyfel,country,,
Elizabeth_Bacon_(died_1621),spouse,,
Marek_Borowski,party,,
Jeff_Knuth,party,,
Paul_Reynaud,party,,
Paul_Wesley,spouse,Torrey_DeVitto,2011-01-01T00:00:00Z
Susantha_Punchinilame,party,,
Alfred_Hickman,spouse,Nance_O'Neil,1916-01-01T00:00:00Z
Gabriele_Albertini,party,New_Centre-Right,2014-03-01T00:00:00Z
William_Switzer,party,,
Khalid_Ibrahim,party,,
Marie-Christine_Barrault,spouse,,
Peter_IV_of_Aragon,spouse,,
Ioannis_Kefalogiannis,party,,
William_Spier,spouse,June_Havoc,1948-01-01T00:00:00Z
George_Coe_(Michigan_politician),party,,
Judy_Loe,spouse,Roy_Battersby,1997-03-06T00:00:00Z
Jane_Lahilahi,spouse,,
Aafia_Siddiqui,spouse,,
Jacqueline_Schultz,spouse,Larry_Bryggman,1992-01-01T00:00:00Z
Sunil_Kumar_Mandal,party,,
Alexander_Hume,country,,
John_Harris_(Medal_of_Honor),country,,
Frank_B._Fay,party,,
Anawrahta,spouse,,
Philip_Gardiner,party,,
Gerhard_Dietrich_(pedagogue),party,,
Jan_C._Ting,party,,
Jean_Peters,spouse,Stan_Hough,1971-08-28T00:00:00Z
Gavan_O'Connor,party,,
Rena_Sofer,spouse,Sanford_Bookstaver,2003-01-01T00:00:00Z
Robert_Henry_McGregor,party,,
Nikos_Chrysogelos,party,,
Geoffrey_Harrison,country,,
Andreas_Schwab,party,,
Anne_Cools,party,,
John_J._Ely,party,,
Benjamin_F._Newhall,party,,
Cesare_Merzagora,party,,
Matt_Carthy,party,,
Alexander_Livingston_of_Callendar,country,,
Cyrinda_Foxe,spouse,Steven_Tyler,1978-01-01T00:00:00Z
Leslie_Pennell,country,,
John_Bracken,party,,
Jacob_Golladay,party,,
Vasili_III_of_Russia,spouse,,
Daniel_Cohn-Bendit,party,,
Basil_Sydney,spouse,,
M._Palaniyandi,party,,
Kim_Il-ung,party,,
Alexander_Shabalov,country,,
Leonid_Kravchuk,party,,
Ferdinand_Friedensburg,party,,
James_Campbell_(author),country,,
Yury_Shulman,country,,
Matt_Robson,party,,
