Property,Type,Ratio,support
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/PeopleFromRockhampton,0.8,5.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/WarsInvolvingTurkey,0.8413793103448276,145.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/UniversitiesInScotland,0.8333333333333334,6.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/DutchPoliticalWriters,0.8,5.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/KentuckyStateSenators,0.8125,16.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/PeopleOfSouthCarolinaInTheAmericanCivilWar,0.8,5.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/WarsInvolvingPanama,0.775,200.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/SchoolsWithACadetCorps,0.8,5.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/UnitedStatesArmyChiefsOfStaff,0.8,5.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/WarsInvolvingHungary,0.7772277227722773,202.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/LabourParty(UK)LifePeers,0.7777777777777778,9.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/WarsInvolvingCostaRica,0.775,200.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/TreasurersOfQueensland,0.75,8.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/PeopleFromSydney,0.8333333333333334,6.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/NewYorkStateSenators,0.8333333333333334,12.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/PrimeMinistersOfTheNetherlands,0.8181818181818182,11.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/UnitedStatesSenatorsFromDelaware,0.8333333333333334,6.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/WarsInvolvingBritishIndia,0.775609756097561,205.0
