Property,Type,Ratio,support
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Census-designated_place,1.0,23.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Lists_of_capitals,1.0,16.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/City_Districts_of_Pakistan,1.0,8.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Town,0.9782608695652174,46.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Administrative_divisions_of_New_York,1.0,35.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Comune,1.0,12.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/States_of_Brazil,1.0,5.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/List_of_capitals_in_the_United_States,1.0,12.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/List_of_cities_in_the_Netherlands_by_province,1.0,14.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/Administrative_divisions_of_New_York,0.9090909090909091,11.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/Metropolis,1.0,18.0
http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Public_company,1.0,5.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Municipalities_of_Colombia,1.0,8.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Ancient_university,0.8571428571428571,7.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/California,1.0,7.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/City,0.8571428571428571,56.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Municipalities_of_the_Philippines,1.0,14.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/List_of_cities_and_towns_in_Croatia,1.0,8.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/Comune,1.0,5.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/State_school,1.0,25.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_and_towns_in_Colorado,1.0,5.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Capital_city,1.0,46.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/City_status_in_the_United_Kingdom,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Charter_city,1.0,12.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_in_Alberta,1.0,8.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Lists_of_capitals,1.0,9.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/List_of_cities_in_Alberta,1.0,7.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/New_England_town,1.0,12.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/List_of_municipalities_of_the_Netherlands,0.8636363636363636,22.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/National_Space_Grant_College_and_Fellowship_Program,0.9807692307692307,104.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/Cities_of_the_Philippines,0.875,8.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Administrative_divisions_of_New_York,1.0,41.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Boarding_school,1.0,8.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Census-designated_place,1.0,18.0
