Property,Type,Ratio,support
http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/List_of_communities_in_Miami-Dade_County,_Florida",1.0,2.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/United_States_Senior_Military_College,1.0,3.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Provinces_of_Argentina,1.0,3.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Affiliated_school,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_in_the_United_States,1.0,1.0
http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Private_school,0.0,2.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/Unincorporated_area,1.0,2.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/County_(United_States),1.0,2.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Megacity,1.0,4.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/States_and_federal_territories_of_Malaysia,1.0,3.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/List_of_cities_in_Manitoba,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Federal_district,1.0,4.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Administrative_divisions_of_Michigan,1.0,3.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Professional_military_education_in_the_United_States_Air_Force,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Provinces_of_the_Philippines,1.0,2.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Organization_of_the_government_of_Thailand,1.0,4.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_in_Manitoba,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Organization_of_the_government_of_Thailand,1.0,2.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Amphoe,1.0,1.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/Prefecture-level_city,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/British_Columbia,1.0,3.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/Administrative_divisions_of_Cambodia,1.0,1.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/Federal_district,1.0,1.0
http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Unicameralism,1.0,2.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Music_school,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Communes_of_Algeria,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/River,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/County_seat,1.0,2.0
http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Private_university,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Stratovolcano,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Special_cities_of_South_Korea,1.0,3.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/Types_of_municipalities_in_Quebec,1.0,2.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Urban_areas_of_New_Zealand,1.0,1.0
http://dbpedia.org/ontology/award,http://dbpedia.org/resource/United_States_federal_executive_departments,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/English_country_house,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Unitary_authority,1.0,4.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_Pittsburgh_neighborhoods,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_in_Bosnia_and_Herzegovina,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Districts_of_Mauritius,1.0,1.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/resource/Upper_house,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Geography_of_Russia,1.0,2.0
http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Research_institute,1.0,1.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/University_college,1.0,4.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Provinces_of_the_Netherlands,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_and_towns_in_Kenya_by_population,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Ria,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Prefectures_of_Japan,1.0,4.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/List_of_towns_in_the_United_Kingdom,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Municipality,1.0,3.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/List_of_districts_of_Pakistan,1.0,2.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Cities_of_Japan,0.0,1.0
