Property,Type,Ratio,support
http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/class/yago/TownsInRockinghamCounty,NewHampshire",1.0,2.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1769,1.0,3.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1683,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/ArchaeologicalSitesInGeorgia(country),1.0,1.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/HarvardLampoonPeople,1.0,1.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/Byzantine%E2%80%93ArabWars,1.0,1.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/UnitedStatesAttorneysForTheWesternDistrictOfPennsylvania,1.0,1.0
http://dbpedia.org/ontology/successor,"http://dbpedia.org/class/yago/PeopleFromElkins,WestVirginia",1.0,1.0
http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/class/yago/PopulatedPlacesInPottawatomieCounty,Kansas",1.0,1.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/WeimarRepublicPoliticians,1.0,2.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/class/yago/Rotundas,1.0,1.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/KenyanDemocracyActivists,1.0,2.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/MilitaryOperationsInvolvingBelgium,1.0,2.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/MilitaryRanksOfTheCommonwealth,1.0,2.0
http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/class/yago/PopulatedPlacesInTarrantCounty,Texas",1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/MinnesotaPopulatedPlacesOnTheMississippiRiver,1.0,1.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/BattlesInvolvingIraq,1.0,1.0
http://dbpedia.org/ontology/nationality,http://dbpedia.org/class/yago/StatesAndTerritoriesDisestablishedIn1893,1.0,1.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/TurkishPeopleOfKurdishDescent,0.6666666666666666,3.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/BlindPeopleFromTheUnitedStates,1.0,1.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/PresidentsOfPeru,1.0,1.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/GermanPoliticalWriters,1.0,1.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/ArabNationalistThinkers,1.0,2.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/GeorgiaBulldogsFootballPlayers,1.0,1.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/BalkanRebellions,1.0,2.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/UniversitiesInQueensland,0.0,1.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/EmployeesOfTheUnitedStatesSenate,1.0,2.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/EurekaRedDevilsFootballPlayers,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1941,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CantonmentsOfBritishIndia,1.0,2.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/RussianRevolutionaries,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/CountyTownsInEngland,1.0,3.0
http://dbpedia.org/ontology/predecessor,"http://dbpedia.org/class/yago/PeopleFromHunterdonCounty,NewJersey",1.0,1.0
http://dbpedia.org/ontology/spouse,http://dbpedia.org/class/yago/AmericanLyricists,1.0,1.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/WarlordsInRepublicanChina,1.0,1.0
http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/class/yago/PopulatedPlacesInNorthWesternProvince,SriLanka",1.0,2.0
http://dbpedia.org/ontology/party,http://dbpedia.org/class/yago/PoliticalPartiesDisestablishedIn1930,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/SovereignStatesOfTheGranadineConfederation,1.0,3.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/PopulatedCoastalPlacesInLebanon,1.0,2.0
http://dbpedia.org/ontology/successor,"http://dbpedia.org/class/yago/PeopleFromMelfort,Saskatchewan",1.0,1.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/UnitedStatesNationalSecurityCouncilStaffers,1.0,3.0
http://dbpedia.org/ontology/award,http://dbpedia.org/class/yago/AwardsEstablishedIn1876,1.0,1.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/RoyalArtillerySoldiers,1.0,2.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/PeopleFromLaFl%C3%A8che,1.0,1.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/UniversitiesAndCollegesInOklahoma,1.0,3.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/WorldHeritageSitesInMalta,1.0,1.0
http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/class/yago/PopulatedPlacesInJeffersonCounty,Ohio",1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/TownsInCountyAntrim,1.0,1.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/class/yago/DistrictsOfAzerbaijan,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1637,1.0,1.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/JamaicanRhodesScholars,1.0,1.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/Persian%E2%80%93EnglishTranslators,1.0,1.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/DalhousieUniversityAlumni,1.0,3.0
http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/class/yago/PopulatedPlacesInWestchesterCounty,NewYork",1.0,1.0
http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/class/yago/PopulatedPlacesInSanpeteCounty,Utah",1.0,1.0
http://dbpedia.org/ontology/successor,"http://dbpedia.org/class/yago/PeopleFromBryanCounty,Oklahoma",1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/PopulatedPlacesInTheGuajiraDepartment,1.0,1.0
http://dbpedia.org/ontology/occupation,http://dbpedia.org/class/yago/CompaniesEstablishedIn1947,1.0,1.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/SovietPeopleOfWorldWarII,0.6666666666666666,3.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/IsraeliGovernmentOfficialsConvictedOfCrimes,1.0,1.0
http://dbpedia.org/ontology/successor,"http://dbpedia.org/class/yago/PrinceGeorge'sCounty,MarylandExecutives",1.0,1.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/MinistersOfHomeAffairsOfJapan,1.0,1.0
http://dbpedia.org/ontology/predecessor,"http://dbpedia.org/class/yago/PeopleFromCartagena,Spain",1.0,1.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/ConflictsIn1644,0.0,1.0
http://dbpedia.org/ontology/predecessor,http://dbpedia.org/class/yago/StateTreasurersOfColorado,0.5,2.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1965,1.0,1.0
