Property,Type,Ratio,support
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/OrganisationsBasedInCambridgeWithRoyalPatronage,1.0,7.0
http://dbpedia.org/ontology/primeMinister,http://dbpedia.org/class/yago/PeopleFromRome,1.0,5.0
http://dbpedia.org/ontology/primeMinister,http://dbpedia.org/class/yago/PeopleEducatedAtCanterburyBoys'HighSchool,1.0,6.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/LieutenantGovernorsOfNewYork,0.9090909090909091,11.0
http://dbpedia.org/ontology/militaryRank,http://dbpedia.org/class/yago/ConfederateStatesArmyGenerals,1.0,6.0
http://dbpedia.org/ontology/president,http://dbpedia.org/class/yago/PeopleFromTheGreaterLosAngelesArea,1.0,5.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/IranianProvincialCapitals,1.0,12.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/AmericanOilIndustrialists,1.0,5.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/CountySeatsInOklahoma,1.0,5.0
http://dbpedia.org/ontology/party,http://dbpedia.org/class/yago/PoliticalPartiesInTheNetherlands,0.8571428571428571,7.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/FemaleCanadianPoliticalPartyLeaders,1.0,7.0
http://dbpedia.org/ontology/primeMinister,http://dbpedia.org/class/yago/FemaleHeadsOfGovernment,1.0,17.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/EducationalInstitutionsEstablishedIn1865,1.0,14.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CitiesInAlabama,1.0,5.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/PortCitiesInSerbia,1.0,7.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/MilitaryAcademiesOfTheUnitedStates,1.0,13.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/PopulatedPlacesInMexico,1.0,5.0
http://dbpedia.org/ontology/country,http://dbpedia.org/class/yago/EuropeanUnionMemberEconomies,1.0,15.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PortCitiesInColombia,1.0,5.0
http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/class/yago/CitiesInLosAngelesCounty,California",1.0,7.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/EducationalInstitutionsEstablishedIn1890,1.0,9.0
http://dbpedia.org/ontology/president,http://dbpedia.org/class/yago/AssassinatedUnitedStatesPresidents,1.0,10.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/NobelPeacePrizeLaureates,1.0,11.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/PeopleFromLondon,1.0,12.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/IslamicStates,1.0,16.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/EducationalInstitutionsEstablishedIn1885,1.0,6.0
http://dbpedia.org/ontology/primeMinister,http://dbpedia.org/class/yago/Duellists,1.0,5.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/UniversitiesInSydney,0.875,8.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Town,0.9818181818181818,220.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/EducationalInstitutionsEstablishedIn1849,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PortCitiesInBrazil,1.0,5.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/CitiesInTasmania,1.0,6.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/WarsInvolvingEcuador,1.0,86.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/BattlesAndOperationsOfWorldWarIIInvolvingGreece,1.0,5.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/AmericanNewspaperEditors,1.0,7.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/ArkansasCounties,1.0,7.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/PopulatedPlacesInGeorgia(U.S.State)WithAfricanAmericanMajorityPopulations,1.0,10.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/class/yago/EducationalInstitutionsEstablishedIn1876,1.0,12.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/class/yago/CountriesBorderingTheArcticOcean,1.0,13.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/AlumniOfTheSchoolOfOrientalAndAfricanStudies,1.0,5.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/KnightCommandersOfTheOrderOfMeritOfTheFederalRepublicOfGermany,1.0,6.0
http://dbpedia.org/ontology/region,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1816,1.0,9.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/AmericanPeopleOfIrishDescent,0.9166666666666666,36.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/Nuclear-freeZones,1.0,5.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/AppointedUnitedStatesSenators,0.9230769230769231,26.0
http://dbpedia.org/ontology/monarch,http://dbpedia.org/class/yago/HeadsOfStateOfIndia,1.0,25.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/class/yago/CapitalsInEurope,1.0,19.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/class/yago/HostCitiesOfTheSummerOlympicGames,1.0,24.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/AustralianMonarchists,0.8823529411764706,17.0
http://dbpedia.org/ontology/president,http://dbpedia.org/class/yago/PeopleAssociatedWithTheJohnF.KennedyAssassination,1.0,7.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PortSettlementsInQuebec,1.0,9.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/IslandsOfAustralia,1.0,8.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/MidwesternUnitedStates,1.0,8.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/StatesAndTerritoriesEstablishedIn1782,1.0,6.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/ConflictsIn1943,0.9111111111111111,90.0
http://dbpedia.org/ontology/party,http://dbpedia.org/class/yago/PoliticalPartiesEstablishedIn1917,1.0,21.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/PortSettlementsInCanada,0.875,8.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/WarsInvolvingRussia,0.9206349206349206,63.0
