Property,Type,Ratio,support
http://dbpedia.org/ontology/relation,http://dbpedia.org/class/yago/LuftwaffeGenerals,1.0,1.0
http://dbpedia.org/ontology/restingPlace,http://dbpedia.org/class/yago/BiographicalMuseumsInCanada,1.0,1.0
http://dbpedia.org/ontology/governor,"http://dbpedia.org/class/yago/PeopleFromLoudounCounty,Virginia",1.0,1.0
http://dbpedia.org/ontology/relation,http://dbpedia.org/class/yago/UnitedStatesDistrictCourtJudgesAppointedByDwightD.Eisenhower,1.0,1.0
http://dbpedia.org/ontology/relation,http://dbpedia.org/class/yago/ExecutedGermanPeople,1.0,1.0
http://dbpedia.org/ontology/relation,http://dbpedia.org/class/yago/SindhiPeople,1.0,1.0
http://dbpedia.org/ontology/relation,http://dbpedia.org/class/yago/FemaleAviators,1.0,1.0
http://dbpedia.org/ontology/restingPlace,http://dbpedia.org/class/yago/CountySeatsInIowa,1.0,1.0
http://dbpedia.org/ontology/relation,http://dbpedia.org/class/yago/BritishPopSingers,1.0,1.0
http://dbpedia.org/ontology/otherParty,http://dbpedia.org/class/yago/AgrarianParties,0.75,4.0
http://dbpedia.org/ontology/relation,http://dbpedia.org/class/yago/AmericanEducators,1.0,2.0
http://dbpedia.org/ontology/restingPlace,http://dbpedia.org/class/yago/AlpineCountries,1.0,1.0
http://dbpedia.org/ontology/restingPlace,http://dbpedia.org/class/yago/PortCitiesAndTownsInTurkey,1.0,2.0
http://dbpedia.org/ontology/child,http://dbpedia.org/class/yago/SriLankanLawyers,1.0,1.0
http://dbpedia.org/ontology/restingPlace,"http://dbpedia.org/class/yago/PopulatedPlacesInPulaskiCounty,Arkansas",1.0,1.0
http://dbpedia.org/ontology/restingPlace,http://dbpedia.org/class/yago/MidwesternUnitedStates,1.0,6.0
http://dbpedia.org/ontology/relation,http://dbpedia.org/class/yago/AmericanPhysicians,1.0,1.0
http://dbpedia.org/ontology/relation,http://dbpedia.org/class/yago/NewSouthWalesLiberalPoliticians,1.0,1.0
http://dbpedia.org/ontology/otherParty,http://dbpedia.org/class/yago/PoliticalPartiesEstablishedIn1905,1.0,1.0
http://dbpedia.org/ontology/relation,http://dbpedia.org/class/yago/FellowsOfTheAustralianAcademyOfScience,1.0,2.0
http://dbpedia.org/ontology/relation,http://dbpedia.org/class/yago/BritishWarCorrespondents,1.0,2.0
http://dbpedia.org/ontology/restingPlace,http://dbpedia.org/class/yago/Non-metropolitanDistrictsOfOxfordshire,1.0,1.0
http://dbpedia.org/ontology/relation,http://dbpedia.org/class/yago/AustralianPeopleOfScottishDescent,1.0,3.0
http://dbpedia.org/ontology/relation,http://dbpedia.org/class/yago/PeopleConvictedOfHolocaustDenialOffenses,1.0,1.0
http://dbpedia.org/ontology/relation,http://dbpedia.org/class/yago/ColombianMinistersOfWar,1.0,1.0
http://dbpedia.org/ontology/governor,http://dbpedia.org/class/yago/CommandersOfTheRoyalVictorianOrder,1.0,1.0
http://dbpedia.org/ontology/relation,http://dbpedia.org/class/yago/AustralianLeadersOfTheOpposition,1.0,1.0
http://dbpedia.org/ontology/relation,http://dbpedia.org/class/yago/BritishTheatreManagersAndProducers,1.0,1.0
http://dbpedia.org/ontology/relation,http://dbpedia.org/class/yago/DemocraticPartyVicePresidentsOfTheUnitedStates,1.0,1.0
