Person,Property,Type,rn,rel_rate
http://dbpedia.org/resource/Alexander_Zhukov,birthPlace,Country,85,**
http://dbpedia.org/resource/Hitoshi_Motoshima,birthPlace,City,85,**
http://dbpedia.org/resource/J._Clifford_Hansen,successor,Mayor,85,**
http://dbpedia.org/resource/Farah_Ali_Jama,birthPlace,Country,85,**
http://dbpedia.org/resource/Askar_Akayev,birthPlace,Country,85,**
http://dbpedia.org/resource/Rahman_Khalilov,birthPlace,Country,85,**
http://dbpedia.org/resource/Tagi_Ismailov,deathPlace,Country,85,**
http://dbpedia.org/resource/William_G._Angel,birthPlace,Town,85,**
http://dbpedia.org/resource/Gladwin_Kotelawala,almaMater,School,85,**
http://dbpedia.org/resource/Ali_Akbar_Salehi,birthPlace,Country,85,**
http://dbpedia.org/resource/Sorie_Ibrahim_Koroma,deathPlace,Country,85,**
http://dbpedia.org/resource/Pehr_Evind_Svinhufvud,birthPlace,Country,85,**
http://dbpedia.org/resource/Mukhu_Aliyev,birthPlace,Country,85,**
http://dbpedia.org/resource/Oleksandr_Omelchenko,birthPlace,Country,85,**
http://dbpedia.org/resource/Hermann_Müller_(politician),birthPlace,Country,85,**
http://dbpedia.org/resource/Tomáš_Garrigue_Masaryk,deathPlace,Country,85,**
http://dbpedia.org/resource/Tomáš_Garrigue_Masaryk,birthPlace,Country,85,**
http://dbpedia.org/resource/Muhammad_Ali_al-Abid,deathPlace,Country,85,**
http://dbpedia.org/resource/Muhammad_Ali_al-Abid,birthPlace,Country,85,**
http://dbpedia.org/resource/John_F._Carew,almaMater,School,85,**
http://dbpedia.org/resource/Frank_L._Roberts,spouse,OfficeHolder,85,**
http://dbpedia.org/resource/Zlatko_Tomčić,birthPlace,Country,85,**
http://dbpedia.org/resource/V._Anandasangaree,almaMater,School,85,**
http://dbpedia.org/resource/József_Szlávy,deathPlace,Country,85,**
http://dbpedia.org/resource/Juan_Manuel_de_la_Peña_Bonifaz,deathPlace,Country,85,**
http://dbpedia.org/resource/Irakli_Okruashvili,birthPlace,Country,85,**
http://dbpedia.org/resource/Alexander_Patton,successor,Mayor,85,**
http://dbpedia.org/resource/Hossein_Hashemi,birthPlace,City,85,**
http://dbpedia.org/resource/Frank_Jaenicke,birthPlace,Country,85,**
http://dbpedia.org/resource/Ranasinghe_Premadasa,birthPlace,Country,85,**
http://dbpedia.org/resource/Albert_A._Ultcht,residence,City,85,**
http://dbpedia.org/resource/Buddhika_Kurukularatne,almaMater,School,85,**
http://dbpedia.org/resource/Jozef_Lenárt,birthPlace,Country,85,**
http://dbpedia.org/resource/Volodymyr_Ohryzko,birthPlace,Country,85,**
http://dbpedia.org/resource/Violeta_Ivanov,birthPlace,Country,85,**
http://dbpedia.org/resource/Anatoliy_Kinakh,birthPlace,Country,85,**
http://dbpedia.org/resource/Robert_Major,deathPlace,City,85,**
http://dbpedia.org/resource/Kairat_Mami,birthPlace,Country,85,**
http://dbpedia.org/resource/George_J._Karb,successor,Mayor,85,**
http://dbpedia.org/resource/Ivan_Briukhovetsky,deathPlace,Country,85,**
