Person,Property,Type,rn,rel_rate
http://dbpedia.org/resource/Robert_A._Roe,almaMater,Land-grant_university,dbot_rules,**
http://dbpedia.org/resource/Benjamin_Muse,militaryBranch,Army,dbot_rules,**
http://dbpedia.org/resource/Thomas_Francis_Smith,almaMater,Private_school,dbot_rules,**
http://dbpedia.org/resource/Josiah_Failing,birthPlace,Administrative_divisions_of_New_York,dbot_rules,**
http://dbpedia.org/resource/Peter_Camejo,almaMater,Land-grant_university,dbot_rules,**
"http://dbpedia.org/resource/Donald_W._Riegle,_Jr.",almaMater,National_Sea_Grant_College_Program,dbot_rules,**
"http://dbpedia.org/resource/Donald_W._Riegle,_Jr.",almaMater,Flagship,dbot_rules,**
http://dbpedia.org/resource/Chad_%22Corntassel%22_Smith,almaMater,Land-grant_university,dbot_rules,**
http://dbpedia.org/resource/Chad_%22Corntassel%22_Smith,almaMater,National_Sea_Grant_College_Program,dbot_rules,**
http://dbpedia.org/resource/Oscar_Tompkins,almaMater,Flagship,dbot_rules,**
http://dbpedia.org/resource/Kesha_Ram,birthPlace,Charter_city,dbot_rules,**
http://dbpedia.org/resource/Toby_Perkins,birthPlace,City_status_in_the_United_Kingdom,dbot_rules,**
http://dbpedia.org/resource/John_Gunyou,almaMater,Flagship,dbot_rules,**
http://dbpedia.org/resource/Tress_Bucyanayandi,almaMater,Land-grant_university,dbot_rules,**
http://dbpedia.org/resource/Roman_Hruska,almaMater,Research,dbot_rules,**
http://dbpedia.org/resource/Mike_Turpen,almaMater,Private_school,dbot_rules,**
http://dbpedia.org/resource/Webb_Franklin,almaMater,National_Space_Grant_College_and_Fellowship_Program,dbot_rules,**
http://dbpedia.org/resource/Webb_Franklin,almaMater,National_Sea_Grant_College_Program,dbot_rules,**
http://dbpedia.org/resource/Kathleen_Taylor_(politician),almaMater,Land-grant_university,dbot_rules,**
http://dbpedia.org/resource/Kathleen_Taylor_(politician),almaMater,National_Sea_Grant_College_Program,dbot_rules,**
http://dbpedia.org/resource/Steven_Fulop,almaMater,Private_school,dbot_rules,**
http://dbpedia.org/resource/John_R._Schmidhauser,birthPlace,Borough_(New_York_City),dbot_rules,**
http://dbpedia.org/resource/Gilbert_Gude,almaMater,Land-grant_university,dbot_rules,**
http://dbpedia.org/resource/Gilbert_Gude,almaMater,National_Space_Grant_College_and_Fellowship_Program,dbot_rules,**
http://dbpedia.org/resource/Gilbert_Gude,almaMater,National_Sea_Grant_College_Program,dbot_rules,**
http://dbpedia.org/resource/Pat_Harrison,almaMater,National_Space_Grant_College_and_Fellowship_Program,dbot_rules,**
http://dbpedia.org/resource/Pat_Harrison,almaMater,National_Sea_Grant_College_Program,dbot_rules,**
http://dbpedia.org/resource/Pat_Harrison,almaMater,State_university_system,dbot_rules,**
http://dbpedia.org/resource/Rick_Morris_(politician),almaMater,Private_school,dbot_rules,**
http://dbpedia.org/resource/Steve_Hettinger,almaMater,National_Space_Grant_College_and_Fellowship_Program,dbot_rules,**
http://dbpedia.org/resource/Shirley_Neil_Pettis,almaMater,Flagship,dbot_rules,**
http://dbpedia.org/resource/Pearl_Calahasen,almaMater,Flagship,dbot_rules,**
