Property,Type,Ratio,support
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Census-designated_place,1.0,9.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/States_of_Austria,1.0,5.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Lists_of_capitals,1.0,12.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Metropolitan_borough,1.0,11.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Administrative_divisions_of_New_York,1.0,25.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Comune,1.0,14.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/States_of_Brazil,0.9545454545454546,22.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/List_of_capitals_in_the_United_States,1.0,18.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/List_of_cities_in_the_Netherlands_by_province,1.0,18.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/List_of_cities_in_Turkey,1.0,7.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Land-grant_university,0.9438202247191011,89.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Organization_of_the_government_of_Thailand,1.0,5.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Ancient_university,1.0,9.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/States_and_federal_territories_of_Malaysia,1.0,15.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Core_cities_of_Japan,1.0,7.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/City,0.9137931034482759,58.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/State_school,1.0,29.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Capital_city,1.0,41.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/Administrative_divisions_of_Florida,1.0,5.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Municipalities_of_Colombia,1.0,10.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Charter_city,1.0,11.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_in_Alberta,1.0,5.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/List_of_cities_in_Alberta,1.0,7.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/List_of_municipalities_of_the_Netherlands,1.0,25.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/National_Space_Grant_College_and_Fellowship_Program,0.9473684210526315,95.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Administrative_divisions_of_New_York,1.0,30.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Boarding_school,1.0,9.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Provinces_of_the_Philippines,1.0,8.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Unincorporated_area,1.0,9.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/New_England_town,0.984375,64.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Research,1.0,16.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Charter_city,1.0,13.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Independent_school,1.0,11.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/List_of_cities_in_the_Netherlands_by_province,1.0,13.0
