Property,Type,Ratio,support
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Districts_of_Tanzania,1.0,1.0
http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/List_of_communities_in_Miami-Dade_County,_Florida",1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Special_municipality_(Taiwan),1.0,2.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Provinces_of_Argentina,1.0,2.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_cities_in_the_United_States,1.0,1.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/Unincorporated_area,1.0,3.0
http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/List_of_communities_in_Miami-Dade_County,_Florida",1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Megacity,1.0,1.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/United_States_Senior_Military_College,1.0,2.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/List_of_specialized_municipalities_in_Alberta,1.0,1.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Tribal_colleges_and_universities,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/District,1.0,1.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Professional_military_education_in_the_United_States_Air_Force,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Provinces_of_the_Philippines,1.0,3.0
http://dbpedia.org/ontology/region,http://dbpedia.org/resource/States_of_Brazil,0.5,2.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Organization_of_the_government_of_Thailand,1.0,2.0
http://dbpedia.org/ontology/militaryBranch,http://dbpedia.org/resource/Special_forces,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/British_Columbia,1.0,2.0
http://dbpedia.org/ontology/region,http://dbpedia.org/resource/Municipal_arrondissements_of_France,1.0,1.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/List_of_towns_in_Ontario,1.0,2.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/Federal_district,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Settlement_classification_in_Mexico,1.0,1.0
http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Unicameralism,1.0,1.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Co-institutional,1.0,2.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Communes_of_Algeria,1.0,3.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/List_of_township_municipalities_in_Ontario,1.0,3.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Special_municipality_(Taiwan),1.0,3.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/County_seat,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/List_of_populated_places_in_Guam,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Asia,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Stratovolcano,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Special_cities_of_South_Korea,1.0,2.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/List_of_municipalities_in_Ontario,1.0,2.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/Types_of_municipalities_in_Quebec,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Urban_areas_of_New_Zealand,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Sub-prefectures_of_Guinea,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/English_country_house,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Unitary_authority,1.0,4.0
http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Chilean_Traditional_Universities,1.0,1.0
http://dbpedia.org/ontology/militaryBranch,http://dbpedia.org/resource/Praetorian_Guard,1.0,1.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/City_(TV_network),1.0,4.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Cities_of_the_Philippines,1.0,2.0
