Property,Type,Ratio,support
http://dbpedia.org/ontology/president,http://dbpedia.org/class/yago/OttomanPrisonersOfWar,1.0,2.0
http://dbpedia.org/ontology/residence,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1769,1.0,1.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/IslandsOfBarbados,1.0,1.0
http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/class/yago/PopulatedPlacesEstablishedIn1635,1.0,1.0
http://dbpedia.org/ontology/primeMinister,http://dbpedia.org/class/yago/KnightsOfTheOrderOfVittorioVeneto,1.0,1.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/PeopleFromBarnstaple,1.0,1.0
http://dbpedia.org/ontology/primeMinister,http://dbpedia.org/class/yago/TailevuPeople,1.0,1.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/PermanentRepresentativesOfCanadaToTheUnitedNations,1.0,1.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/PeopleFromShediac,1.0,1.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/DemocraticActionParty(Malaysia)Politicians,1.0,3.0
http://dbpedia.org/ontology/battle,http://dbpedia.org/class/yago/MilitaryOperationsInvolvingBelgium,1.0,1.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/IsraeliNobelLaureates,1.0,2.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/PeopleOfTheWhitewaterControversy,1.0,2.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/class/yago/MinnesotaPopulatedPlacesOnTheMississippiRiver,1.0,3.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/PresidentsOfRussia,1.0,1.0
http://dbpedia.org/ontology/successor,http://dbpedia.org/class/yago/GermanPoliticalWriters,1.0,1.0
http://dbpedia.org/ontology/lieutenant,http://dbpedia.org/class/yago/SpeakersOfTheKentuckyHouseOfRepresentatives,1.0,1.0
