Column1,Column2
http://dbpedia.org/resource/Bill_Morrow_(Australian_politician),http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Charles_Davidson_(politician),http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Choy_Kan-pui,http://dbpedia.org/ontology/party
"http://dbpedia.org/resource/Henry_Vivian,_1st_Baron_Swansea",http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Genc_Pollo,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Boris_Zala,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Rowley_James,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/MarÃ­a_Laura_LeguizamÃ³n,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Hugh_Sinclair_(politician),http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Franc_Falkiner,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Luigi_Lusi,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Jean-Paul_Fournier,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/William_Wright_(United_States_politician),http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Ibrahim_Abboud,http://dbpedia.org/ontology/country
http://dbpedia.org/resource/Ibrahim_Abboud,http://dbpedia.org/ontology/militaryBranch
http://dbpedia.org/resource/Henry_Smith_Lane,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Paul_von_Hindenburg,http://dbpedia.org/ontology/country
http://dbpedia.org/resource/Joe_Clark_(Australian_politician),http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Henry_Lumley_Drayton,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Tang_Heap_Seng,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Oazu_Nantoi,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/GÃ©rard_Perron,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Ä°smet_Sezgin,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Mariano_JesÃºs_Cuenco,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Walter_Howarth,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Don_Jessop,http://dbpedia.org/ontology/party
http://dbpedia.org/resource/Claude_Patry,http://dbpedia.org/ontology/party
