Column1,Column2,Column3
Abdul_Halim_Khaddam,party,Arab Socialist Ba'ath Party
Abdul_Rahman_Ya'kub,party,Sarawak Malaysian People's Association
Abraham_Andrews_Barker,party,Prohibition Party
Adam_Matusiewicz,party,Civic Platform
Adrienne_Clarkson,spouse,John Ralston Saul
Agar_Wynne,party,Commonwealth Liberal Party
Agnes_Robertson,party,Country
Ahn_Cheol-soo,party,People's Party (South Korea)
Akram_al-Hawrani,party,Arab Socialist Party
Alan_Craig,party,UK Independence Party
Alan_DeSousa,party,Union Montreal
Albert_Field,party,National Party of Australia
Albert_G._Porter,party,Republican Party (United States)
Albert_Ho,party,Democratic Party (Hong Kong)
Albert_Palmer_(Australian_politician),party,Nationalist Party of Australia
Albert_Robinson_(Australian_politician),party,Independent politician
Alcide_De_Gasperi,party,Christian Democracy (Italy)
Aleksandar_Tsankov,party,National Social Movement (Bulgaria)
Alexander_Buchanan,party,Independent
Alexander_Fraser_(Australian_politician),party,Liberal Party of Australia
Alexander_Hay_(Australian_politician),party,Independent
Alexander_McLachlan,party,United Australia Party
Alexander_Poynton,party,Nationalist Party of Australia
Alexandru_Cimbriciuc,party,Alliance for European Integration
Alexandru_Oleinic,party,Alliance for European Integration
Alexandru_Stoianoglo,party,Alliance for European Integration
Alfred_Conroy,party,Commonwealth Liberal Party
Alfred_Deakin,party,Commonwealth Liberal Party
Alfredo_Covelli,party,National Democracy (Italy)
Alfredo_Rocco,party,National Fascist Party
Algirdas_Brazauskas,party,Social Democratic Party of Lithuania
Ali_Modu_Sheriff,party,People's Democratic Party (Nigeria)
Allan_Guy,party,Liberal Party of Australia
Allan_MacDonald_(Australian_politician),party,Liberal Party of Australia
Allan_McDonald_(Australian_politician),party,Liberal Party of Australia
Allen_Bell,party,New Zealand Reform Party
Amadou_Salifou,party,Nigerien Party for Democracy and Socialism
Amanda_Fazio,party,Independent
Amasa_Walker,party,Republican Party (United States)
Amintore_Fanfani,party,Italian People's Party (1994)
Amir-Abbas_Hoveyda,party,Rastakhiz
Anatol_Arhire,party,Alliance for European Integration
Anatolie_Dimitriu,party,Alliance for European Integration
Anatoly_Lunacharsky,party,Mezhraiontsy
Anders_Buen,party,Labour
Andrei_Popov_(politician),party,Alliance for European Integration
Andrei_Vacarciuc,party,Alliance for European Integration
Andrew_Hunter_(British_politician),party,Democratic Unionist Party
Andrew_Jackson_Hamilton,party,Republican Party (United States)
Andrew_Peacock,spouse,Penne Percy Korth
Andrew_Theophanous,party,Independent
Andrew_Walker_(politician),party,New Zealand Labour Party
Andrew_Wan,party,Democratic Party (Hong Kong)
Andrew_Wilkie,party,Independent
Andrey_Lukanov,party,Bulgarian Socialist Party
Andy_Ireland,party,Republican Party (United States)
Angel_Agache,party,Alliance for European Integration
Angelito_Gatlabayan,party,Nationalist People's Coalition
Ann_Cryer,spouse,John Hammersley
Anthony_Cheung,party,Independent
Anthony_St_Ledger,party,Commonwealth Liberal Party
Antoine_Pinay,party,Union for the New Republic
Anton_Storch,party,Centre Party (Germany)
Antonio_Salandra,party,Italian Liberal Party
Anwara_Ali,party,Conservative Party (UK)
Archdale_Parkhill,party,United Australia Party
Archie_Cameron,party,Liberal Party of Australia
Arie_Slob,party,Reformed Political League
Arthur_Rae,party,Australian Labor Party (NSW)
Arthur_Rodgers,party,Nationalist Party of Australia
Arturo_Frondizi,party,Integration and Development Movement
Augustus_Bradford,party,Democratic Party (United States)
Austin_Chapman,party,Nationalist Party of Australia
Azem_Vllasi,party,Social Democratic Party of Kosovo
Bakili_Muluzi,party,United Democratic Front (Malawi)
Bandula_Gunawardane,party,Sri Lanka Freedom Party
Barbara_Follett_(politician),spouse,Ken Follett
Barnaby_Joyce,party,National Party of Australia
Bart_Staes,party,Groen (political party)
Bas_Jan_van_Bochove,party,Christian Democratic Appeal
Ben_Carson,party,Republican Party (United States)
Ben_Nighthorse_Campbell,party,Before 1995
Ben_Schoeman,party,National Party (South Africa)
Ben_Westlund,party,Independent
Beniamino_Andreatta,party,Italian People's Party
Benjamin_Butler_(politician),party,Greenback Party
Benjamin_Romualdez,party,Kilusang Bagong Lipunan
Bernard_Finnigan,party,Independent
Bernard_Goldsmith,party,Republican Party (United States)
Bert_Lazzarini,party,Australian Labor Party
Bert_van_Manen,party,Liberal National Party of Queensland
Bertie_Johnston,party,Country
Bill_Bourke,party,Australian Labor Party (Anti-Communist)
Bill_Bryson_(politician),party,Australian Labor Party (Anti-Communist)
Bill_Denny,party,Parliamentary Labor Party
Bill_Morrow_(Australian_politician),party,Independent
Bill_Vankoughnet,party,Progressive Conservative Party of Ontario
Bill_Veitch,party,New Zealand National Party
Billy_Joe_MacLean,party,Independent politician
Blake_Pedersen,party,Progressive Conservative Association of Alberta
Bob_Joshua,party,Australian Labor Party (Anti-Communist)
Bob_Katter,party,Katter's Australian Party
Bob_Stoker,party,Ulster Unionist Party
Bob_Such,party,Independent
Boris_Vieru,party,Alliance for European Integration
Borys_Tarasyuk,party,Batkivshchina
Brad_Cathers,party,Yukon Party
Brent_Rathgeber,party,Independent
Bret_Schundler,party,Republican Party (United States)
Bruce_Smith_(Australian_politician),party,Independent
Bud_Boyce,party,Progressive
Burford_Sampson,party,Liberal Party of Australia
Byreddy_Rajasekhar_Reddy,party,Rayalaseema Parirakshana Samithi
C._P._de_Silva,party,United National Party
Calvin_T._Hulburd,party,Republican Party (United States)
Carlo_Azeglio_Ciampi,party,Democratic Party (Italy)
Carlo_Scognamiglio,party,The Liberals (Italy)
Carlos_Arias_Navarro,party,People's Party (Spain)
Carlos_Garaikoetxea,party,Eusko Alkartasuna
Carman_McClelland,party,Progressive Conservative
Carson_Wen,party,Democratic Alliance for the Betterment and Progress of Hong Kong
Carty_Salmon,party,Nationalist Party of Australia
Cees_Veerman,party,Christian Democratic Appeal
Celal_Adan,party,Nationalist Movement Party
Cesar_Maia,party,Democrats (Brazil)
Cesare_Previti,party,Forza Italia
Chantal_Rossi,party,Independent
Charles_Davidson_(politician),party,Country
Charles_Edison,party,Republican
Charles_Grant_(Australian_politician),party,United Australia Party
Charles_Hawker,party,United Australia Party
Charles_Howroyd,party,Nationalist Party of Australia
Charles_Marr,party,United Australia Party
Charles_McGrath,party,United Australia Party
Charles_Morgan_(Australian_politician),party,Independent
Charles_N._Brumm,party,Greenback
Charles_Oakes,party,Nationalist Party of Australia
Charles_Sumner,party,Liberal Republican
Chatichai_Choonhavan,party,National Development Party (Thailand)
Chavalit_Yongchaiyudh,party,Pheu Thai Party
Cheryl_Kernot,party,Independent politician
Chester_McLure,party,Conservative
Choy_Kan-pui,party,Civil Force
Christian_Estrosi,party,The Republicans (France)
Christian_Michelsen,party,Free-minded Liberal Party
Chua_Jui_Meng,party,Pakatan Rakyat
Chuck_Cadman,party,Independent
Chumpol_Silpa-archa,party,Thai Nation Party
Ciro_Gomes,party,Democratic Labour Party (Brazil)
