Column1,Column2,Column3
Amadeo_Bordiga,party,International_Communist_Party
Andrew_Jackson_Hamilton,party,Unionist_Party_(United_States)
Anthony_Cheung,party,Meeting_Point
August_Bebel,party,Social_Democratic_Party_of_Germany
Bart_Staes,party,Groen_(political_party)
Ben_Carson,party,Democratic_Party_(United_States)
Bernard_Brochand,party,The_Republicans_(France)
Bob_Heffron,party,Industrial_Labor_Party
Carlo_Azeglio_Ciampi,party,Democratic_Party_(Italy)
Carlos_Menem,spouse,Cecilia_Bolocco
Chiang_Kai-shek,spouse,Soong_Mei-ling
Craig_Mackinlay,party,UK_Independence_Party
Cyd_Ho,party,Labour_Party_(Hong_Kong)
David_Lloyd_George,spouse,"Frances_Lloyd_George,_Countess_Lloyd-George_of_Dwyfor"
David_Rath,party,Czech_Social_Democratic_Party
David_Smith_(Victorian_politician),party,National_Labor_Party
Don_Chipp,party,Australian_Democrats
Douglas_Carswell,party,UK_Independence_Party
Dzhokhar_Dudayev,party,All-National_Congress_of_the_Chechen_People
Emily_Lau,party,Democratic_Party_(Hong_Kong)
Flavio_Tosi,party,Liga_Veneta
Forbes_Burnham,party,People's_National_Congress_(Guyana)
Fred_Bamford,party,Australian_Labor_Party
George_Kerevan,party,Labour_Party_(UK)
Gianni_Alemanno,party,Brothers_of_Italy
Glenn_Lazarus,party,Palmer_United_Party
Graeme_Campbell_(politician),party,Australia_First_Party
Gregor_Gysi,party,The_Left_(Germany)
Gustav_Stresemann,party,German_Democratic_Party
Habip_Soluk,party,Justice_and_Development_Party_(Turkey)
Imre_Nagy,party,Hungarian_Working_People's_Party
Jackie_Kelly,party,Liberal_Party_of_Australia
James_Catts,party,Majority_Labor_Party
James_Fenton_(Australian_politician),party,United_Australia_Party
James_Fowler_(Australian_politician),party,Nationalist_Party_of_Australia
Jan_Elias_Nicolaas_Schimmelpenninck_van_der_Oye,party,Anti-Revolutionary_Party
Jeff_Bate,spouse,Thelma_Bate
John_Bradford_(Australian_politician),party,Christian_Democratic_Party_(Australia)
John_Siddons,party,Unite_Australia_Party
John_Tyndall_(politician),party,Greater_Britain_Movement
Joseph_Lyons,party,United_Australia_Party
Karen_Casey,party,Nova_Scotia_Liberal_Party
Lothar_Bisky,party,Party_of_Democratic_Socialism_(Germany)
Makis_Voridis,party,New_Democracy_(Greece)
Marco_Formentini_(politician),party,Democracy_is_Freedom_–_The_Daisy
Maumoon_Abdul_Gayoom,party,Progressive_Party_of_Maldives
Michael_Bloomberg,party,Democratic_Party_(United_States)
Michelle_Thomson,party,Independent_politician
Montfort_Tadier,party,Independent_politician
Nick_Xenophon,party,Nick_Xenophon_Team
Nilde_Iotti,party,Democratic_Party_of_the_Left
Oskar_Lafontaine,party,The_Left_(Germany)
Oswald_Mosley,spouse,Diana_Mitford
Paola_Binetti,party,Democratic_Party_(Italy)
Paruyr_Hayrikyan,party,Union_for_National_Self-Determination
Patricia_Remak,party,Labour_Party_(Netherlands)
Patrick_Lynch_(Australian_politician),party,United_Australia_Party
Raymond_Wong_Yuk-man,party,Kuomintang
Stephen_Urban,party,Democratic_Party_(United_States)
subject,property,current_or_latest
Thomas_Klestil,spouse,Margot_Klestil-Löffler
Vilma_Santos,spouse,Ralph_Recto
Vladimir_Vladimirovich_Kara-Murza,party,Solidarnost
Wong_Sing-chi,party,Third_Side
Zac_Goldsmith,spouse,Sheherazade_Goldsmith
Zara_Bate,spouse,Jeff_Bate
